empty,control,prompt
-8.874334335327148,-6.015425682067871,-4.962467670440674
-8.6583833694458,-5.088688850402832,-1.5485286712646484
-12.124165534973145,-5.727278709411621,-1.6597274541854858
-10.58065414428711,-6.481126308441162,-5.041073799133301
-10.345288276672363,-6.269428253173828,-4.658605098724365
-9.913680076599121,-7.878061771392822,-3.4704272747039795
-10.399882316589355,-7.067176818847656,-4.589664936065674
-10.315313339233398,-6.511466026306152,-3.6732139587402344
-8.571684837341309,-5.048342227935791,-3.1919162273406982
-10.399882316589355,-7.067176818847656,-4.523253440856934
-9.913680076599121,-7.878061771392822,-2.552353620529175
-9.437268257141113,-6.329980373382568,-3.8798110485076904
-9.932173728942871,-6.490004062652588,-4.444209575653076
-12.124165534973145,-5.727278709411621,-1.503027319908142
-6.807923793792725,-4.643141269683838,-4.352118492126465
-9.932173728942871,-6.490004062652588,-3.9071555137634277
-9.437268257141113,-6.329984188079834,-4.596487998962402
-9.067249298095703,-5.292084217071533,-2.456929922103882
-10.399885177612305,-7.067176818847656,-5.407186031341553
-9.932172775268555,-6.490000247955322,-4.870394706726074
-12.12417221069336,-5.7272796630859375,-3.477652072906494
-9.329732894897461,-5.2923359870910645,-3.5827550888061523
-10.156388282775879,-5.1724700927734375,-2.464590311050415
-9.885570526123047,-6.179438591003418,-4.793984413146973
-9.067249298095703,-5.292084217071533,-3.191150665283203
-10.290830612182617,-6.562880039215088,-5.070230484008789
-10.31531047821045,-6.511466026306152,-3.872431993484497
-8.8743314743042,-6.0154242515563965,-5.074656963348389
-10.580657958984375,-6.481118679046631,-4.617112159729004
-10.100234985351562,-5.910906791687012,-4.058964729309082
-9.932172775268555,-6.490000247955322,-5.8228864669799805
-10.580657958984375,-6.481118679046631,-3.3779892921447754
-10.100234985351562,-5.910906791687012,-2.9925692081451416
-10.399885177612305,-7.067176818847656,-5.028805732727051
-9.329732894897461,-5.2923359870910645,-3.8594558238983154
-10.262206077575684,-6.312484264373779,-4.429084777832031
-9.932172775268555,-6.490000247955322,-5.244903087615967
-10.399885177612305,-7.067176818847656,-5.221983909606934
-10.262206077575684,-6.312484264373779,-3.360694408416748
-8.8743314743042,-6.0154242515563965,-4.449822425842285
-10.34528923034668,-6.26943302154541,-4.642104625701904
-10.156388282775879,-5.1724700927734375,-2.986478090286255
-10.31531047821045,-6.511466026306152,-5.569676876068115
-10.100234985351562,-5.910906791687012,-4.89207649230957
-10.34528923034668,-6.26943302154541,-6.254460334777832
-10.34528923034668,-6.26943302154541,-5.230837821960449
-10.262206077575684,-6.312484264373779,-5.435355186462402
-10.262206077575684,-6.312484264373779,-3.9697861671447754
-10.262206077575684,-6.312484264373779,-6.269299030303955
-9.120655059814453,-6.542779445648193,-2.326486349105835
-9.565926551818848,-6.055080413818359,-2.886223793029785
-9.649249076843262,-5.638360500335693,-1.5255886316299438
-8.8743314743042,-6.0154242515563965,-4.898449897766113
-10.580657958984375,-6.481118679046631,-4.547698497772217
-9.69068431854248,-6.5017571449279785,-6.405078411102295
-8.993460655212402,-5.803985118865967,-3.33577823638916
-9.932172775268555,-6.490000247955322,-5.391846179962158
-8.792787551879883,-6.43389892578125,-4.402030944824219
-10.399885177612305,-7.067176818847656,-4.141873359680176
-8.421411514282227,-6.696789264678955,-4.287518501281738
-10.100234985351562,-5.910906791687012,-4.738033294677734
-11.107632637023926,-6.0731282234191895,-5.536001682281494
-9.932172775268555,-6.490000247955322,-4.022938251495361
-9.885570526123047,-6.179438591003418,-4.001885414123535
-10.580657958984375,-6.481118679046631,-3.741748094558716
-8.792787551879883,-6.43389892578125,-3.9967007637023926
-12.12417221069336,-5.7272796630859375,-2.3236563205718994
-10.115157127380371,-5.090839385986328,-3.2776668071746826
-10.31531047821045,-6.511466026306152,-3.3218655586242676
-8.421411514282227,-6.696789264678955,-3.390023946762085
-10.580657958984375,-6.481118679046631,-4.254942893981934
-10.916573524475098,-5.716139316558838,-3.3805556297302246
-10.34528923034668,-6.26943302154541,-4.362545013427734
-8.429704666137695,-6.441561222076416,-4.771984577178955
-10.949623107910156,-7.002989292144775,-3.2275516986846924
-10.399885177612305,-7.067176818847656,-4.916432857513428
-8.993460655212402,-5.803985118865967,-3.286221742630005
-10.192774772644043,-7.142402172088623,-5.474219799041748
-8.799714088439941,-6.291838645935059,-5.706510066986084
