empty,control,prompt
-0.8368968963623047,-16.770475387573242,-15.037927627563477
-1.4589862823486328,-13.017282485961914,-0.44732093811035156
-12.630134582519531,-13.953624725341797,-3.043537139892578
-3.4225521087646484,-13.563982009887695,-10.407295227050781
-10.040534973144531,-15.564903259277344,-1.2714881896972656
-1.5498065948486328,-11.480877876281738,16.73202896118164
-1.1458206176757812,-15.115556716918945,15.558988571166992
-13.57194709777832,-14.679403305053711,-11.486557006835938
-12.277870178222656,-15.742408752441406,-8.410390853881836
-12.631224632263184,-14.636967658996582,1.1452884674072266
-3.3847427368164062,-13.508484840393066,-8.212030410766602
-2.3086471557617188,-11.917684555053711,13.620942115783691
-16.164691925048828,-15.948060035705566,-9.83985710144043
-14.344091415405273,-15.420158386230469,-12.948575973510742
-2.6745033264160156,-15.190732955932617,-12.352518081665039
-4.8843536376953125,-15.027839660644531,-11.022930145263672
-3.1520919799804688,-14.178743362426758,16.46441078186035
6.514202117919922,-13.157699584960938,14.216686248779297
-2.235851287841797,-13.121549606323242,17.39220428466797
-8.262138366699219,-14.546789169311523,-11.425724983215332
-15.997211456298828,-15.943124771118164,-8.050249099731445
-9.212516784667969,-14.601640701293945,2.14119815826416
-5.227373123168945,-12.265607833862305,15.246274948120117
-10.358707427978516,-16.622785568237305,-12.358699798583984
-9.9957275390625,-11.316055297851562,19.015165328979492
-14.487329483032227,-16.31037139892578,-14.970746994018555
-12.719596862792969,-16.137821197509766,-14.289648056030273
-12.989916801452637,-16.304441452026367,-13.463726043701172
-11.407837867736816,-16.250560760498047,-12.047601699829102
-14.419105529785156,-16.615745544433594,-9.381183624267578
-5.508508682250977,-14.54054069519043,-3.1967601776123047
-11.786296844482422,-15.74947738647461,-11.07381534576416
-11.403768539428711,-16.00364112854004,-8.571258544921875
-3.941131591796875,-11.475217819213867,3.2779064178466797
-12.656415939331055,-15.139291763305664,-9.675984382629395
-4.745016098022461,-14.873706817626953,12.169414520263672
-4.905778884887695,-14.59698486328125,14.61349105834961
-0.11043930053710938,-8.852558135986328,-2.4293384552001953
-8.61993408203125,-15.334747314453125,-15.557613372802734
-12.219155311584473,-16.01967430114746,-4.066852569580078
-12.288403511047363,-16.076770782470703,-13.033693313598633
-8.036798477172852,-14.964018821716309,11.9898099899292
-9.382425308227539,-15.621955871582031,-12.018646240234375
-0.8643150329589844,-15.541635513305664,12.499898910522461
0.10926055908203125,-12.7622709274292,12.14857292175293
-7.991273880004883,-13.499788284301758,-13.436601638793945
-5.871203422546387,-15.970407485961914,-0.3086891174316406
-5.9371137619018555,-14.53048324584961,-14.991830825805664
-15.997212409973145,-15.943124771118164,-8.653656959533691
-11.407857894897461,-16.250560760498047,-6.936735153198242
-9.929222106933594,-16.015512466430664,-14.67121696472168
-9.382351875305176,-15.621955871582031,-9.380483627319336
2.3124141693115234,-8.73091983795166,-10.361034393310547
-14.939116477966309,-15.772911071777344,-13.064508438110352
0.13695907592773438,-12.90742301940918,-17.063825607299805
0.11712265014648438,-12.834851264953613,-13.51408576965332
-15.120813369750977,-16.287778854370117,-7.767304420471191
-5.037457466125488,-14.408124923706055,-16.496597290039062
-6.895092964172363,-14.440144538879395,-15.765605926513672
-11.992483139038086,-15.397735595703125,-13.358101844787598
-8.036848068237305,-14.964018821716309,-16.721206665039062
-14.154908180236816,-15.009442329406738,9.95919418334961
-5.103124618530273,-16.053260803222656,-15.447072982788086
-11.189048767089844,-15.288204193115234,-16.62381362915039
-12.362791061401367,-15.75592041015625,-17.373638153076172
-10.683405876159668,-15.093206405639648,-14.197643280029297
-6.726422309875488,-15.94252872467041,-17.04889488220215
-2.262369155883789,-11.752099990844727,-10.714719772338867
-5.250883102416992,-15.811695098876953,-16.486278533935547
-11.121331214904785,-16.59065055847168,-15.685321807861328
-3.365243911743164,-12.086912155151367,-13.543743133544922
0.11709976196289062,-12.834851264953613,-15.063129425048828
-1.1833267211914062,-14.713129043579102,-17.489896774291992
-13.544994354248047,-13.282365798950195,-15.46207332611084
-14.19610595703125,-16.456880569458008,-16.76004409790039
-7.509950637817383,-14.69870376586914,-17.069862365722656
-9.709199905395508,-14.216533660888672,-5.952171325683594
-4.48438835144043,-14.835533142089844,-15.604391098022461
6.519903182983398,-12.18989086151123,-15.040460586547852
-12.46917724609375,-16.046388626098633,-15.158879280090332
-4.48443603515625,-16.072782516479492,-17.35930061340332
-12.90880012512207,-16.136816024780273,-14.876670837402344
-11.092305183410645,-16.073665618896484,-17.085575103759766
-10.554952621459961,-16.21146583557129,-14.795366287231445
-8.373626708984375,-15.736077308654785,-8.844213485717773
-3.8714351654052734,-15.959074020385742,-15.59139633178711
-11.717653274536133,-16.997034072875977,-14.066598892211914
-2.0627479553222656,-15.849180221557617,-13.736154556274414
-9.3181791305542,-15.761717796325684,-6.889159202575684
-9.154388427734375,-16.017345428466797,-16.333545684814453
-7.152385711669922,-15.829529762268066,-16.556840896606445
-6.500287055969238,-16.21112060546875,-15.75259780883789
-9.241464614868164,-15.872453689575195,-14.568958282470703
-1.5581703186035156,-12.98569107055664,14.534280776977539
-4.481103897094727,-12.508307456970215,-17.217426300048828
-2.6675758361816406,-14.527017593383789,-3.6401681900024414
-3.5957069396972656,-10.694563865661621,-6.885403633117676
-0.25682640075683594,-14.598989486694336,-14.793088912963867
0.06416893005371094,-12.05051040649414,-2.129733085632324
-1.227874755859375,-15.893510818481445,6.207486152648926
-10.071981430053711,-15.357355117797852,-16.54460906982422
-12.849352836608887,-15.01201057434082,-15.351308822631836
-0.5446681976318359,-4.572578430175781,-10.562746047973633
-2.5162887573242188,-14.216386795043945,-14.842700958251953
-9.154410362243652,-16.017345428466797,13.534632682800293
-13.614072799682617,-15.910175323486328,-6.832309722900391
-11.824482917785645,-16.277626037597656,12.113425254821777
-13.570512771606445,-16.58681869506836,-13.964570999145508
-2.8674659729003906,-14.939352035522461,-11.439977645874023
-4.562068939208984,-10.227275848388672,-8.056770324707031
3.765552520751953,-14.687065124511719,-13.658570289611816
-6.5419111251831055,-12.545767784118652,-14.079826354980469
-8.283462524414062,-16.16701316833496,1.64239501953125
-10.466367721557617,-16.637845993041992,-4.53076171875
-9.6353759765625,-13.80368423461914,-4.749100685119629
-4.500581741333008,-15.969959259033203,-13.862842559814453
-4.299657821655273,-13.081056594848633,-15.124756813049316
-10.707736015319824,-13.673890113830566,1.984853744506836
-6.330776214599609,-16.451967239379883,-16.85601234436035
-10.578980445861816,-16.142030715942383,-2.549896240234375
-11.953241348266602,-16.132858276367188,14.699470520019531
-13.133892059326172,-14.908926010131836,-15.689349174499512
-3.999002456665039,-13.031013488769531,-13.292224884033203
-1.2804985046386719,-14.279658317565918,12.765089988708496
-7.1178483963012695,-15.320991516113281,-14.380369186401367
2.2661943435668945,-9.74402904510498,-14.33951473236084
-8.963078498840332,-15.289340019226074,4.933910369873047
-9.059490203857422,-16.236412048339844,-16.921674728393555
-3.1879634857177734,-9.635610580444336,-15.854623794555664
-3.3866443634033203,-13.387138366699219,-16.346908569335938
-5.037439346313477,-14.408124923706055,-16.53466033935547
-1.5581703186035156,-12.98569107055664,16.8216609954834
-11.439433097839355,-16.196088790893555,-17.037240982055664
-12.46917724609375,-16.046388626098633,-4.658841133117676
-4.3936004638671875,-14.671628952026367,3.8999862670898438
-6.844024658203125,-11.952320098876953,-9.255048751831055
-7.947378158569336,-15.41552734375,13.115468978881836
-7.626558303833008,-14.447858810424805,1.2756595611572266
-7.2551727294921875,-16.313636779785156,15.824049949645996
-13.202109336853027,-16.948564529418945,11.694249153137207
-9.463739395141602,-16.383014678955078,17.22047996520996
-0.7156982421875,-15.603848457336426,18.486661911010742
-9.3181791305542,-15.761717796325684,11.284996032714844
-7.802131652832031,-13.07046890258789,-7.931364059448242
-2.8394908905029297,-11.601263046264648,-9.321438789367676
-15.82180404663086,-16.565763473510742,-16.011154174804688
-12.366830825805664,-15.511392593383789,-15.39059066772461
-4.445652008056641,-15.022302627563477,-14.439647674560547
-2.0855941772460938,-14.996601104736328,-12.884356498718262
-10.578980445861816,-16.142030715942383,-16.93206214904785
-12.734081268310547,-15.035515785217285,-16.22384262084961
-11.824482917785645,-16.277626037597656,-12.953567504882812
-7.351213455200195,-15.95710563659668,-16.89391326904297
-6.035722732543945,-13.37659740447998,-15.12456226348877
-3.8761825561523438,-14.489181518554688,-16.370473861694336
-4.83116340637207,-16.186748504638672,-5.285459518432617
-7.391293525695801,-14.185586929321289,-6.753142356872559
-9.371841430664062,-15.035893440246582,-14.883078575134277
-2.3086414337158203,-11.917684555053711,-10.628812789916992
-13.346121788024902,-12.437686920166016,-16.37274932861328
-11.049416542053223,-13.028913497924805,-16.454633712768555
-0.7304115295410156,-7.955600738525391,-5.821856498718262
3.335468292236328,-7.711530685424805,-10.17374324798584
-6.868581771850586,-14.617286682128906,8.886905670166016
-10.595789909362793,-15.72130298614502,-15.890910148620605
-7.308429718017578,-15.242269515991211,-13.520742416381836
-5.612102508544922,-15.68764877319336,-12.980445861816406
-1.7956714630126953,-12.103939056396484,-15.65371322631836
-5.613195419311523,-16.161096572875977,-13.610509872436523
-6.845050811767578,-16.051115036010742,-0.3189849853515625
-15.123307228088379,-16.387012481689453,-8.705976486206055
-14.255050659179688,-15.451142311096191,-9.067225456237793
-9.051606178283691,-15.694089889526367,-14.610847473144531
-8.973612785339355,-15.942259788513184,-15.177009582519531
-2.4540538787841797,-14.328155517578125,-4.315528869628906
-0.93841552734375,-14.496309280395508,-16.717504501342773
-13.048843383789062,-15.07840633392334,-16.175294876098633
-10.044815063476562,-15.727583885192871,-16.953102111816406
-6.286986351013184,-12.119808197021484,-11.638078689575195
-5.29600715637207,-13.992817878723145,-16.1025447845459
-3.999002456665039,-13.031013488769531,-14.356717109680176
-7.235292434692383,-15.407570838928223,-8.92884635925293
1.0839424133300781,-11.248422622680664,-10.552265167236328
-9.892736434936523,-15.102930068969727,-15.38093376159668
-6.330776214599609,-16.451967239379883,-15.836169242858887
-7.255199432373047,-16.313636779785156,-14.58788776397705
-0.8368892669677734,-16.770475387573242,12.583463668823242
-5.438518524169922,-13.759733200073242,-2.1855392456054688
-1.9183940887451172,-7.4014787673950195,-9.882070541381836
-11.132736206054688,-15.012396812438965,-13.297428131103516
-5.042364120483398,-13.93138313293457,-12.649129867553711
-10.85373592376709,-16.442649841308594,-16.932151794433594
-0.5346851348876953,-13.584105491638184,-9.175261497497559
-5.664129257202148,-16.070077896118164,-0.10712623596191406
-5.390909194946289,-14.319601058959961,-15.111701965332031
-16.22078514099121,-16.272842407226562,-12.649201393127441
-10.871549606323242,-16.695964813232422,-13.490127563476562
-11.246231079101562,-15.897851943969727,-5.54920768737793
-9.564177513122559,-14.882850646972656,-15.67038345336914
-3.0426597595214844,-14.537261962890625,-1.7791872024536133
-11.010011672973633,-15.842040061950684,-15.922910690307617
-6.532745361328125,-12.160867691040039,-15.363784790039062
-6.282319068908691,-14.159358024597168,-15.755976676940918
-6.6192474365234375,-13.748615264892578,-13.364858627319336
-9.161698341369629,-16.331804275512695,-13.27110481262207
-4.642129898071289,-8.648887634277344,-7.1113691329956055
-9.63534927368164,-13.80368423461914,-8.596725463867188
-15.431913375854492,-16.34220314025879,-15.275096893310547
-3.4651565551757812,-10.400039672851562,-4.692817687988281
-5.17894172668457,-15.87088680267334,-15.341221809387207
-3.9438419342041016,-13.484170913696289,-14.354986190795898
-9.407878875732422,-13.832048416137695,-15.774044036865234
-8.527690887451172,-16.561203002929688,-15.912132263183594
-10.466312408447266,-16.637845993041992,-17.117219924926758
0.8591880798339844,-13.839212417602539,-10.440997123718262
-0.7156982421875,-15.603848457336426,-11.767183303833008
-12.693014144897461,-16.04335594177246,-15.249274253845215
-8.283428192138672,-16.16701316833496,-15.047690391540527
-12.22873592376709,-11.229011535644531,-11.53245735168457
-0.4387016296386719,-13.539241790771484,-4.070026397705078
-15.312982559204102,-16.06619644165039,-14.552031517028809
-11.74713134765625,-15.939176559448242,-17.27671241760254
-7.533927917480469,-15.676501274108887,-10.29417610168457
-10.84524917602539,-14.9661865234375,-8.881725311279297
-10.506912231445312,-15.657939910888672,-12.11532974243164
-12.630128860473633,-13.953624725341797,-15.745262145996094
-11.092344284057617,-16.073665618896484,-15.890129089355469
-8.533075332641602,-14.463212966918945,-4.738132476806641
-3.950315475463867,-12.78286361694336,-10.121068954467773
-15.650192260742188,-15.951116561889648,-12.825942993164062
-4.500581741333008,-15.969959259033203,-15.425455093383789
-3.2313060760498047,-15.6158447265625,-4.803651809692383
-8.963078498840332,-15.289340019226074,-10.534416198730469
-7.673086166381836,-16.292673110961914,-16.74679946899414
-8.117883682250977,-14.301948547363281,-12.637396812438965
-4.484414100646973,-14.835533142089844,-13.322141647338867
-2.6285762786865234,-15.394046783447266,-1.634908676147461
-11.006129264831543,-14.718368530273438,-14.131593704223633
-2.6172103881835938,-11.940570831298828,-15.946494102478027
-12.824804306030273,-15.778573036193848,-16.087474822998047
-0.9572582244873047,-15.284074783325195,-16.240297317504883
-4.745023727416992,-14.873706817626953,-14.704172134399414
-9.879326820373535,-15.651212692260742,-12.776443481445312
-4.643619537353516,-12.23358154296875,-11.227376937866211
-9.296260833740234,-12.639822006225586,-11.043867111206055
1.6924057006835938,-13.241795539855957,-6.119956016540527
-8.428168296813965,-16.484220504760742,-11.676816940307617
-5.31041145324707,-13.811094284057617,-12.052055358886719
-13.571908950805664,-14.679403305053711,-2.5203304290771484
-10.737518310546875,-15.197145462036133,-16.367910385131836
-14.132915496826172,-17.261043548583984,-16.440250396728516
-10.04054069519043,-15.564903259277344,-15.977402687072754
-12.308183670043945,-16.458881378173828,-15.049383163452148
-9.807785034179688,-14.681200981140137,-13.2847900390625
-11.279376983642578,-15.423498153686523,-13.760723114013672
-4.1667327880859375,-14.616382598876953,-7.873170852661133
-1.5651283264160156,-12.963830947875977,0.7652359008789062
-12.334901809692383,-15.808710098266602,-14.933938026428223
-2.7772769927978516,-14.186551094055176,-16.414897918701172
-6.5508222579956055,-14.106776237487793,-8.142463684082031
-10.984411239624023,-15.682121276855469,-13.71385383605957
-3.110963821411133,-13.83545207977295,-16.110116958618164
-6.495216369628906,-16.081140518188477,-13.315967559814453
-1.9051971435546875,-12.078914642333984,-9.53238296508789
-5.227373123168945,-12.265607833862305,-13.729887008666992
-9.545164108276367,-16.377717971801758,-16.637466430664062
-16.335613250732422,-16.539770126342773,-14.70545768737793
-12.88222885131836,-15.810686111450195,-14.123403549194336
1.4180068969726562,-9.400171279907227,-3.3788862228393555
-11.657763481140137,-14.30079174041748,-16.218093872070312
-10.41466999053955,-16.246593475341797,-14.725717544555664
-4.823503494262695,-14.721118927001953,-11.119511604309082
8.286783218383789,-7.514278411865234,-14.997471809387207
-5.512334823608398,-14.749330520629883,-16.768083572387695
-5.258382797241211,-12.010591506958008,-5.747966766357422
-12.90880012512207,-16.136816024780273,-11.019817352294922
-3.9673500061035156,-15.483322143554688,-11.507282257080078
-0.5446624755859375,-4.572578430175781,-8.596277236938477
-8.252979278564453,-14.396663665771484,-12.526802062988281
-6.732748031616211,-15.509111404418945,-14.956562042236328
-7.338434219360352,-15.763166427612305,-15.375738143920898
-5.295999526977539,-13.992817878723145,-16.1025447845459
-4.500141143798828,-14.940469741821289,-16.282604217529297
-5.17999267578125,-13.918676376342773,-15.405580520629883
-12.969335556030273,-15.944116592407227,-13.430656433105469
-12.031219482421875,-16.950212478637695,-16.58304214477539
-10.979456901550293,-15.79271411895752,-8.647809982299805
-7.800424575805664,-16.41512107849121,-13.337528228759766
-13.097265243530273,-13.923823356628418,-16.26156234741211
-14.669092178344727,-16.41893768310547,-14.025978088378906
-14.446229934692383,-16.533950805664062,-15.865883827209473
