empty,control,prompt
-1.1169261932373047,-3.820829391479492,-2.0724849700927734
-1.5863323211669922,-3.809539794921875,-3.912473678588867
-0.7419166564941406,-3.594453811645508,-2.999053955078125
-1.8842601776123047,-3.6315135955810547,-3.7899093627929688
-2.452547073364258,-3.841358184814453,-3.9695472717285156
-1.1169261932373047,-3.820829391479492,-2.7920055389404297
-1.1169261932373047,-3.820829391479492,-3.7715988159179688
-0.15889739990234375,-3.6685047149658203,-2.2436866760253906
-1.1169261932373047,-3.820829391479492,-2.9654998779296875
-1.1169261932373047,-3.820829391479492,-3.5357017517089844
-1.4885120391845703,-4.05394172668457,-2.8323211669921875
-2.2465057373046875,-3.6204051971435547,-3.995889663696289
-1.4885120391845703,-4.05394172668457,-2.9198226928710938
-1.1169261932373047,-3.820829391479492,-2.548999786376953
-3.0093746185302734,-3.293498992919922,-4.295766830444336
-1.4885120391845703,-4.05394172668457,-3.281026840209961
-3.2875022888183594,-4.217891693115234,-3.9457874298095703
-1.4885120391845703,-4.05394172668457,-1.0027751922607422
-1.4885120391845703,-4.05394172668457,-1.354318618774414
0.3214912414550781,-4.877985000610352,-3.280803680419922
-1.9486961364746094,-3.846027374267578,-3.720438003540039
0.8047161102294922,-4.290157318115234,-1.3825092315673828
-1.353506088256836,-3.782552719116211,-3.9896316528320312
-1.2609882354736328,-3.8810768127441406,-3.4541969299316406
-0.7071380615234375,-4.131471633911133,-3.750272750854492
-1.353506088256836,-3.782552719116211,-3.640789031982422
-1.4112777709960938,-3.952425003051758,-4.2039947509765625
-1.353506088256836,-3.782552719116211,-2.792348861694336
-2.311676025390625,-3.430910110473633,-3.9286460876464844
-1.353506088256836,-3.782552719116211,-4.091058731079102
-3.2875022888183594,-4.217891693115234,-3.218381881713867
-0.9946823120117188,-4.399742126464844,-4.346134185791016
-0.7419166564941406,-3.594453811645508,-3.3758811950683594
-2.311676025390625,-3.430910110473633,-4.65501594543457
-1.3971385955810547,-3.730297088623047,-2.796062469482422
-1.8842601776123047,-3.6315135955810547,-3.857179641723633
-0.9946823120117188,-4.399742126464844,-2.8966140747070312
-3.0093746185302734,-3.293498992919922,-3.5101490020751953
-1.5863323211669922,-3.809539794921875,-2.2466602325439453
-1.4885120391845703,-4.05394172668457,-2.530031204223633
-0.7419166564941406,-3.594453811645508,-4.064817428588867
1.1769428253173828,-4.322946548461914,4.00098991394043
-1.1169261932373047,-3.820829391479492,-1.8108882904052734
-2.527921676635742,-3.176025390625,-2.946767807006836
-1.5863323211669922,-3.809539794921875,-2.840627670288086
-1.353506088256836,-3.782552719116211,-3.6060218811035156
-0.9828414916992188,-3.6915225982666016,-3.087808609008789
-0.7419166564941406,-3.594453811645508,-4.251089096069336
-2.311676025390625,-3.430910110473633,-0.7508525848388672
-1.3971385955810547,-3.730297088623047,-2.9814224243164062
0.3214912414550781,-4.877985000610352,-3.320484161376953
-1.1169261932373047,-3.820829391479492,-1.91522216796875
-0.9946823120117188,-4.399742126464844,-3.7930068969726562
0.3214912414550781,-4.877985000610352,-3.156675338745117
-0.7419166564941406,-3.594453811645508,-3.6746482849121094
-1.1169261932373047,-3.820829391479492,-1.7513141632080078
-1.1169261932373047,-3.820829391479492,-2.8403892517089844
-2.452547073364258,-3.841358184814453,-4.161922454833984
-1.8842601776123047,-3.6315135955810547,-3.503215789794922
-1.1169261932373047,-3.820829391479492,-2.7548179626464844
-2.527921676635742,-3.176025390625,-3.879589080810547
0.3214912414550781,-4.877985000610352,-1.4396648406982422
-0.9946823120117188,-4.399742126464844,-4.40284538269043
0.3337726593017578,-3.9069480895996094,-3.0653247833251953
-1.8842601776123047,-3.6315135955810547,-3.551656723022461
-1.4885120391845703,-4.05394172668457,-3.720844268798828
-2.3955249786376953,-3.312713623046875,-3.60247802734375
-1.1169261932373047,-3.820829391479492,-1.2811012268066406
-1.1169261932373047,-3.820829391479492,-2.5070419311523438
-1.1169261932373047,-3.820829391479492,-3.1355628967285156
-3.0093746185302734,-3.293498992919922,-3.9476356506347656
-1.8842601776123047,-3.6315135955810547,-4.007694244384766
-1.0332508087158203,-3.965188980102539,-3.9436779022216797
-0.9946823120117188,-4.399742126464844,-3.2179908752441406
-0.9946823120117188,-4.399742126464844,-2.91290283203125
-1.7601280212402344,-3.528524398803711,-2.8232154846191406
-0.7058391571044922,-3.6158504486083984,-2.758298873901367
-1.1169261932373047,-3.820829391479492,-2.846792221069336
-1.353506088256836,-3.782552719116211,-3.458179473876953
-0.9946823120117188,-4.399742126464844,-3.375020980834961
-1.353506088256836,-3.782552719116211,-3.560331344604492
-1.8842601776123047,-3.6315135955810547,-3.666107177734375
-1.4885120391845703,-4.05394172668457,-3.4449081420898438
-0.7058391571044922,-3.6158504486083984,-1.7308120727539062
-3.0093746185302734,-3.293498992919922,-3.9227352142333984
-0.9589118957519531,-3.924358367919922,-3.878957748413086
-0.9946823120117188,-4.399742126464844,-3.198617935180664
0.3337726593017578,-3.9069480895996094,-5.230852127075195
0.3214912414550781,-4.877985000610352,-3.2673721313476562
1.1769428253173828,-4.322946548461914,3.5884552001953125
0.8047161102294922,-4.290157318115234,-0.6161746978759766
1.1769428253173828,-4.322946548461914,-2.9622745513916016
-1.8564109802246094,-3.766437530517578,-2.2855358123779297
-1.1169261932373047,-3.820829391479492,-2.757436752319336
-1.8842601776123047,-3.6315135955810547,-3.620138168334961
-0.9589118957519531,-3.924358367919922,-3.968914031982422
-1.1169261932373047,-3.820829391479492,-2.260009765625
-2.3955249786376953,-3.312713623046875,-3.927318572998047
-1.8842601776123047,-3.6315135955810547,-3.085163116455078
-1.4885120391845703,-4.05394172668457,-3.182680130004883
-2.452547073364258,-3.841358184814453,-3.7272071838378906
-2.1861820220947266,-4.166755676269531,-3.9542503356933594
-0.7071380615234375,-4.131471633911133,-2.746143341064453
-2.452547073364258,-3.841358184814453,-3.1000423431396484
-0.9946823120117188,-4.399742126464844,-4.27459716796875
-1.8842601776123047,-3.6315135955810547,-3.4867000579833984
-1.8842601776123047,-3.6315135955810547,-3.305755615234375
-0.5469722747802734,-3.2223148345947266,-3.334209442138672
-1.8842601776123047,-3.6315135955810547,-3.3844127655029297
-0.6033115386962891,-3.733823776245117,-2.5769577026367188
-1.0332508087158203,-3.965188980102539,-2.9111461639404297
-1.353506088256836,-3.782552719116211,-3.869844436645508
-2.1274986267089844,-4.476715087890625,-2.379556655883789
-3.1539955139160156,-4.269878387451172,-4.904840469360352
-1.8842601776123047,-3.6315135955810547,-3.9563159942626953
-1.1169261932373047,-3.820829391479492,-3.5118446350097656
1.1769428253173828,-4.322946548461914,-3.0420970916748047
-1.4885120391845703,-4.05394172668457,-2.337970733642578
-0.9946823120117188,-4.399742126464844,-3.1916255950927734
-2.0407485961914062,-3.912302017211914,-3.7940292358398438
-1.4885120391845703,-4.05394172668457,2.3074111938476562
-1.4885120391845703,-4.05394172668457,-2.339069366455078
-0.7419166564941406,-3.594453811645508,-0.8138313293457031
-0.7071380615234375,-4.131471633911133,-4.177221298217773
-2.311676025390625,-3.430910110473633,-3.3954830169677734
-1.4885120391845703,-4.05394172668457,-2.3102588653564453
-1.0332508087158203,-3.965188980102539,-4.055368423461914
-1.353506088256836,-3.782552719116211,-3.9600601196289062
-0.9828414916992188,-3.6915225982666016,-2.8150405883789062
-1.4885120391845703,-4.05394172668457,-3.6783275604248047
-1.353506088256836,-3.782552719116211,-2.789705276489258
-1.3971385955810547,-3.730297088623047,-2.9621448516845703
-2.1274986267089844,-4.476715087890625,-2.619119644165039
-1.0332508087158203,-3.965188980102539,-4.1820831298828125
-2.452547073364258,-3.841358184814453,-4.209407806396484
1.1769428253173828,-4.322946548461914,-0.5417194366455078
-1.6687297821044922,-4.281179428100586,-3.764190673828125
-0.7419166564941406,-3.594453811645508,-4.329130172729492
