empty,control,prompt
0.17214393615722656,-9.076517105102539,-9.22736930847168
-7.363136291503906,-15.639593124389648,-17.6104736328125
-7.785527229309082,-15.2320556640625,-7.8426666259765625
-1.280487060546875,-14.279658317565918,-8.134033203125
-13.753850936889648,-15.169633865356445,-18.185842514038086
-7.759072303771973,-12.44999885559082,-15.041297912597656
-1.7683181762695312,-14.457540512084961,-13.461912155151367
-11.336883544921875,-15.053054809570312,-14.805938720703125
-2.3566856384277344,-15.094002723693848,-15.06462287902832
-12.631224632263184,-14.636967658996582,-16.137001037597656
-1.2239341735839844,-15.730368614196777,-16.052701950073242
-7.595758438110352,-12.397113800048828,-13.869146347045898
-5.295999526977539,-13.992817878723145,-17.34851837158203
-2.133535385131836,-14.857730865478516,-4.432989120483398
-12.652524948120117,-16.291690826416016,-16.33818817138672
-2.157939910888672,-14.479877471923828,-17.26958656311035
-15.963603019714355,-15.794418334960938,-16.65643310546875
-3.4527721405029297,-14.690607070922852,-3.518289566040039
-3.4756736755371094,-15.234572410583496,-13.903206825256348
-10.930092811584473,-15.779542922973633,-13.86479377746582
15.885926246643066,-10.181825637817383,-13.89561653137207
-5.136669158935547,-12.886157989501953,5.86444091796875
-12.690399169921875,-15.121214866638184,-16.1423397064209
-5.136669158935547,-12.886157989501953,-8.429417610168457
-11.085275650024414,-14.404241561889648,-11.830178260803223
-7.363142013549805,-15.639593124389648,-15.603676795959473
-14.001306533813477,-16.287612915039062,-16.50998306274414
-4.364336013793945,-9.97156047821045,-9.885673522949219
-11.720159530639648,-16.122394561767578,-16.82742691040039
-9.78621768951416,-14.715364456176758,-14.54166316986084
-8.262107849121094,-14.546789169311523,-0.33382606506347656
-7.363142013549805,-15.639593124389648,-13.14284896850586
-15.622041702270508,-15.07974624633789,-14.623897552490234
-5.136669158935547,-12.886157989501953,-13.350190162658691
-15.963603019714355,-15.794418334960938,-16.302379608154297
-13.848955154418945,-16.910551071166992,-14.750099182128906
-4.364336013793945,-9.97156047821045,0.9338417053222656
-9.255340576171875,-16.003307342529297,-16.792224884033203
-5.007232666015625,-12.572088241577148,-10.97785758972168
-1.1213817596435547,-12.660101890563965,-11.475088119506836
-11.16232681274414,-15.205856323242188,-8.551790237426758
-12.849352836608887,-15.01201057434082,-4.148097991943359
6.208710670471191,-12.018320083618164,-5.584733963012695
-10.707736015319824,-13.673890113830566,-4.806271553039551
-2.1579456329345703,-14.479877471923828,-17.52389907836914
-1.6407642364501953,-14.15731430053711,-16.894533157348633
-4.554441452026367,-13.682218551635742,-1.2823028564453125
-15.115205764770508,-15.690086364746094,-14.48493766784668
-3.262918472290039,-13.82156753540039,5.684337615966797
-8.262107849121094,-14.546789169311523,-11.683777809143066
-13.19691276550293,-16.598222732543945,-10.265172958374023
-8.763508796691895,-14.274438858032227,-7.510795593261719
-1.6407642364501953,-14.15731430053711,-13.00261116027832
-11.953241348266602,-16.132858276367188,-14.469050407409668
-15.000770568847656,-15.849554061889648,-12.908205032348633
-3.950315475463867,-12.78286361694336,-9.720280647277832
-14.589348793029785,-16.42352294921875,-7.64375114440918
-6.207113265991211,-15.31635856628418,-7.752702713012695
