empty,control,prompt
-7.1552324295043945,-5.108631134033203,-3.976541757583618
-10.186561584472656,-5.6154279708862305,-2.3132424354553223
-8.463399887084961,-4.744533538818359,-1.2001527547836304
-9.445952415466309,-6.065547943115234,-3.4267215728759766
-7.2497711181640625,-4.421164035797119,-1.9368427991867065
-8.92322063446045,-5.430140018463135,-2.628084421157837
-6.613766670227051,-4.6057586669921875,-2.305589437484741
-7.299767971038818,-4.919368267059326,-1.977351427078247
-7.3586297035217285,-4.258403301239014,-2.0146658420562744
-8.636269569396973,-6.200059413909912,-2.8773868083953857
-6.6290202140808105,-4.8320746421813965,-2.0950467586517334
-8.932473182678223,-5.3884758949279785,-3.1568872928619385
-8.619189262390137,-5.157062530517578,-3.981337785720825
-9.53528118133545,-4.9761643409729,-2.048628330230713
-9.853913307189941,-5.718775272369385,-3.7609503269195557
-7.916718482971191,-5.747561931610107,-2.376805543899536
-9.655508995056152,-7.635234355926514,-3.9205162525177
-8.36278247833252,-6.168785095214844,-2.4739696979522705
-10.099344253540039,-7.136281490325928,-5.270175457000732
-8.766383171081543,-6.215224742889404,-3.0736138820648193
-9.802526473999023,-5.838062286376953,-3.3401622772216797
-7.994071960449219,-3.431892156600952,-2.785106897354126
-10.156388282775879,-5.1724700927734375,-2.464590311050415
-9.16148853302002,-6.391623020172119,-3.543689727783203
-7.797264575958252,-6.412381172180176,-2.6479873657226562
-8.20838451385498,-5.44083833694458,-2.782315969467163
-7.444714069366455,-5.891982078552246,-2.536426544189453
-7.783072471618652,-5.150474548339844,-6.136416912078857
-8.289884567260742,-5.300140380859375,-2.3309054374694824
-7.981180667877197,-4.2986321449279785,-2.718752384185791
-9.096993446350098,-5.529129505157471,-3.041123390197754
-10.580657958984375,-6.481118679046631,-3.3779892921447754
-7.53828763961792,-4.306283950805664,-2.4288270473480225
-9.265661239624023,-6.3582305908203125,-4.60004186630249
-8.494817733764648,-5.1543474197387695,-2.7974770069122314
-9.789334297180176,-6.104953289031982,-3.0802524089813232
-7.084737777709961,-5.191697120666504,-3.1178221702575684
-8.486495971679688,-5.318456172943115,-2.3006808757781982
-8.390064239501953,-5.251066207885742,-2.9841277599334717
-9.402358055114746,-5.879665374755859,-5.451717376708984
-6.429267883300781,-3.640096426010132,-1.3813470602035522
-8.182842254638672,-4.379971981048584,-2.814910411834717
-7.173855781555176,-4.527341842651367,-1.9603201150894165
-8.196195602416992,-4.708064079284668,-3.3320672512054443
-7.191922664642334,-4.478816986083984,-2.0208146572113037
-9.6627779006958,-5.45391321182251,-3.155573844909668
-9.27610969543457,-4.848626136779785,-3.349297285079956
-9.738544464111328,-6.743282318115234,-3.2922680377960205
-8.430335998535156,-4.988261699676514,-3.4438090324401855
-10.158869743347168,-6.022061824798584,-2.3008687496185303
-9.814515113830566,-5.979591369628906,-2.7364985942840576
-9.123779296875,-5.893107891082764,-2.2625205516815186
-5.890922546386719,-4.348418712615967,-3.4285995960235596
-7.5554304122924805,-3.8154025077819824,-2.6656007766723633
-7.220741271972656,-3.737787961959839,-2.152907371520996
-9.727456092834473,-5.328706741333008,-2.8782832622528076
-7.6610107421875,-5.741129398345947,-3.345242977142334
-7.891690731048584,-5.1875128746032715,-2.524559736251831
-8.98827838897705,-4.734105587005615,-2.8695080280303955
-8.83183765411377,-5.1615214347839355,-4.155623912811279
-8.06965446472168,-4.146274566650391,-1.9362967014312744
-9.487678527832031,-6.686552047729492,-4.52318811416626
-11.070241928100586,-6.089457035064697,-4.130343437194824
-8.826290130615234,-5.343645095825195,-2.484377145767212
-8.381546020507812,-5.037365436553955,-3.030691385269165
-8.224181175231934,-5.520537376403809,-2.9988512992858887
-7.67346715927124,-4.1694207191467285,-1.8108364343643188
-10.937063217163086,-6.052017688751221,-4.32097864151001
-9.065847396850586,-6.066018581390381,-2.380889654159546
-9.694293022155762,-6.414318561553955,-5.2950897216796875
-7.9953413009643555,-4.889596462249756,-2.571685552597046
-6.808846950531006,-4.949029922485352,-2.573455333709717
-8.99814510345459,-5.287811279296875,-1.7566914558410645
-8.109567642211914,-5.963429927825928,-4.102710723876953
-10.94962215423584,-7.00299072265625,-3.2275516986846924
-7.954474449157715,-4.8696746826171875,-2.3036727905273438
-8.066044807434082,-3.8651621341705322,-1.900520920753479
-7.096241474151611,-4.7578511238098145,-2.203564405441284
-6.929844856262207,-4.178805351257324,-2.9356746673583984
-8.60561752319336,-4.556716442108154,-1.5792156457901
