empty,control,prompt
-4.894146919250488,-9.3583984375,-4.191885948181152
-15.34057903289795,-11.037880897521973,-10.099020004272461
-10.51090145111084,-9.041645050048828,-0.5547323226928711
-10.304468154907227,-9.725482940673828,-8.729105949401855
-15.572525978088379,-11.714037895202637,-11.123865127563477
-11.304770469665527,-12.659577369689941,-0.8791446685791016
-10.039393424987793,-6.796084403991699,-2.049563407897949
-13.528614044189453,-11.946771621704102,-3.4640378952026367
-15.117816925048828,-9.167420387268066,-8.976839065551758
-7.131573677062988,-8.703958511352539,-6.3294677734375
-11.784435272216797,-10.827136039733887,2.051608085632324
0.3674774169921875,-8.793752670288086,0.4108848571777344
-7.788073539733887,-11.685184478759766,-13.218291282653809
-13.337291717529297,-9.8900785446167,-3.1426525115966797
-3.368401527404785,-8.178180694580078,-1.7241334915161133
-7.319608688354492,-12.14411735534668,-10.30472183227539
-4.295597076416016,-8.393738746643066,-8.02598762512207
-13.371312141418457,-15.61091423034668,-1.8851432800292969
-12.120809555053711,-9.833902359008789,-8.143529891967773
-2.6208724975585938,-11.69924259185791,-6.327722549438477
-9.411433219909668,-9.020031929016113,9.962918281555176
-3.8470077514648438,-11.4537353515625,-2.075786590576172
-6.584138870239258,-8.10216236114502,-4.967676162719727
-8.502287864685059,-12.619816780090332,2.036397933959961
-10.137714385986328,-13.205162048339844,-5.167299270629883
-0.71246337890625,-9.192476272583008,-3.69915771484375
-4.189897537231445,-12.96990966796875,0.2703990936279297
-6.9116363525390625,-9.431661605834961,-6.593130111694336
-15.507957458496094,-10.382402420043945,-10.493576049804688
-2.8396377563476562,-11.376325607299805,-8.967208862304688
-9.86397647857666,-10.553977966308594,-12.007181167602539
-17.52505874633789,-13.358695030212402,-10.14522933959961
-6.81890869140625,-10.413270950317383,-9.307724952697754
10.816505432128906,-7.178727149963379,0.6106710433959961
-9.42634105682373,-10.458893775939941,-7.937198638916016
-0.2946052551269531,-12.820709228515625,-13.169875144958496
-4.223698616027832,-10.682711601257324,-11.709492683410645
10.716804504394531,-7.508502960205078,0.009740829467773438
-6.859041213989258,-11.44544792175293,-14.085834503173828
-11.27595043182373,-10.769652366638184,-8.756383895874023
-14.52041244506836,-10.517273902893066,-8.930463790893555
-1.747807502746582,-7.884584426879883,-0.4998502731323242
-16.595842361450195,-14.63111686706543,-11.507980346679688
-5.5030107498168945,-10.263200759887695,-7.024288177490234
-14.604118347167969,-13.150407791137695,-10.054550170898438
-11.04801082611084,-10.657909393310547,-10.288805961608887
-3.1444358825683594,-13.742042541503906,-15.014952659606934
-7.367740631103516,-11.745603561401367,-12.693187713623047
-12.867717742919922,-11.389411926269531,-13.241485595703125
-15.923611640930176,-12.235170364379883,6.752403259277344
-7.345062255859375,-10.854110717773438,1.2129650115966797
-11.369983673095703,-10.561813354492188,-6.854510307312012
-4.518659591674805,-11.398824691772461,0.08750343322753906
-14.497314453125,-11.129094123840332,-9.13028335571289
-5.992040634155273,-12.16264820098877,-15.323149681091309
-4.854513168334961,-6.715829849243164,9.82065486907959
0.32814979553222656,-13.56854248046875,-8.354159355163574
-6.686378479003906,-8.25636100769043,6.9906415939331055
