yes,no,diff
-3.8302364349365234,-1.2457122802734375,-2.584524154663086
-7.489672660827637,-0.9736747741699219,-6.515997886657715
-7.31207275390625,-2.234649658203125,-5.077423095703125
-4.913906097412109,-0.8703746795654297,-4.04353141784668
-4.2581939697265625,-0.3558521270751953,-3.902341842651367
-8.681102752685547,-0.12775421142578125,-8.553348541259766
-6.474674224853516,-0.08510398864746094,-6.389570236206055
-0.2933673858642578,-1.6587066650390625,1.3653392791748047
-7.891879081726074,-2.9519424438476562,-4.939936637878418
-6.583521842956543,-2.7945804595947266,-3.7889413833618164
-6.928330421447754,-0.5433025360107422,-6.385027885437012
-2.220216751098633,-1.8460769653320312,-0.37413978576660156
-7.741570472717285,-2.0492076873779297,-5.6923627853393555
-3.5588741302490234,-1.8593578338623047,-1.6995162963867188
-8.245670318603516,-2.1399154663085938,-6.105754852294922
-5.976444244384766,-1.793375015258789,-4.183069229125977
-4.542713165283203,-1.6398124694824219,-2.9029006958007812
-6.122459411621094,-0.12943649291992188,-5.993022918701172
-6.323295593261719,-2.1118240356445312,-4.2114715576171875
-6.054040908813477,-2.2127132415771484,-3.841327667236328
-7.666953086853027,-3.5540008544921875,-4.11295223236084
-4.512645721435547,-2.386016845703125,-2.126628875732422
-5.395395278930664,-1.8665924072265625,-3.5288028717041016
-7.194355010986328,-0.03461647033691406,-7.159738540649414
-8.869380950927734,-0.07247543334960938,-8.796905517578125
-2.463319778442383,-0.16721725463867188,-2.296102523803711
-7.28629207611084,-1.723062515258789,-5.563229560852051
-2.6033191680908203,-2.7493534088134766,0.14603424072265625
-7.315151214599609,-3.4287376403808594,-3.88641357421875
-6.509971618652344,-0.5662460327148438,-5.9437255859375
-0.26921653747558594,-2.2977867126464844,2.0285701751708984
-7.243054389953613,-0.7625350952148438,-6.4805192947387695
-7.373791694641113,-3.212677001953125,-4.161114692687988
-8.280765533447266,-2.2019519805908203,-6.078813552856445
-7.062529563903809,-0.6774635314941406,-6.385066032409668
-6.759515762329102,-0.773468017578125,-5.986047744750977
-4.054098129272461,-1.5046119689941406,-2.5494861602783203
-2.877897262573242,-1.2303657531738281,-1.647531509399414
-8.247922897338867,-1.0424575805664062,-7.205465316772461
-7.891236305236816,-3.229045867919922,-4.6621904373168945
-6.839961051940918,-1.0685100555419922,-5.771450996398926
-8.011090278625488,-0.6037540435791016,-7.407336235046387
-5.398443222045898,-1.1344108581542969,-4.264032363891602
-8.231902122497559,-1.2669715881347656,-6.964930534362793
-5.986110687255859,-0.9136028289794922,-5.072507858276367
-4.893169403076172,-0.11022186279296875,-4.782947540283203
-7.507717132568359,-0.5206584930419922,-6.987058639526367
-1.5265369415283203,-4.349905014038086,2.8233680725097656
-3.8127365112304688,-1.6333503723144531,-2.1793861389160156
-6.354339599609375,-0.11274147033691406,-6.241598129272461
-1.816019058227539,-3.072162628173828,1.256143569946289
-7.091154098510742,-2.1361045837402344,-4.955049514770508
-5.704133987426758,-2.790264129638672,-2.913869857788086
-7.619333267211914,-0.1306629180908203,-7.488670349121094
-5.500579833984375,-2.0434131622314453,-3.4571666717529297
-5.1182708740234375,-0.5363445281982422,-4.581926345825195
-6.675159454345703,-2.330953598022461,-4.344205856323242
-7.9693498611450195,-1.0336322784423828,-6.935717582702637
-6.564411163330078,-0.08673667907714844,-6.47767448425293
-8.234060287475586,-0.35639190673828125,-7.877668380737305
-4.388277053833008,-0.06467247009277344,-4.323604583740234
-8.081586837768555,-0.6286849975585938,-7.452901840209961
-4.211223602294922,-2.7984752655029297,-1.4127483367919922
-7.065397262573242,-0.057422637939453125,-7.007974624633789
-4.612091064453125,-1.5283088684082031,-3.083782196044922
-6.610842704772949,-1.4377517700195312,-5.173090934753418
-8.14543342590332,-0.09031867980957031,-8.05511474609375
-4.451362609863281,-1.9002227783203125,-2.5511398315429688
-7.121950149536133,-0.4227104187011719,-6.699239730834961
-7.010141372680664,-3.438568115234375,-3.571573257446289
-3.584218978881836,-1.9708633422851562,-1.6133556365966797
-5.757638931274414,-0.11348915100097656,-5.6441497802734375
-4.939218521118164,-2.9300270080566406,-2.0091915130615234
-7.173270225524902,-1.2218055725097656,-5.951464653015137
-5.480289459228516,-2.0052223205566406,-3.475067138671875
-7.864240646362305,-1.5193004608154297,-6.344940185546875
-8.377214431762695,-0.08288383483886719,-8.294330596923828
-7.741289138793945,-1.3702239990234375,-6.371065139770508
-4.72465705871582,-1.871774673461914,-2.8528823852539062
-7.96793270111084,-0.7137928009033203,-7.2541399002075195
-8.351668357849121,-0.52587890625,-7.825789451599121
-5.603601455688477,-2.5858383178710938,-3.017763137817383
-5.603893280029297,-2.345643997192383,-3.258249282836914
-8.003425598144531,-1.4806690216064453,-6.522756576538086
-6.9300384521484375,-1.8104057312011719,-5.119632720947266
-8.141749382019043,-0.31036376953125,-7.831385612487793
-1.9163169860839844,-2.2206764221191406,0.30435943603515625
-3.8983306884765625,-1.4090862274169922,-2.4892444610595703
-3.067584991455078,-0.19113540649414062,-2.8764495849609375
-6.164012908935547,-2.991617202758789,-3.172395706176758
-4.746591567993164,-2.2306671142578125,-2.5159244537353516
-8.127321243286133,-0.7989521026611328,-7.328369140625
-7.715664863586426,-0.3956794738769531,-7.319985389709473
-5.993892669677734,-0.2198810577392578,-5.774011611938477
-7.676156997680664,-1.161336898803711,-6.514820098876953
-7.3230485916137695,-1.2729377746582031,-6.050110816955566
-6.740083694458008,-2.53912353515625,-4.200960159301758
-6.920367240905762,-1.8804912567138672,-5.0398759841918945
-6.210636138916016,-0.089447021484375,-6.121189117431641
-5.957958221435547,-0.05225181579589844,-5.905706405639648
-6.904589653015137,-1.096273422241211,-5.808316230773926
