yes,no,diff
-14.609626770019531,-12.159875869750977,-2.4497509002685547
-15.62583065032959,-1.1362552642822266,-14.489575386047363
-1.4055347442626953,-11.864691734313965,10.45915699005127
-3.8069610595703125,-8.691404342651367,4.884443283081055
-11.057001113891602,-12.164031028747559,1.107029914855957
-16.944730758666992,-3.359006881713867,-13.585723876953125
-16.29955291748047,-2.805746078491211,-13.493806838989258
-3.6562423706054688,-10.670817375183105,7.014575004577637
-16.09823989868164,-5.623964309692383,-10.474275588989258
-19.673667907714844,-12.445229530334473,-7.228438377380371
-15.1234130859375,-4.043317794799805,-11.080095291137695
-11.175420761108398,-8.926560401916504,-2.2488603591918945
-16.13188934326172,-4.605077743530273,-11.526811599731445
-13.13939380645752,-12.392460823059082,-0.7469329833984375
-17.003171920776367,-3.3005733489990234,-13.702598571777344
-8.466621398925781,-10.292978286743164,1.8263568878173828
-1.4897594451904297,-12.340141296386719,10.850381851196289
-19.26850700378418,-6.440317153930664,-12.828189849853516
-14.975042343139648,-8.817262649536133,-6.157779693603516
-17.2333984375,-7.424238204956055,-9.809160232543945
-15.163619041442871,-7.5528764724731445,-7.610742568969727
-12.297676086425781,-12.052467346191406,-0.245208740234375
-15.469876289367676,-8.236509323120117,-7.233366966247559
-15.826242446899414,-3.076841354370117,-12.749401092529297
-19.87942123413086,-0.0005168914794921875,-19.878904342651367
-16.53871726989746,-6.335432052612305,-10.203285217285156
-15.745916366577148,-0.5899715423583984,-15.15594482421875
-13.486759185791016,-13.11523723602295,-0.3715219497680664
-12.998281478881836,-5.371013641357422,-7.627267837524414
-16.331209182739258,-0.04231452941894531,-16.288894653320312
-0.015216827392578125,-18.032264709472656,18.017047882080078
-17.83483123779297,-5.715993881225586,-12.118837356567383
-14.521466255187988,-8.427472114562988,-6.093994140625
-14.043220520019531,-7.582027435302734,-6.461193084716797
-14.105761528015137,-0.7608737945556641,-13.344887733459473
-15.749760627746582,-7.830513000488281,-7.919247627258301
