yes,no,diff
-3.5030155181884766,-0.03238105773925781,-3.4706344604492188
-3.8378257751464844,-0.024494171142578125,-3.8133316040039062
-0.2501983642578125,-1.5149059295654297,1.2647075653076172
-0.7563152313232422,-0.6383323669433594,-0.11798286437988281
-3.161069869995117,-0.04846000671386719,-3.11260986328125
-4.871232986450195,-0.008771896362304688,-4.862461090087891
-0.23836135864257812,-1.5635738372802734,1.3252124786376953
-0.3659648895263672,-1.1982746124267578,0.8323097229003906
-2.8011512756347656,-0.0735626220703125,-2.727588653564453
-0.19039344787597656,-1.7548389434814453,1.5644454956054688
-1.0875663757324219,-0.417205810546875,-0.6703605651855469
-1.4974403381347656,-0.2558116912841797,-1.241628646850586
-3.5922718048095703,-0.029653549194335938,-3.5626182556152344
-3.1006393432617188,-0.04657936096191406,-3.0540599822998047
-2.9586448669433594,-0.06752395629882812,-2.8911209106445312
-2.429746627807617,-0.09417724609375,-2.335569381713867
-0.23423004150390625,-1.5688743591308594,1.3346443176269531
-3.4762954711914062,-0.03307533264160156,-3.4432201385498047
-1.3231830596923828,-0.3118267059326172,-1.0113563537597656
-3.6411399841308594,-0.02797698974609375,-3.6131629943847656
-1.325876235961914,-0.3146190643310547,-1.0112571716308594
-0.11237335205078125,-2.248292922973633,2.1359195709228516
-1.1684436798095703,-0.37345123291015625,-0.7949924468994141
-1.1014213562011719,-0.4071159362792969,-0.694305419921875
-3.404207229614258,-0.03661346435546875,-3.367593765258789
-0.19658660888671875,-1.7292499542236328,1.532663345336914
-1.8045997619628906,-0.1827564239501953,-1.6218433380126953
-0.3622398376464844,-1.1939010620117188,0.8316612243652344
-3.8803672790527344,-0.022848129272460938,-3.8575191497802734
-3.7445011138916016,-0.025127410888671875,-3.7193737030029297
-2.261209487915039,-0.11813163757324219,-2.143077850341797
-3.5492324829101562,-0.030172348022460938,-3.5190601348876953
-0.5694618225097656,-0.8481864929199219,0.27872467041015625
-0.6564235687255859,-0.7387237548828125,0.08230018615722656
-4.580085754394531,-0.012088775634765625,-4.567996978759766
-3.023714065551758,-0.052249908447265625,-2.971464157104492
-2.564393997192383,-0.08198356628417969,-2.482410430908203
-1.1709232330322266,-0.3725433349609375,-0.7983798980712891
-4.322122573852539,-0.014955520629882812,-4.307167053222656
-2.4835567474365234,-0.08808517456054688,-2.3954715728759766
-2.1169204711914062,-0.12969589233398438,-1.9872245788574219
-4.038732528686523,-0.01860809326171875,-4.020124435424805
-3.338472366333008,-0.03818511962890625,-3.3002872467041016
-2.3693695068359375,-0.10170364379882812,-2.2676658630371094
-0.5945930480957031,-0.8057708740234375,0.21117782592773438
-2.9593639373779297,-0.05428123474121094,-2.9050827026367188
-5.074857711791992,-0.0071659088134765625,-5.067691802978516
-0.41280364990234375,-1.0855865478515625,0.6727828979492188
-1.9568653106689453,-0.15378761291503906,-1.8030776977539062
-2.7659568786621094,-0.06982612609863281,-2.6961307525634766
-1.6773853302001953,-0.20792388916015625,-1.469461441040039
-3.2177047729492188,-0.045703887939453125,-3.1720008850097656
-1.281707763671875,-0.3276386260986328,-0.9540691375732422
-3.0655956268310547,-0.049991607666015625,-3.015604019165039
-0.23423385620117188,-1.572885513305664,1.3386516571044922
-1.6240234375,-0.2215404510498047,-1.4024829864501953
-0.18162918090820312,-1.7980422973632812,1.6164131164550781
-4.420343399047852,-0.014493942260742188,-4.405849456787109
-3.516977310180664,-0.03505516052246094,-3.481922149658203
-4.407569885253906,-0.013078689575195312,-4.394491195678711
-2.7239112854003906,-0.06966972351074219,-2.6542415618896484
-2.661151885986328,-0.07511138916015625,-2.586040496826172
-0.23770523071289062,-1.5574207305908203,1.3197154998779297
-0.45220947265625,-1.014577865600586,0.5623683929443359
-0.431427001953125,-1.0526084899902344,0.6211814880371094
-4.779644012451172,-0.008785247802734375,-4.7708587646484375
-0.015752792358398438,-4.197902679443359,4.182149887084961
-0.7677822113037109,-0.6244335174560547,-0.14334869384765625
-4.247566223144531,-0.01694488525390625,-4.230621337890625
-1.3162269592285156,-0.31390953063964844,-1.0023174285888672
-0.7671051025390625,-0.6254119873046875,-0.141693115234375
-4.894624710083008,-0.008459091186523438,-4.886165618896484
-0.23023414611816406,-1.5832805633544922,1.3530464172363281
-3.6073551177978516,-0.029109954833984375,-3.578245162963867
-4.436910629272461,-0.012628555297851562,-4.424282073974609
-3.932962417602539,-0.020502090454101562,-3.9124603271484375
-3.034717559814453,-0.05796623229980469,-2.9767513275146484
-3.3112106323242188,-0.03846931457519531,-3.2727413177490234
-0.05010986328125,-3.0634593963623047,3.0133495330810547
-4.664098739624023,-0.012731552124023438,-4.6513671875
-4.246965408325195,-0.015972137451171875,-4.230993270874023
-2.6153945922851562,-0.07707786560058594,-2.5383167266845703
-0.9238624572753906,-0.5074615478515625,-0.4164009094238281
-3.647981643676758,-0.0267486572265625,-3.6212329864501953
-3.3509521484375,-0.040195465087890625,-3.3107566833496094
-4.871913909912109,-0.008829116821289062,-4.86308479309082
-2.7935829162597656,-0.06412506103515625,-2.7294578552246094
-0.08910942077636719,-2.4684906005859375,2.3793811798095703
-1.7279033660888672,-0.19942474365234375,-1.5284786224365234
-2.517232894897461,-0.08613204956054688,-2.431100845336914
-1.3326129913330078,-0.3079414367675781,-1.0246715545654297
-5.909296989440918,-0.0030040740966796875,-5.906292915344238
-4.40557861328125,-0.012842178344726562,-4.392736434936523
-3.462259292602539,-0.03526115417480469,-3.4269981384277344
-5.183998107910156,-0.00603485107421875,-5.1779632568359375
-3.1130313873291016,-0.048778533935546875,-3.0642528533935547
-2.7183189392089844,-0.07137107849121094,-2.6469478607177734
-2.983316421508789,-0.05246543884277344,-2.9308509826660156
-2.2968807220458984,-0.10829925537109375,-2.1885814666748047
-4.204622268676758,-0.015857696533203125,-4.188764572143555
-2.8378734588623047,-0.060810089111328125,-2.7770633697509766
-4.525861740112305,-0.011373519897460938,-4.514488220214844
-0.21324729919433594,-1.6549224853515625,1.4416751861572266
-3.352365493774414,-0.037670135498046875,-3.314695358276367
-3.779848098754883,-0.024526596069335938,-3.755321502685547
-3.0103797912597656,-0.05151939392089844,-2.958860397338867
-0.2219867706298828,-1.6178302764892578,1.395843505859375
-0.5076274871826172,-0.9282493591308594,0.4206218719482422
-5.02692985534668,-0.007190704345703125,-5.019739151000977
-0.18881607055664062,-1.7643585205078125,1.5755424499511719
-2.178770065307617,-0.1212921142578125,-2.0574779510498047
-3.690929412841797,-0.027643203735351562,-3.6632862091064453
-0.8576412200927734,-0.5597133636474609,-0.2979278564453125
-3.6786651611328125,-0.027700424194335938,-3.6509647369384766
-3.8271656036376953,-0.023664474487304688,-3.8035011291503906
-5.027143478393555,-0.007099151611328125,-5.020044326782227
-2.313993453979492,-0.10667800903320312,-2.207315444946289
-0.11919784545898438,-2.1940059661865234,2.074808120727539
-0.32106781005859375,-1.2984580993652344,0.9773902893066406
-2.523233413696289,-0.08528327941894531,-2.4379501342773438
-3.0867767333984375,-0.04961967468261719,-3.0371570587158203
-0.022748947143554688,-3.8094520568847656,3.786703109741211
-3.8667469024658203,-0.022417068481445312,-3.844329833984375
-0.33600807189941406,-1.2563533782958984,0.9203453063964844
-2.7826271057128906,-0.07098388671875,-2.7116432189941406
-4.683868408203125,-0.009855270385742188,-4.674013137817383
-4.147396087646484,-0.017885208129882812,-4.129510879516602
-1.0868911743164062,-0.4123058319091797,-0.6745853424072266
-2.8826904296875,-0.058963775634765625,-2.8237266540527344
-3.4251041412353516,-0.03670501708984375,-3.388399124145508
-0.4679088592529297,-0.9870357513427734,0.5191268920898438
-0.24069595336914062,-1.5453166961669922,1.3046207427978516
-5.033735275268555,-0.006900787353515625,-5.026834487915039
-0.31888389587402344,-1.3015727996826172,0.9826889038085938
-4.249422073364258,-0.01666259765625,-4.232759475708008
-0.11509513854980469,-2.22821044921875,2.1131153106689453
-3.6831188201904297,-0.028167724609375,-3.6549510955810547
-2.502595901489258,-0.09776687622070312,-2.4048290252685547
-5.059543609619141,-0.0072689056396484375,-5.052274703979492
-3.847902297973633,-0.022754669189453125,-3.8251476287841797
-3.6083984375,-0.028459548950195312,-3.5799388885498047
-3.7729721069335938,-0.024639129638671875,-3.748332977294922
-1.5693817138671875,-0.23445892333984375,-1.3349227905273438
-4.130891799926758,-0.018610000610351562,-4.112281799316406
-0.2805595397949219,-1.4326534271240234,1.1520938873291016
-0.16247940063476562,-1.9006614685058594,1.7381820678710938
-3.120563507080078,-0.04621696472167969,-3.0743465423583984
-3.2869338989257812,-0.04186248779296875,-3.2450714111328125
-4.262825012207031,-0.015825271606445312,-4.246999740600586
-0.2101459503173828,-1.666402816772461,1.4562568664550781
-0.5874366760253906,-0.8179702758789062,0.23053359985351562
-0.5523700714111328,-0.8611221313476562,0.30875205993652344
-5.082906723022461,-0.0068073272705078125,-5.076099395751953
-4.3227081298828125,-0.014909744262695312,-4.307798385620117
-1.098531723022461,-0.4072723388671875,-0.6912593841552734
-4.091608047485352,-0.017486572265625,-4.074121475219727
-0.5187225341796875,-0.9101600646972656,0.3914375305175781
-4.795804977416992,-0.008840560913085938,-4.786964416503906
-2.4519901275634766,-0.09469032287597656,-2.3572998046875
-1.0477027893066406,-0.4365959167480469,-0.6111068725585938
-1.3870277404785156,-0.28863525390625,-1.0983924865722656
-1.8060722351074219,-0.1851959228515625,-1.6208763122558594
-4.517337799072266,-0.0117950439453125,-4.505542755126953
-0.9506263732910156,-0.48941993713378906,-0.46120643615722656
-0.6207523345947266,-0.7722053527832031,0.15145301818847656
-1.1248817443847656,-0.4003620147705078,-0.7245197296142578
-1.3329277038574219,-0.30788612365722656,-1.0250415802001953
-4.909858703613281,-0.008785247802734375,-4.901073455810547
-2.103893280029297,-0.1331195831298828,-1.970773696899414
-1.2286319732666016,-0.3548698425292969,-0.8737621307373047
-5.154901504516602,-0.0071926116943359375,-5.147708892822266
-0.4552898406982422,-1.01287841796875,0.5575885772705078
-1.316183090209961,-0.31725120544433594,-0.998931884765625
-1.3350105285644531,-0.3087882995605469,-1.0262222290039062
-4.899848937988281,-0.008060455322265625,-4.891788482666016
-1.4584617614746094,-0.2670116424560547,-1.1914501190185547
-4.962503433227539,-0.0073070526123046875,-4.955196380615234
-4.74915885925293,-0.00978851318359375,-4.739370346069336
-0.8985652923583984,-0.5238666534423828,-0.3746986389160156
-2.776742935180664,-0.07428550720214844,-2.7024574279785156
-3.265909194946289,-0.04434967041015625,-3.221559524536133
-4.280832290649414,-0.017007827758789062,-4.263824462890625
-3.1948013305664062,-0.04386329650878906,-3.150938034057617
-3.8767833709716797,-0.02190399169921875,-3.854879379272461
-2.3894405364990234,-0.09829902648925781,-2.2911415100097656
-4.731647491455078,-0.009206771850585938,-4.722440719604492
-0.19751930236816406,-1.7253780364990234,1.5278587341308594
-4.766349792480469,-0.00939178466796875,-4.7569580078125
-2.8918094635009766,-0.06118965148925781,-2.8306198120117188
-4.739986419677734,-0.009439468383789062,-4.730546951293945
-7.056858062744141,-0.000942230224609375,-7.055915832519531
-5.636592864990234,-0.00386810302734375,-5.632724761962891
-0.6665897369384766,-0.7217445373535156,0.05515480041503906
-3.0262088775634766,-0.05085945129394531,-2.9753494262695312
-4.536323547363281,-0.011333465576171875,-4.524990081787109
-3.728700637817383,-0.028844833374023438,-3.6998558044433594
-2.599813461303711,-0.08707427978515625,-2.5127391815185547
-3.5955848693847656,-0.031097412109375,-3.5644874572753906
-3.3155956268310547,-0.03850555419921875,-3.277090072631836
-4.142066955566406,-0.018690109252929688,-4.123376846313477
-3.3762283325195312,-0.036487579345703125,-3.339740753173828
-4.563459396362305,-0.013402938842773438,-4.550056457519531
-5.4887189865112305,-0.0045299530029296875,-5.484189033508301
-6.069807052612305,-0.002964019775390625,-6.066843032836914
-4.681980133056641,-0.010463714599609375,-4.671516418457031
-4.019573211669922,-0.019468307495117188,-4.000104904174805
-0.7358684539794922,-0.6564006805419922,-0.0794677734375
-0.05217933654785156,-2.9845924377441406,2.932413101196289
-1.4227619171142578,-0.27742767333984375,-1.145334243774414
-1.7557907104492188,-0.1953887939453125,-1.5604019165039062
-4.797615051269531,-0.0086822509765625,-4.788932800292969
-0.54345703125,-0.8705902099609375,0.3271331787109375
-4.195095062255859,-0.016222000122070312,-4.178873062133789
-0.2525005340576172,-1.5085067749023438,1.2560062408447266
-0.3050708770751953,-1.3377037048339844,1.032632827758789
-1.8925247192382812,-0.1689434051513672,-1.723581314086914
-0.8006954193115234,-0.6012153625488281,-0.1994800567626953
-3.718446731567383,-0.025669097900390625,-3.692777633666992
-0.2971763610839844,-1.364389419555664,1.0672130584716797
-3.650543212890625,-0.02706146240234375,-3.6234817504882812
-3.3771934509277344,-0.03663444519042969,-3.3405590057373047
-4.07335090637207,-0.022701263427734375,-4.050649642944336
-0.9723300933837891,-0.47868919372558594,-0.4936408996582031
-0.5236930847167969,-0.9003143310546875,0.3766212463378906
-3.9632339477539062,-0.020231246948242188,-3.943002700805664
-4.018516540527344,-0.018438339233398438,-4.000078201293945
-3.599149703979492,-0.030923843383789062,-3.568225860595703
-1.2741127014160156,-0.3314838409423828,-0.9426288604736328
-3.408212661743164,-0.03460121154785156,-3.3736114501953125
-0.09888839721679688,-2.3674354553222656,2.2685470581054688
-0.22373199462890625,-1.6127662658691406,1.3890342712402344
-2.7142391204833984,-0.07176017761230469,-2.6424789428710938
-2.291971206665039,-0.11078262329101562,-2.1811885833740234
-4.8953094482421875,-0.007879257202148438,-4.887430191040039
-2.415740966796875,-0.09615135192871094,-2.319589614868164
-0.8450050354003906,-0.5754356384277344,-0.26956939697265625
-1.5870552062988281,-0.23324012756347656,-1.3538150787353516
-2.073741912841797,-0.13858413696289062,-1.9351577758789062
-0.30321693420410156,-1.3468360900878906,1.043619155883789
-3.6095314025878906,-0.02817535400390625,-3.5813560485839844
-1.4207038879394531,-0.2783069610595703,-1.1423969268798828
-2.739461898803711,-0.06783294677734375,-2.671628952026367
-4.986320495605469,-0.00864410400390625,-4.9776763916015625
-4.698030471801758,-0.009929656982421875,-4.688100814819336
-2.252634048461914,-0.11329078674316406,-2.13934326171875
-0.08107948303222656,-2.560403823852539,2.4793243408203125
-0.5700969696044922,-0.8353176116943359,0.26522064208984375
-0.18063735961914062,-1.8097000122070312,1.6290626525878906
-2.148916244506836,-0.12458038330078125,-2.0243358612060547
-3.979156494140625,-0.020473480224609375,-3.9586830139160156
-2.051637649536133,-0.14450454711914062,-1.9071331024169922
-3.0094566345214844,-0.05320930480957031,-2.956247329711914
-2.453441619873047,-0.09306526184082031,-2.3603763580322266
-0.3239269256591797,-1.2908859252929688,0.9669589996337891
-2.4160118103027344,-0.09561538696289062,-2.3203964233398438
-3.6161556243896484,-0.02819061279296875,-3.5879650115966797
-0.3396492004394531,-1.2473258972167969,0.9076766967773438
-1.2329025268554688,-0.34908294677734375,-0.883819580078125
-5.266241073608398,-0.0056972503662109375,-5.2605438232421875
-2.288959503173828,-0.10790824890136719,-2.181051254272461
-0.028774261474609375,-3.5777816772460938,3.5490074157714844
-0.2273845672607422,-1.5986919403076172,1.371307373046875
-1.4850826263427734,-0.2591705322265625,-1.225912094116211
-1.9775676727294922,-0.15809249877929688,-1.8194751739501953
-0.2661266326904297,-1.4586257934570312,1.1924991607666016
-2.975423812866211,-0.0531005859375,-2.922323226928711
-2.327585220336914,-0.10421180725097656,-2.2233734130859375
-4.428302764892578,-0.012508392333984375,-4.415794372558594
-4.309450149536133,-0.014797210693359375,-4.294652938842773
-4.34736442565918,-0.014333724975585938,-4.333030700683594
-1.4382610321044922,-0.274566650390625,-1.1636943817138672
-5.126548767089844,-0.006519317626953125,-5.120029449462891
-0.2739982604980469,-1.4392871856689453,1.1652889251708984
-3.949735641479492,-0.020822525024414062,-3.928913116455078
-3.868711471557617,-0.022127151489257812,-3.8465843200683594
-2.6539306640625,-0.07378196716308594,-2.580148696899414
-1.2829971313476562,-0.3253307342529297,-0.9576663970947266
-2.1429309844970703,-0.1277618408203125,-2.015169143676758
-3.931406021118164,-0.0210418701171875,-3.9103641510009766
-4.104267120361328,-0.01723480224609375,-4.087032318115234
-4.639034271240234,-0.010488510131835938,-4.628545761108398
-0.09019851684570312,-2.4665889739990234,2.3763904571533203
-4.862133026123047,-0.008836746215820312,-4.853296279907227
-1.7690925598144531,-0.19370460510253906,-1.575387954711914
-0.09694480895996094,-2.3900318145751953,2.2930870056152344
-1.8539619445800781,-0.17366981506347656,-1.6802921295166016
-0.031494140625,-3.4833240509033203,3.4518299102783203
-3.3868656158447266,-0.035076141357421875,-3.3517894744873047
-2.890605926513672,-0.0591888427734375,-2.8314170837402344
-4.48161506652832,-0.011667251586914062,-4.469947814941406
-1.1802082061767578,-0.3723945617675781,-0.8078136444091797
-1.503835678100586,-0.25342369079589844,-1.2504119873046875
-0.22799301147460938,-1.5927181243896484,1.364725112915039
-2.8041915893554688,-0.06344413757324219,-2.7407474517822266
-3.3594818115234375,-0.03816032409667969,-3.321321487426758
-2.1663150787353516,-0.12550926208496094,-2.0408058166503906
-0.2203388214111328,-1.6262683868408203,1.4059295654296875
-2.6494369506835938,-0.07408332824707031,-2.5753536224365234
-4.401021957397461,-0.01485443115234375,-4.386167526245117
-0.10568618774414062,-2.311767578125,2.2060813903808594
-0.3387603759765625,-1.2556018829345703,0.9168415069580078
-0.24660301208496094,-1.5317363739013672,1.2851333618164062
-1.1488151550292969,-0.38421058654785156,-0.7646045684814453
-0.2123737335205078,-1.6602344512939453,1.4478607177734375
-3.5069313049316406,-0.03124237060546875,-3.475688934326172
-2.0348358154296875,-0.14211082458496094,-1.8927249908447266
-4.608549118041992,-0.010808944702148438,-4.597740173339844
-4.47416877746582,-0.01186370849609375,-4.462305068969727
-5.26429557800293,-0.006267547607421875,-5.258028030395508
-1.4770736694335938,-0.2611217498779297,-1.215951919555664
-4.1956024169921875,-0.016241073608398438,-4.179361343383789
-0.045154571533203125,-3.1310367584228516,3.0858821868896484
-2.8808441162109375,-0.05882835388183594,-2.8220157623291016
-0.105743408203125,-2.3109474182128906,2.2052040100097656
-2.739513397216797,-0.06772804260253906,-2.671785354614258
-5.3963775634765625,-0.005046844482421875,-5.391330718994141
-1.1189613342285156,-0.3967247009277344,-0.7222366333007812
-4.298053741455078,-0.014081954956054688,-4.283971786499023
-0.10910415649414062,-2.281024932861328,2.1719207763671875
-4.384143829345703,-0.013126373291015625,-4.3710174560546875
-0.5711708068847656,-0.8332977294921875,0.2621269226074219
-0.6675777435302734,-0.7207145690917969,0.05313682556152344
-0.45827484130859375,-1.0037651062011719,0.5454902648925781
-1.6515159606933594,-0.2150554656982422,-1.4364604949951172
