yes,no,diff
-2.197005271911621,-0.6282539367675781,-1.568751335144043
-2.041895866394043,-0.6079139709472656,-1.4339818954467773
-1.3299999237060547,-1.313302993774414,-0.016696929931640625
-1.628427505493164,-0.7951316833496094,-0.8332958221435547
-2.236800193786621,-0.7529869079589844,-1.4838132858276367
-2.566636085510254,-0.4011573791503906,-2.1654787063598633
-1.2575950622558594,-1.227874755859375,-0.029720306396484375
-1.6192350387573242,-1.1530513763427734,-0.4661836624145508
-2.105693817138672,-0.6969623565673828,-1.408731460571289
-1.782210350036621,-1.1590900421142578,-0.6231203079223633
-1.6875371932983398,-1.0089607238769531,-0.6785764694213867
-1.708125114440918,-1.0075016021728516,-0.7006235122680664
-2.0674362182617188,-0.6306266784667969,-1.4368095397949219
-1.992807388305664,-0.6868267059326172,-1.3059806823730469
-2.067446708679199,-0.8793163299560547,-1.1881303787231445
-1.876643180847168,-0.8134670257568359,-1.063176155090332
-1.6637535095214844,-0.9854450225830078,-0.6783084869384766
-2.1274776458740234,-0.6343517303466797,-1.4931259155273438
-1.9635772705078125,-0.9668025970458984,-0.9967746734619141
-1.8401412963867188,-0.7467765808105469,-1.0933647155761719
-1.938826560974121,-1.0015716552734375,-0.9372549057006836
-1.523859977722168,-0.9795188903808594,-0.5443410873413086
-1.8000526428222656,-0.7510147094726562,-1.0490379333496094
-1.9433956146240234,-0.886383056640625,-1.0570125579833984
-2.271329879760742,-0.5912456512451172,-1.680084228515625
-1.4572505950927734,-1.2118282318115234,-0.24542236328125
-2.1214256286621094,-0.8936138153076172,-1.2278118133544922
-1.3977222442626953,-1.0490856170654297,-0.3486366271972656
-2.1057052612304688,-0.6536617279052734,-1.4520435333251953
-2.111661911010742,-0.7561569213867188,-1.3555049896240234
-1.826308250427246,-0.7606678009033203,-1.0656404495239258
-2.1670055389404297,-0.5996303558349609,-1.5673751831054688
-1.8291254043579102,-1.1575431823730469,-0.6715822219848633
-1.788238525390625,-0.8105583190917969,-0.9776802062988281
-2.6183090209960938,-0.6219749450683594,-1.9963340759277344
-1.7018632888793945,-0.7311496734619141,-0.9707136154174805
-2.038320541381836,-0.7350177764892578,-1.3033027648925781
-1.5484390258789062,-0.9006786346435547,-0.6477603912353516
-2.423442840576172,-0.4819221496582031,-1.9415206909179688
-1.9421300888061523,-0.6884880065917969,-1.2536420822143555
-2.0021095275878906,-0.6814136505126953,-1.3206958770751953
-2.4645347595214844,-0.49536895751953125,-1.9691658020019531
-2.0291738510131836,-0.6612625122070312,-1.3679113388061523
-2.107666015625,-0.8475532531738281,-1.2601127624511719
-1.5661115646362305,-1.0981864929199219,-0.4679250717163086
-2.209385871887207,-0.7622299194335938,-1.4471559524536133
-2.259760856628418,-0.4814434051513672,-1.7783174514770508
-1.5876083374023438,-0.946014404296875,-0.6415939331054688
-1.768824577331543,-0.8115024566650391,-0.9573221206665039
-1.990859031677246,-0.845367431640625,-1.145491600036621
-1.9675493240356445,-0.7431697845458984,-1.224379539489746
-2.0835838317871094,-0.6631393432617188,-1.4204444885253906
-1.843740463256836,-0.9813709259033203,-0.8623695373535156
-2.1671485900878906,-0.8109531402587891,-1.3561954498291016
-1.7049999237060547,-1.0097980499267578,-0.6952018737792969
-2.1708250045776367,-0.8357486724853516,-1.3350763320922852
-1.7272663116455078,-1.0639724731445312,-0.6632938385009766
-2.7818031311035156,-0.4457836151123047,-2.336019515991211
-2.2787647247314453,-0.6115245819091797,-1.6672401428222656
-2.7233314514160156,-0.5020503997802734,-2.221281051635742
-2.169689178466797,-0.790191650390625,-1.3794975280761719
-2.0221099853515625,-0.6793289184570312,-1.3427810668945312
-1.607635498046875,-1.2669200897216797,-0.3407154083251953
-1.762557029724121,-0.9665603637695312,-0.7959966659545898
-1.5752649307250977,-0.953857421875,-0.6214075088500977
-2.1919565200805664,-0.6104316711425781,-1.5815248489379883
-1.0961971282958984,-1.6211214065551758,0.5249242782592773
-1.8443670272827148,-0.8241596221923828,-1.020207405090332
-2.5343685150146484,-0.5300769805908203,-2.004291534423828
-1.8634719848632812,-0.7110424041748047,-1.1524295806884766
-1.9397649765014648,-0.7393379211425781,-1.2004270553588867
-2.629718780517578,-0.4860649108886719,-2.1436538696289062
