yes,no,diff
-7.761257171630859,-1.8928871154785156,-5.868370056152344
-9.231289863586426,-2.404247283935547,-6.827042579650879
-8.814538955688477,-2.679903030395508,-6.134635925292969
-6.619714736938477,-1.0083198547363281,-5.611394882202148
-9.570263862609863,-3.4215259552001953,-6.148737907409668
-9.186304092407227,-1.7176094055175781,-7.468694686889648
-8.2096529006958,-2.547090530395508,-5.662562370300293
-7.448341369628906,-1.8984909057617188,-5.5498504638671875
-7.219235420227051,-2.942049026489258,-4.277186393737793
-9.97298812866211,-4.022129058837891,-5.950859069824219
-5.955646514892578,-0.2278289794921875,-5.727817535400391
-9.56119155883789,-3.1132240295410156,-6.447967529296875
-9.10759449005127,-2.760509490966797,-6.347084999084473
-8.221379280090332,-1.9087963104248047,-6.312582969665527
-9.168359756469727,-3.002542495727539,-6.1658172607421875
-9.019306182861328,-2.970325469970703,-6.048980712890625
-8.964011192321777,-2.600017547607422,-6.3639936447143555
-7.909391403198242,-1.4680023193359375,-6.441389083862305
-9.569599151611328,-3.927215576171875,-5.642383575439453
-8.808377265930176,-3.7461719512939453,-5.0622053146362305
-7.673439979553223,-2.3850955963134766,-5.288344383239746
-8.307012557983398,-2.3557567596435547,-5.951255798339844
-9.046981811523438,-2.96868896484375,-6.0782928466796875
-8.980733871459961,-2.9367752075195312,-6.04395866394043
-9.46429443359375,-2.5943756103515625,-6.8699188232421875
-8.08620548248291,-2.0125885009765625,-6.073616981506348
-7.926531791687012,-2.6823558807373047,-5.244175910949707
-6.925239562988281,-2.1487655639648438,-4.7764739990234375
-8.518074035644531,-2.0146121978759766,-6.503461837768555
-8.78757381439209,-1.7482490539550781,-7.039324760437012
-8.124053001403809,-2.6236743927001953,-5.500378608703613
-8.499932289123535,-1.9635791778564453,-6.53635311126709
-9.154199600219727,-4.24553108215332,-4.908668518066406
-8.300212860107422,-1.9232597351074219,-6.376953125
-9.700638771057129,-3.2294864654541016,-6.471152305603027
-6.948329925537109,-0.27863121032714844,-6.669698715209961
-6.867154121398926,-1.3158588409423828,-5.551295280456543
-6.67176628112793,-0.7223300933837891,-5.949436187744141
-9.401103019714355,-1.4289131164550781,-7.972189903259277
-8.490605354309082,-1.9210147857666016,-6.5695905685424805
-9.178839683532715,-2.155385971069336,-7.023453712463379
-8.6648530960083,-0.8239364624023438,-7.840916633605957
-6.942731857299805,-1.235565185546875,-5.70716667175293
-8.84485912322998,-2.522977828979492,-6.321881294250488
-7.833569526672363,-1.6052589416503906,-6.228310585021973
-6.6426849365234375,-0.6333141326904297,-6.009370803833008
-8.565945625305176,-0.8653964996337891,-7.700549125671387
-5.7106475830078125,-2.407644271850586,-3.3030033111572266
-7.065978050231934,-1.6278820037841797,-5.438096046447754
-9.383392333984375,-3.2746047973632812,-6.108787536621094
-8.235261917114258,-2.421173095703125,-5.814088821411133
-6.440454483032227,-1.7639179229736328,-4.676536560058594
-8.266878128051758,-2.8335914611816406,-5.433286666870117
-9.321198463439941,-2.8209972381591797,-6.500201225280762
-8.568853378295898,-2.440187454223633,-6.128665924072266
-8.147395133972168,-2.4574451446533203,-5.689949989318848
-9.996606826782227,-3.4013137817382812,-6.595293045043945
-8.824239730834961,-1.268819808959961,-7.555419921875
-7.715753555297852,-1.2460823059082031,-6.469671249389648
-9.000235557556152,-0.9152584075927734,-8.084977149963379
-7.219465255737305,-1.3809089660644531,-5.838556289672852
-7.065418243408203,-0.3636970520019531,-6.70172119140625
-8.572446823120117,-3.1435089111328125,-5.428937911987305
-8.587638854980469,-3.0533599853515625,-5.534278869628906
-8.080960273742676,-2.264627456665039,-5.816332817077637
-7.51591682434082,-0.9777927398681641,-6.538124084472656
-8.845980644226074,-2.9675827026367188,-5.8783979415893555
-8.671521186828613,-2.9281253814697266,-5.743395805358887
-8.48416519165039,-1.85040283203125,-6.633762359619141
-8.790175437927246,-2.3883705139160156,-6.4018049240112305
-8.380791664123535,-2.405233383178711,-5.975558280944824
-8.197949409484863,-1.5053977966308594,-6.692551612854004
-8.6585111618042,-2.6568222045898438,-6.0016889572143555
-8.678871154785156,-1.7585716247558594,-6.920299530029297
-8.286309242248535,-1.9125003814697266,-6.373808860778809
-8.871037483215332,-1.7961883544921875,-7.0748491287231445
-8.755870819091797,-1.9346771240234375,-6.821193695068359
-9.804601669311523,-3.548114776611328,-6.256486892700195
-7.863485336303711,-1.9142112731933594,-5.949274063110352
-9.375727653503418,-2.628490447998047,-6.747237205505371
-8.692656517028809,-1.7369194030761719,-6.955737113952637
-8.188797950744629,-2.2016544342041016,-5.987143516540527
-8.36685562133789,-2.3589401245117188,-6.007915496826172
-8.940065383911133,-1.3968276977539062,-7.543237686157227
-6.990758895874023,-0.85003662109375,-6.140722274780273
-9.199713706970215,-0.1697235107421875,-9.029990196228027
-7.932999610900879,-2.4171199798583984,-5.5158796310424805
-7.509557723999023,-1.7386531829833984,-5.770904541015625
-4.815116882324219,-0.2954578399658203,-4.519659042358398
-5.030693054199219,-0.7259693145751953,-4.304723739624023
-8.75271224975586,-2.536956787109375,-6.215755462646484
-8.545608520507812,-1.2702007293701172,-7.275407791137695
-9.1832857131958,-2.7433433532714844,-6.439942359924316
-7.723268508911133,-1.2693252563476562,-6.453943252563477
-7.6565093994140625,-1.6358909606933594,-6.020618438720703
-9.244669914245605,-3.174694061279297,-6.069975852966309
-8.182796478271484,-2.0085086822509766,-6.174287796020508
-8.737117767333984,-2.6620750427246094,-6.075042724609375
-6.504754066467285,-1.1586494445800781,-5.346104621887207
-8.330413818359375,-2.198122024536133,-6.132291793823242
