yes,no,diff
-7.72039794921875,-5.807007789611816,-1.9133901596069336
-13.158394813537598,-4.2617340087890625,-8.896660804748535
-5.910116195678711,-7.362128257751465,1.452012062072754
-4.804431915283203,-7.564664840698242,2.760232925415039
-5.062578201293945,-6.4831743240356445,1.4205961227416992
-11.889846801757812,-4.677574157714844,-7.212272644042969
-7.345819473266602,-7.066518783569336,-0.2793006896972656
-4.831125259399414,-7.899541854858398,3.0684165954589844
-7.435558319091797,-6.013362884521484,-1.4221954345703125
-6.807962417602539,-6.245580673217773,-0.5623817443847656
-4.569812774658203,-7.4945068359375,2.924694061279297
-9.378885269165039,-5.623722076416016,-3.7551631927490234
-7.567193984985352,-5.448792457580566,-2.118401527404785
-6.599645614624023,-7.118492126464844,0.5188465118408203
-10.783300399780273,-5.10399055480957,-5.679309844970703
-6.095966339111328,-6.117160797119141,0.0211944580078125
-6.396331787109375,-6.188085556030273,-0.20824623107910156
-9.037294387817383,-5.706645965576172,-3.330648422241211
-5.385219573974609,-6.652437210083008,1.2672176361083984
-10.602750778198242,-5.432964324951172,-5.16978645324707
-7.674396514892578,-5.303674697875977,-2.3707218170166016
-6.251619338989258,-6.298336029052734,0.04671669006347656
-5.864784240722656,-6.4922685623168945,0.6274843215942383
-6.262126922607422,-7.067878723144531,0.8057518005371094
-8.639060974121094,-5.2455291748046875,-3.3935317993164062
-4.062919616699219,-7.202922821044922,3.140003204345703
-5.797512054443359,-5.9503631591796875,0.15285110473632812
-4.6856536865234375,-8.657605171203613,3.971951484680176
-8.151586532592773,-6.201747894287109,-1.949838638305664
-6.7332868576049805,-5.689920425415039,-1.0433664321899414
-4.24449348449707,-7.9267425537109375,3.682249069213867
-10.838269233703613,-4.900232315063477,-5.938036918640137
-6.107355117797852,-5.665937423706055,-0.4414176940917969
-5.076633453369141,-6.738155364990234,1.6615219116210938
-13.129173278808594,-5.041025161743164,-8.08814811706543
-4.960142135620117,-6.921808242797852,1.9616661071777344
-4.760564804077148,-8.180368423461914,3.4198036193847656
-6.831172943115234,-5.796649932861328,-1.0345230102539062
-11.331148147583008,-4.185853958129883,-7.145294189453125
-7.106243133544922,-6.04145622253418,-1.0647869110107422
-7.009727478027344,-5.39263916015625,-1.6170883178710938
-13.93803882598877,-4.777048110961914,-9.160990715026855
-10.312111854553223,-5.8297224044799805,-4.482389450073242
-5.429616928100586,-6.785262107849121,1.3556451797485352
-7.3674774169921875,-6.480842590332031,-0.8866348266601562
-6.2606000900268555,-6.78089714050293,0.5202970504760742
-13.958145141601562,-3.7090835571289062,-10.249061584472656
-4.385612487792969,-9.911575317382812,5.525962829589844
-4.036430358886719,-9.844197273254395,5.807766914367676
-11.500364303588867,-5.341611862182617,-6.15875244140625
-7.926349639892578,-5.42194938659668,-2.5044002532958984
-5.89811897277832,-7.056307792663574,1.158188819885254
-7.262851715087891,-6.849767684936523,-0.4130840301513672
-10.502460479736328,-5.240821838378906,-5.261638641357422
-4.189142227172852,-6.807195663452148,2.618053436279297
-6.820894241333008,-7.152366638183594,0.33147239685058594
-8.231203079223633,-5.99857234954834,-2.232630729675293
-12.073446273803711,-4.364923477172852,-7.708522796630859
-8.995317459106445,-5.968547821044922,-3.0267696380615234
-11.870043754577637,-4.317285537719727,-7.55275821685791
-6.367454528808594,-6.166635513305664,-0.2008190155029297
-6.026479721069336,-5.805103302001953,-0.2213764190673828
-5.453935623168945,-5.447538375854492,-0.006397247314453125
-5.421146392822266,-7.329219818115234,1.9080734252929688
-4.48719596862793,-6.940426826477051,2.453230857849121
-7.154947280883789,-7.218023300170898,0.06307601928710938
-9.216168403625488,-7.305899620056152,-1.910268783569336
-5.734153747558594,-7.05094051361084,1.316786766052246
-11.0072603225708,-5.055536270141602,-5.951724052429199
-6.645708084106445,-6.594614028930664,-0.05109405517578125
