yes,no,diff
-8.871389389038086,-0.48120880126953125,-8.390180587768555
-10.440594673156738,-0.25821399688720703,-10.182380676269531
-6.468761444091797,-4.392127990722656,-2.0766334533691406
-5.328103065490723,-3.143744468688965,-2.184358596801758
-7.131596565246582,-2.38021183013916,-4.751384735107422
-12.188721656799316,-0.11512088775634766,-12.073600769042969
-8.329032897949219,-1.7170019149780273,-6.612030982971191
-0.6349754333496094,-12.945545196533203,12.310569763183594
-10.120199203491211,-3.712514877319336,-6.407684326171875
-9.299744606018066,-1.8288755416870117,-7.470869064331055
-3.9278640747070312,-3.7257184982299805,-0.20214557647705078
-9.186877250671387,-0.4445066452026367,-8.74237060546875
-9.282712936401367,-0.6856575012207031,-8.597055435180664
-5.456888198852539,-2.838186264038086,-2.618701934814453
-10.75224781036377,-0.2568368911743164,-10.495410919189453
-10.438106536865234,-5.462177276611328,-4.975929260253906
-4.371976852416992,-2.4788894653320312,-1.893087387084961
-10.09316349029541,-0.2037820816040039,-9.889381408691406
-6.824106216430664,-2.2970762252807617,-4.527029991149902
-10.502735137939453,-0.18107128143310547,-10.321663856506348
-8.655345916748047,-0.8848056793212891,-7.770540237426758
-7.138129234313965,-3.5476131439208984,-3.5905160903930664
-7.346589088439941,-0.8263988494873047,-6.520190238952637
-6.337770462036133,-3.180539131164551,-3.157231330871582
-10.757757186889648,-0.19103050231933594,-10.566726684570312
-0.5666608810424805,-7.186781883239746,6.620121002197266
-5.611824035644531,-2.5614700317382812,-3.05035400390625
-0.8554716110229492,-8.348512649536133,7.493041038513184
-7.563994884490967,-1.1645174026489258,-6.399477481842041
-9.631156921386719,-0.3994760513305664,-9.231680870056152
-0.8804101943969727,-7.874896049499512,6.994485855102539
-11.167675971984863,-0.17691421508789062,-10.990761756896973
-8.767407417297363,-2.023280143737793,-6.74412727355957
-6.6524200439453125,-4.417236328125,-2.2351837158203125
-10.926328659057617,-0.17403697967529297,-10.752291679382324
-7.215154647827148,-3.003965377807617,-4.211189270019531
-2.443833351135254,-6.157036781311035,3.7132034301757812
-8.326364517211914,-1.8763856887817383,-6.449978828430176
-11.836406707763672,-0.11043071746826172,-11.72597599029541
-7.8446502685546875,-0.42452526092529297,-7.4201250076293945
-10.786661148071289,-0.1719808578491211,-10.614680290222168
-12.526144027709961,-0.07483386993408203,-12.451310157775879
-10.844852447509766,-0.2519874572753906,-10.592864990234375
-7.455503463745117,-2.2382373809814453,-5.217266082763672
-7.784004211425781,-1.8201866149902344,-5.963817596435547
-8.776381492614746,-0.9967241287231445,-7.779657363891602
-10.105073928833008,-0.27655029296875,-9.828523635864258
-0.706669807434082,-13.853540420532227,13.146870613098145
-0.7989959716796875,-7.229971885681152,6.430975914001465
-9.53878402709961,-0.4919605255126953,-9.046823501586914
-9.014236450195312,-0.4738578796386719,-8.54037857055664
-9.915220260620117,-2.1194944381713867,-7.7957258224487305
-8.248001098632812,-1.6231021881103516,-6.624898910522461
-12.13963508605957,-0.09772872924804688,-12.041906356811523
-0.8452291488647461,-9.981403350830078,9.136174201965332
-0.7360906600952148,-11.270341873168945,10.53425121307373
-9.254362106323242,-0.9451217651367188,-8.309240341186523
-11.310443878173828,-0.23041725158691406,-11.080026626586914
-9.651176452636719,-0.42817115783691406,-9.223005294799805
-11.964925765991211,-0.08421897888183594,-11.880706787109375
-7.722725868225098,-2.196284294128418,-5.52644157409668
-10.63155746459961,-3.6368703842163086,-6.994687080383301
-7.673519134521484,-1.9122867584228516,-5.761232376098633
-0.9056434631347656,-14.262290954589844,13.356647491455078
-0.6421089172363281,-8.221624374389648,7.57951545715332
-7.414017677307129,-2.1674022674560547,-5.246615409851074
-8.865084648132324,-1.9912738800048828,-6.873810768127441
-6.6941962242126465,-3.902590751647949,-2.7916054725646973
-11.24972152709961,-0.15872764587402344,-11.090993881225586
