yes,no,diff
-1.8985519409179688,-1.2413082122802734,-0.6572437286376953
-1.6606025695800781,-0.9613075256347656,-0.6992950439453125
-1.735321044921875,-1.1133689880371094,-0.6219520568847656
-1.2904167175292969,-1.0125007629394531,-0.27791595458984375
-1.9800128936767578,-1.5846843719482422,-0.3953285217285156
-1.7471942901611328,-1.292562484741211,-0.4546318054199219
-1.5314960479736328,-1.3203258514404297,-0.21117019653320312
-1.9484920501708984,-1.8386287689208984,-0.10986328125
-1.788076400756836,-1.31103515625,-0.47704124450683594
-1.466939926147461,-1.7448844909667969,0.27794456481933594
-1.7008094787597656,-1.3933353424072266,-0.30747413635253906
-1.2716751098632812,-1.5604515075683594,0.2887763977050781
-1.6095466613769531,-1.834035873413086,0.2244892120361328
-1.5794677734375,-1.1905670166015625,-0.3889007568359375
-2.2018260955810547,-1.3596000671386719,-0.8422260284423828
-1.3728446960449219,-1.5649127960205078,0.19206809997558594
-1.6002197265625,-1.2338333129882812,-0.36638641357421875
-1.8695430755615234,-1.4319839477539062,-0.4375591278076172
-1.9573993682861328,-1.4423274993896484,-0.5150718688964844
-1.6696739196777344,-1.4319915771484375,-0.23768234252929688
-1.9824638366699219,-1.8284320831298828,-0.15403175354003906
-1.676076889038086,-1.0984382629394531,-0.5776386260986328
-1.3507347106933594,-1.3017616271972656,-0.04897308349609375
-1.6817245483398438,-1.253896713256836,-0.4278278350830078
-1.7864093780517578,-1.3795146942138672,-0.4068946838378906
-1.6331100463867188,-1.3535137176513672,-0.27959632873535156
-2.2725601196289062,-1.1789016723632812,-1.093658447265625
-1.4067268371582031,-1.5468673706054688,0.14014053344726562
-1.4731311798095703,-1.5963630676269531,0.12323188781738281
-1.6677913665771484,-1.6190834045410156,-0.04870796203613281
-1.7697486877441406,-1.0400772094726562,-0.7296714782714844
-1.7511405944824219,-1.3872184753417969,-0.363922119140625
-1.8598480224609375,-1.861673355102539,0.0018253326416015625
-2.044544219970703,-1.1324996948242188,-0.9120445251464844
-2.100116729736328,-1.2844924926757812,-0.8156242370605469
-1.4708595275878906,-1.4234237670898438,-0.047435760498046875
