yes,no,diff
-1.3555030822753906,-1.266073226928711,-0.08942985534667969
-2.8117809295654297,-0.7763633728027344,-2.0354175567626953
-1.7017240524291992,-1.0258598327636719,-0.6758642196655273
-1.5586166381835938,-1.2669715881347656,-0.2916450500488281
-1.8978290557861328,-0.9638805389404297,-0.9339485168457031
-2.7443084716796875,-0.8175888061523438,-1.9267196655273438
-1.5612316131591797,-0.8963165283203125,-0.6649150848388672
-1.2620830535888672,-1.1079521179199219,-0.1541309356689453
-1.5522346496582031,-0.9537086486816406,-0.5985260009765625
-1.5457992553710938,-1.1515922546386719,-0.3942070007324219
-1.8982715606689453,-0.841064453125,-1.0572071075439453
-1.5496587753295898,-1.0925312042236328,-0.45712757110595703
-1.903707504272461,-1.0128860473632812,-0.8908214569091797
-1.5110206604003906,-1.1447162628173828,-0.3663043975830078
-2.192434310913086,-0.7724418640136719,-1.419992446899414
-1.4280319213867188,-1.1636314392089844,-0.2644004821777344
-1.689443588256836,-0.9839897155761719,-0.7054538726806641
-1.9038982391357422,-0.93255615234375,-0.9713420867919922
-1.5519294738769531,-1.0418052673339844,-0.5101242065429688
-1.5218076705932617,-1.1301689147949219,-0.39163875579833984
-1.406259536743164,-1.1845340728759766,-0.2217254638671875
-1.6246356964111328,-1.0488624572753906,-0.5757732391357422
-1.6331100463867188,-1.0399932861328125,-0.5931167602539062
-1.9799728393554688,-0.8827056884765625,-1.0972671508789062
-2.4252023696899414,-0.6817646026611328,-1.7434377670288086
-1.5063724517822266,-1.0669574737548828,-0.43941497802734375
-1.9262142181396484,-1.0000019073486328,-0.9262123107910156
-1.397481918334961,-1.2257804870605469,-0.17170143127441406
-1.4940195083618164,-1.2073020935058594,-0.28671741485595703
-1.8379507064819336,-0.9392223358154297,-0.8987283706665039
-1.509805679321289,-0.991485595703125,-0.5183200836181641
-2.3409957885742188,-0.8056068420410156,-1.5353889465332031
-1.4106101989746094,-1.2404117584228516,-0.1701984405517578
-1.9176177978515625,-0.9544696807861328,-0.9631481170654297
-2.0231008529663086,-0.8804931640625,-1.1426076889038086
-1.703216552734375,-0.9077377319335938,-0.7954788208007812
-1.6447830200195312,-1.2049751281738281,-0.4398078918457031
-1.2778301239013672,-1.2869243621826172,0.00909423828125
-2.517953872680664,-0.9162464141845703,-1.6017074584960938
-1.4902801513671875,-1.2382240295410156,-0.2520561218261719
-1.8098163604736328,-0.9834480285644531,-0.8263683319091797
-2.266355514526367,-0.8663902282714844,-1.3999652862548828
-1.4830379486083984,-1.0668525695800781,-0.4161853790283203
-2.171661376953125,-0.8636760711669922,-1.3079853057861328
-1.6721172332763672,-0.8219470977783203,-0.8501701354980469
-1.3739795684814453,-1.0313396453857422,-0.3426399230957031
-1.9914016723632812,-0.8743343353271484,-1.1170673370361328
-1.4280033111572266,-1.128622055053711,-0.2993812561035156
-1.3922557830810547,-1.3136043548583984,-0.07865142822265625
-1.7648811340332031,-0.7665634155273438,-0.9983177185058594
-1.4173660278320312,-1.263326644897461,-0.1540393829345703
-1.8696813583374023,-0.9261360168457031,-0.9435453414916992
-1.5479421615600586,-1.0496196746826172,-0.4983224868774414
-1.8330078125,-0.9511528015136719,-0.8818550109863281
-1.691248893737793,-1.1496009826660156,-0.5416479110717773
-1.683706283569336,-1.1434173583984375,-0.5402889251708984
-1.645371437072754,-1.0043621063232422,-0.6410093307495117
-2.3395748138427734,-0.9080810546875,-1.4314937591552734
-1.766495704650879,-0.9745216369628906,-0.7919740676879883
-2.5235071182250977,-0.6812248229980469,-1.8422822952270508
-1.5495052337646484,-1.0514869689941406,-0.4980182647705078
-1.8862628936767578,-0.8474025726318359,-1.0388603210449219
-1.6323843002319336,-1.235203742980957,-0.39718055725097656
-1.9811334609985352,-0.9113559722900391,-1.069777488708496
-1.622598648071289,-1.1935405731201172,-0.4290580749511719
-1.6374664306640625,-0.9441547393798828,-0.6933116912841797
-1.606924057006836,-1.0194435119628906,-0.5874805450439453
-1.5268058776855469,-1.1299324035644531,-0.39687347412109375
-1.75579833984375,-0.9272003173828125,-0.8285980224609375
-1.5799274444580078,-1.1169891357421875,-0.4629383087158203
-1.7337226867675781,-0.9360389709472656,-0.7976837158203125
-1.78558349609375,-0.7961368560791016,-0.9894466400146484
-1.4908866882324219,-1.3113822937011719,-0.17950439453125
-1.835470199584961,-1.050811767578125,-0.7846584320068359
-1.511627197265625,-1.0373764038085938,-0.47425079345703125
-2.0792617797851562,-0.7847862243652344,-1.2944755554199219
-1.6151885986328125,-0.9560489654541016,-0.6591396331787109
-1.8939266204833984,-0.8872356414794922,-1.0066909790039062
-1.5779571533203125,-1.3371200561523438,-0.24083709716796875
-1.956960678100586,-0.7964706420898438,-1.1604900360107422
-1.8607397079467773,-0.8170070648193359,-1.0437326431274414
-1.3331565856933594,-1.3418769836425781,0.00872039794921875
-1.2926864624023438,-1.184976577758789,-0.10770988464355469
-1.9231185913085938,-0.8693485260009766,-1.0537700653076172
-1.7342453002929688,-1.0533599853515625,-0.6808853149414062
-2.478451728820801,-0.9362754821777344,-1.5421762466430664
-1.4511470794677734,-1.1420440673828125,-0.30910301208496094
-1.4988603591918945,-1.0125541687011719,-0.48630619049072266
-1.5298233032226562,-1.0521507263183594,-0.4776725769042969
-1.5156879425048828,-1.1166305541992188,-0.39905738830566406
-1.4070243835449219,-1.298868179321289,-0.10815620422363281
-2.1291608810424805,-0.9112071990966797,-1.2179536819458008
-2.080556869506836,-0.8483295440673828,-1.2322273254394531
-1.6503047943115234,-0.8986949920654297,-0.7516098022460938
-1.6720209121704102,-1.119009017944336,-0.5530118942260742
-1.6306333541870117,-1.182016372680664,-0.44861698150634766
-1.6380853652954102,-0.9656486511230469,-0.6724367141723633
-1.488851547241211,-1.1146183013916016,-0.3742332458496094
-1.5424041748046875,-0.9250583648681641,-0.6173458099365234
-1.7462520599365234,-0.9304180145263672,-0.8158340454101562
-1.7892990112304688,-1.050506591796875,-0.7387924194335938
-2.1789016723632812,-0.8202152252197266,-1.3586864471435547
-1.575979232788086,-1.0042724609375,-0.5717067718505859
-1.7635250091552734,-1.2789955139160156,-0.4845294952392578
-1.947561264038086,-1.0084724426269531,-0.9390888214111328
-1.7630090713500977,-0.9943161010742188,-0.7686929702758789
-1.5914478302001953,-1.1656131744384766,-0.42583465576171875
-1.5430755615234375,-1.1517677307128906,-0.3913078308105469
-1.6728477478027344,-1.0415191650390625,-0.6313285827636719
-1.5149059295654297,-0.9731998443603516,-0.5417060852050781
-1.3855819702148438,-1.256561279296875,-0.12902069091796875
-1.8768024444580078,-0.8262577056884766,-1.0505447387695312
-1.441436767578125,-1.2553825378417969,-0.18605422973632812
-1.5463676452636719,-0.9714679718017578,-0.5748996734619141
-2.2859458923339844,-0.7810840606689453,-1.504861831665039
-1.7775812149047852,-1.0286579132080078,-0.7489233016967773
-1.7012405395507812,-1.0201759338378906,-0.6810646057128906
-1.4884309768676758,-1.2193050384521484,-0.26912593841552734
-1.343404769897461,-0.9404792785644531,-0.4029254913330078
-1.8054885864257812,-0.8710174560546875,-0.9344711303710938
-2.2094287872314453,-0.8341732025146484,-1.3752555847167969
-1.5961713790893555,-0.9914588928222656,-0.6047124862670898
-2.5220165252685547,-0.7699203491210938,-1.752096176147461
-1.6555423736572266,-1.1717967987060547,-0.4837455749511719
-1.6375055313110352,-1.210287094116211,-0.4272184371948242
-1.6969661712646484,-0.8623142242431641,-0.8346519470214844
-1.8314228057861328,-0.9596443176269531,-0.8717784881591797
-1.5098514556884766,-1.1140270233154297,-0.3958244323730469
-1.513711929321289,-1.0334720611572266,-0.4802398681640625
-2.047639846801758,-0.7580547332763672,-1.2895851135253906
-1.5950202941894531,-0.9505767822265625,-0.6444435119628906
-1.583465576171875,-1.0133247375488281,-0.5701408386230469
-2.4458999633789062,-0.8014240264892578,-1.6444759368896484
-1.738790512084961,-0.9603023529052734,-0.7784881591796875
-1.7974796295166016,-0.9335269927978516,-0.86395263671875
-1.4366703033447266,-1.3388347625732422,-0.09783554077148438
-1.9356822967529297,-0.9611549377441406,-0.9745273590087891
-1.8864212036132812,-0.9517002105712891,-0.9347209930419922
-1.675933837890625,-0.895294189453125,-0.7806396484375
-1.641082763671875,-0.9632682800292969,-0.6778144836425781
-2.170848846435547,-0.8055438995361328,-1.365304946899414
-1.866983413696289,-0.9654045104980469,-0.9015789031982422
-1.33843994140625,-1.426839828491211,0.08839988708496094
-1.6579952239990234,-1.1251640319824219,-0.5328311920166016
-1.5158042907714844,-1.2981243133544922,-0.2176799774169922
-1.5133419036865234,-1.1608829498291016,-0.3524589538574219
-1.4441604614257812,-1.0810089111328125,-0.36315155029296875
-1.5141315460205078,-1.0442142486572266,-0.46991729736328125
-1.6054553985595703,-0.9315414428710938,-0.6739139556884766
-1.6757316589355469,-1.1314811706542969,-0.54425048828125
-1.4683246612548828,-1.226572036743164,-0.24175262451171875
-1.789388656616211,-1.1089439392089844,-0.6804447174072266
-2.3265533447265625,-0.8128700256347656,-1.5136833190917969
-1.8269367218017578,-0.9776878356933594,-0.8492488861083984
-1.4680843353271484,-0.8916358947753906,-0.5764484405517578
-1.4349899291992188,-0.9532852172851562,-0.4817047119140625
-1.8472299575805664,-0.9763622283935547,-0.8708677291870117
-2.192859649658203,-0.6270790100097656,-1.5657806396484375
-1.785874366760254,-1.0771217346191406,-0.7087526321411133
-1.630671501159668,-1.1652450561523438,-0.4654264450073242
-1.4794559478759766,-1.1979122161865234,-0.2815437316894531
-1.5059471130371094,-1.1641273498535156,-0.34181976318359375
-2.6161842346191406,-0.7968845367431641,-1.8192996978759766
-1.6263208389282227,-1.053924560546875,-0.5723962783813477
-1.7696685791015625,-0.9129981994628906,-0.8566703796386719
-1.7613697052001953,-1.015279769897461,-0.7460899353027344
-1.3030967712402344,-1.3024730682373047,-0.0006237030029296875
-2.5327672958374023,-0.8263378143310547,-1.7064294815063477
-1.6096534729003906,-0.8611278533935547,-0.7485256195068359
-1.534616470336914,-0.9860687255859375,-0.5485477447509766
-2.4972705841064453,-0.8926200866699219,-1.6046504974365234
-1.3642635345458984,-1.2519340515136719,-0.11232948303222656
-1.6870880126953125,-1.1896247863769531,-0.4974632263183594
-1.8828496932983398,-0.9317531585693359,-0.9510965347290039
-1.9263572692871094,-0.8665771484375,-1.0597801208496094
-1.6818170547485352,-0.8590316772460938,-0.8227853775024414
-1.953017234802246,-0.9263992309570312,-1.0266180038452148
-2.7570934295654297,-0.7121295928955078,-2.044963836669922
-1.5263080596923828,-1.0550270080566406,-0.4712810516357422
-1.9820995330810547,-0.8859672546386719,-1.0961322784423828
-1.7829933166503906,-0.8775253295898438,-0.9054679870605469
-2.261960029602051,-1.1736459732055664,-1.0883140563964844
-1.7112693786621094,-1.1091995239257812,-0.6020698547363281
-2.579463005065918,-0.6946392059326172,-1.8848237991333008
-2.7644920349121094,-0.6995563507080078,-2.0649356842041016
-1.9333086013793945,-0.8267135620117188,-1.1065950393676758
-1.4065933227539062,-1.2753467559814453,-0.13124656677246094
-1.9248676300048828,-1.0590438842773438,-0.8658237457275391
