empty,control,prompt
-7.169885635375977,-4.683720588684082,-4.342079162597656
-8.798364639282227,-5.0454792976379395,-4.591184139251709
-9.8051118850708,-5.368480682373047,-5.856693744659424
-6.311251640319824,-3.8067805767059326,-3.096130132675171
-9.570720672607422,-6.1548895835876465,-5.916360378265381
-9.536320686340332,-5.828941345214844,-4.896918296813965
-6.656745910644531,-4.45887565612793,-3.8925137519836426
-8.960600852966309,-5.281510353088379,-4.211249828338623
-7.586147308349609,-5.046573638916016,-4.723130702972412
-10.055834770202637,-7.0599684715271,-5.902242660522461
-9.102721214294434,-5.893904209136963,-5.225621700286865
-7.399305820465088,-5.13367223739624,-4.710474491119385
-8.155923843383789,-4.670627593994141,-3.9591238498687744
-9.006359100341797,-4.766170978546143,-5.04440450668335
-9.679088592529297,-6.235589504241943,-5.13663911819458
-9.20219612121582,-6.248124599456787,-6.967263221740723
-6.808846950531006,-4.949029922485352,-4.57732629776001
-9.063278198242188,-6.773066997528076,-5.65989351272583
-6.935564994812012,-4.757626533508301,-4.404024600982666
-7.573256492614746,-3.9638664722442627,-3.837359666824341
-7.440213680267334,-4.278934001922607,-4.561007499694824
-8.984723091125488,-5.843092441558838,-6.348848342895508
-9.27610969543457,-4.848626136779785,-3.4367763996124268
-8.967663764953613,-5.6369309425354,-4.619372367858887
-7.533015251159668,-5.811420440673828,-4.036506652832031
-7.8077826499938965,-4.15356969833374,-3.6512770652770996
-8.951695442199707,-5.652245998382568,-5.068660736083984
-9.15820598602295,-5.032638072967529,-3.596665620803833
-7.299767971038818,-4.919368267059326,-4.0170745849609375
-8.260598182678223,-4.8248772621154785,-5.092792987823486
-7.392374515533447,-4.435779571533203,-2.903815269470215
-6.978631019592285,-4.261178016662598,-3.445176839828491
-10.203653335571289,-6.030346393585205,-4.410102367401123
-8.261746406555176,-5.378515720367432,-4.630417823791504
-8.097132682800293,-4.544143199920654,-2.648803472518921
-6.123326778411865,-3.274623155593872,-2.326799154281616
-7.7984395027160645,-4.698091983795166,-3.3513522148132324
-9.15820598602295,-5.032638072967529,-2.6618833541870117
-7.626938819885254,-4.866650581359863,-2.3376307487487793
-7.690931797027588,-5.520124912261963,-2.928762435913086
-8.302584648132324,-6.269933223724365,-5.389179706573486
-7.1804351806640625,-3.909226179122925,-4.523079872131348
-9.591224670410156,-6.659456253051758,-6.119075298309326
-10.177788734436035,-6.008578300476074,-5.356793403625488
-8.119672775268555,-3.7577784061431885,-3.3998043537139893
-9.026118278503418,-6.11906623840332,-4.8958821296691895
-9.8051118850708,-5.368480682373047,-3.3323757648468018
