empty,control,prompt
-8.937056541442871,-4.871893882751465,-3.278291702270508
-9.63394546508789,-6.181395053863525,-6.33571195602417
-9.314803123474121,-5.258669376373291,-4.994235992431641
-7.634305000305176,-5.22585916519165,-5.29836368560791
-8.47709846496582,-4.516056537628174,-4.914121627807617
-8.826363563537598,-6.070698261260986,-4.13682746887207
-9.18304443359375,-6.110551357269287,-7.870970249176025
-8.778496742248535,-5.417148113250732,-5.766757488250732
-8.463398933410645,-4.744534969329834,-4.535401344299316
-8.494806289672852,-5.154347896575928,-5.450718402862549
-9.20047378540039,-5.898340702056885,-5.421606540679932
-8.52106761932373,-5.2441086769104,-4.022237777709961
-10.504060745239258,-5.8992695808410645,-6.603701591491699
-8.516240119934082,-5.152029514312744,-4.317899703979492
-8.914023399353027,-5.795650482177734,-7.118106842041016
-9.28347396850586,-5.99362325668335,-5.251615524291992
-9.323405265808105,-5.838956356048584,-5.566398620605469
-8.609553337097168,-5.360151290893555,-5.328795909881592
-9.487678527832031,-6.686552047729492,-6.604503154754639
-9.00823974609375,-4.883930206298828,-5.0592827796936035
-9.096991539001465,-5.529127597808838,-6.698182582855225
-9.611379623413086,-6.574777126312256,-6.593252658843994
-8.018930435180664,-4.987209320068359,-4.6114630699157715
-7.378230571746826,-5.171004295349121,-5.051270961761475
-10.521860122680664,-6.103374481201172,-7.124891757965088
-8.998709678649902,-5.276365756988525,-4.714670658111572
-7.799411773681641,-5.416309833526611,-5.023317813873291
-8.835609436035156,-5.297908306121826,-5.415733337402344
-8.58205509185791,-4.454658508300781,-3.696843147277832
-7.711634635925293,-4.080215930938721,-4.537560939788818
-9.253993034362793,-6.874063968658447,-6.992349624633789
-8.982492446899414,-6.901261806488037,-6.928388595581055
-8.285229682922363,-5.0486159324646,-4.888922214508057
-8.620702743530273,-6.69000768661499,-5.487768650054932
-9.536320686340332,-5.828941345214844,-6.069117069244385
-8.683250427246094,-5.564692974090576,-5.722737789154053
-7.677868366241455,-3.81756854057312,-3.907013416290283
-7.633070945739746,-4.479885101318359,-4.414666175842285
-7.581923484802246,-5.089496612548828,-5.816169738769531
-7.3794965744018555,-4.054135322570801,-4.048421382904053
-11.070241928100586,-6.089457035064697,-6.682182312011719
-6.875083923339844,-3.9520695209503174,-3.7780230045318604
-10.128026008605957,-6.579690933227539,-5.628835201263428
-8.733570098876953,-5.409116744995117,-6.049036502838135
-7.4414825439453125,-4.129497528076172,-4.8329997062683105
-9.197752952575684,-5.5478949546813965,-4.240907192230225
-7.553133010864258,-4.877537250518799,-3.812530755996704
-6.481593132019043,-3.4045016765594482,-2.0137319564819336
-9.92125129699707,-6.207180976867676,-4.727950572967529
-8.698437690734863,-6.013594150543213,-2.4468443393707275
-7.72814416885376,-5.529316425323486,-3.1331169605255127
-7.839069843292236,-4.827305316925049,-2.656329870223999
-6.891146183013916,-4.587632179260254,-3.254568338394165
-8.733570098876953,-5.409116744995117,-5.508741855621338
-9.008776664733887,-6.439803123474121,-6.010645389556885
-9.04430866241455,-5.190592288970947,-5.068904399871826
-6.512755870819092,-4.271693229675293,-4.16524600982666
-8.703194618225098,-4.83651065826416,-3.5670270919799805
-8.997803688049316,-6.02647066116333,-6.483062267303467
-10.14838695526123,-4.769405841827393,-3.8322231769561768
-9.6627779006958,-5.45391321182251,-5.3947319984436035
-8.787650108337402,-5.961780548095703,-4.645577907562256
-7.944116115570068,-6.7874932289123535,-5.493931770324707
-9.279552459716797,-4.893642902374268,-4.494504451751709
-9.096991539001465,-5.529127597808838,-4.976925849914551
-6.875083923339844,-3.9520695209503174,-3.3305952548980713
-8.285229682922363,-5.0486159324646,-3.9547603130340576
-9.04430866241455,-5.190592288970947,-3.2553253173828125
-7.553133010864258,-4.877537250518799,-4.117589950561523
-8.477099418640137,-4.516054153442383,-4.189306735992432
-6.486119270324707,-4.21256685256958,-3.798711061477661
-10.047761917114258,-6.508802890777588,-5.275139808654785
-10.259679794311523,-5.738543510437012,-4.465720176696777
-10.16071605682373,-6.403421878814697,-4.46951150894165
-9.279552459716797,-4.893642902374268,-4.316390514373779
-7.614994525909424,-4.664203643798828,-4.046383857727051
-7.378230571746826,-5.171004295349121,-3.358858823776245
-8.544352531433105,-5.1164469718933105,-7.358483791351318
-7.5592851638793945,-5.157497882843018,-4.446808815002441
-9.116637229919434,-5.889710903167725,-4.9748148918151855
-7.379501819610596,-4.054133415222168,-4.053284168243408
-9.971505165100098,-5.99998140335083,-3.727386713027954
-9.92125129699707,-6.207179546356201,-4.166695594787598
-8.863250732421875,-4.903802394866943,-3.49240779876709
-8.347028732299805,-5.60579252243042,-3.278860569000244
-10.34815788269043,-5.805872917175293,-3.7968521118164062
-8.46607494354248,-4.62399959564209,-2.890266180038452
-8.733572959899902,-5.409118175506592,-4.995283126831055
-8.811689376831055,-4.944845676422119,-3.4873273372650146
-9.678757667541504,-6.065022945404053,-4.304537773132324
-7.652438640594482,-5.117299556732178,-2.1441776752471924
-8.910050392150879,-5.8314971923828125,-2.754262924194336
-9.649619102478027,-6.031879425048828,-3.5530636310577393
-9.250816345214844,-5.572048664093018,-4.52949857711792
-7.933772087097168,-4.499400615692139,-3.771932363510132
-9.823269844055176,-6.085002899169922,-3.440492630004883
-8.516243934631348,-5.152032375335693,-3.761423110961914
-7.884697914123535,-4.187148094177246,-2.4031004905700684
-9.096991539001465,-5.529127597808838,-4.4574666023254395
-7.3794965744018555,-4.054135322570801,-3.121189832687378
-8.778491020202637,-5.417148113250732,-5.051188945770264
-9.157820701599121,-4.851651191711426,-2.537299394607544
-10.047761917114258,-6.508802890777588,-5.21996545791626
-10.521860122680664,-6.103374481201172,-5.405556678771973
-7.581923484802246,-5.089496612548828,-3.5632760524749756
-9.250813484191895,-5.572048187255859,-4.844510555267334
-9.008776664733887,-6.439803123474121,-5.97078800201416
-8.982492446899414,-6.901261806488037,-4.621623516082764
-8.98827838897705,-4.734105587005615,-3.2627155780792236
-8.016339302062988,-5.971505165100098,-5.0633392333984375
-10.476938247680664,-5.84716796875,-5.411985874176025
-6.512755870819092,-4.271693229675293,-3.668581247329712
-7.3097243309021,-5.368719100952148,-3.604675769805908
-6.757296085357666,-3.9304521083831787,-3.8994829654693604
-9.265661239624023,-6.3582305908203125,-6.946799278259277
-8.477099418640137,-4.516054153442383,-3.4252803325653076
-8.224050521850586,-4.556088447570801,-2.1860530376434326
-9.4929838180542,-6.401844501495361,-2.1574301719665527
-6.891146183013916,-4.587632179260254,-3.5414578914642334
-9.579071998596191,-5.89190149307251,-4.125110626220703
-7.614994525909424,-4.664203643798828,-3.892291307449341
-9.279552459716797,-4.893642902374268,-3.950281858444214
-10.806187629699707,-6.306366920471191,-2.894838809967041
-9.971505165100098,-5.999983310699463,-3.5501158237457275
-9.04430866241455,-5.190592288970947,-4.275844097137451
-9.961617469787598,-7.229384899139404,-4.769286632537842
-7.34190559387207,-4.376410007476807,-2.1067347526550293
-7.7154388427734375,-4.67803955078125,-4.935645580291748
-6.875083923339844,-3.9520695209503174,-2.8952629566192627
-9.536320686340332,-5.828941345214844,-4.5753397941589355
-7.4837565422058105,-4.95504093170166,-3.8241922855377197
-7.553133010864258,-4.877537250518799,-4.463235378265381
-9.200467109680176,-5.898338317871094,-5.370240688323975
-8.979907989501953,-6.291261672973633,-4.8113627433776855
-11.070241928100586,-6.089457035064697,-7.271971225738525
-8.733570098876953,-5.409116744995117,-5.101441860198975
-9.113840103149414,-6.096046447753906,-2.7921230792999268
-8.494817733764648,-5.1543474197387695,-4.906891822814941
-8.997803688049316,-6.02647066116333,-5.858113765716553
-7.4414825439453125,-4.129497528076172,-2.783804178237915
-9.183051109313965,-6.11055326461792,-6.048881530761719
-9.63394546508789,-6.181393146514893,-4.897759914398193
-10.16071605682373,-6.403421878814697,-4.17471170425415
-8.548792839050293,-4.7623291015625,-3.3580920696258545
-9.046561241149902,-4.379099369049072,-3.9824037551879883
-8.769143104553223,-5.089901447296143,-3.529461622238159
-7.739997863769531,-5.149086952209473,-3.614229679107666
-9.536320686340332,-5.828941345214844,-5.346811771392822
-7.9953413009643555,-4.889596462249756,-3.3123128414154053
-7.078826904296875,-4.320296764373779,-4.004982948303223
-9.019621849060059,-5.0648040771484375,-4.08012056350708
-6.638681411743164,-4.174897193908691,-3.3897387981414795
-9.322985649108887,-5.8114914894104,-3.87882137298584
-8.761622428894043,-5.822059631347656,-5.120791912078857
-9.4929838180542,-6.401844501495361,-3.6591365337371826
