empty,control,prompt
-19.217199325561523,-14.750304222106934,-15.11894416809082
-14.095319747924805,-16.338600158691406,-18.114686965942383
-17.75800132751465,-13.566459655761719,-14.628780364990234
-18.0574893951416,-15.552005767822266,-16.020933151245117
-15.884995460510254,-14.475428581237793,-16.221132278442383
-19.25568389892578,-16.082767486572266,-17.790510177612305
-18.726896286010742,-18.197988510131836,-18.6143856048584
-17.817054748535156,-15.363557815551758,-8.015069007873535
-13.96407699584961,-13.363183975219727,-16.432186126708984
-15.565059661865234,-14.820121765136719,-17.44464111328125
-17.817054748535156,-15.363557815551758,-16.725234985351562
-19.607385635375977,-15.971595764160156,-16.265033721923828
-11.215816497802734,-11.472204208374023,-12.426298141479492
-11.95406436920166,-14.763176918029785,-17.34114646911621
-14.831327438354492,-15.08565902709961,-14.686040878295898
-14.159025192260742,-14.231773376464844,-18.27251625061035
-19.607385635375977,-15.971595764160156,-16.428565979003906
-17.817054748535156,-15.363557815551758,-15.83609390258789
-18.0574893951416,-15.552005767822266,-12.843528747558594
-17.817054748535156,-15.363557815551758,-15.910247802734375
-11.215816497802734,-11.472204208374023,-16.538394927978516
-18.726896286010742,-18.197988510131836,-6.894689559936523
-16.554933547973633,-15.645954132080078,-16.934276580810547
-17.817054748535156,-15.363557815551758,-17.703632354736328
-17.29829216003418,-13.95608901977539,13.635910987854004
-15.513162612915039,-15.177892684936523,-16.37672996520996
-16.144184112548828,-14.178658485412598,-12.605143547058105
-16.144184112548828,-14.178658485412598,-15.035778045654297
-17.817054748535156,-15.363557815551758,-16.854854583740234
-15.685136795043945,-16.252004623413086,-15.15107250213623
-17.817054748535156,-15.363557815551758,-16.660585403442383
-9.167701721191406,-9.563729286193848,-9.327692031860352
-17.75800132751465,-13.566459655761719,8.899726867675781
-18.726896286010742,-18.197988510131836,-18.054874420166016
-19.607385635375977,-15.971595764160156,-11.784963607788086
-17.817054748535156,-15.363557815551758,-16.946266174316406
-11.95406436920166,-14.763176918029785,-17.563282012939453
-10.155916213989258,-13.40134334564209,-12.10294246673584
-10.155916213989258,-13.40134334564209,-10.1342191696167
-9.167701721191406,-9.563729286193848,-11.809020042419434
-17.817054748535156,-15.363557815551758,-15.763574600219727
-16.554933547973633,-15.645954132080078,-17.569381713867188
-13.710746765136719,-16.537132263183594,5.399045944213867
-16.917457580566406,-16.686750411987305,-18.101280212402344
-17.817054748535156,-15.363557815551758,-15.809959411621094
-13.96407699584961,-13.363183975219727,-17.058162689208984
-18.3270320892334,-17.273534774780273,-18.892581939697266
-13.48933219909668,-13.446792602539062,-8.441128730773926
-18.0574893951416,-15.552005767822266,-15.652080535888672
-6.122613906860352,-16.141281127929688,-15.928030014038086
-19.864221572875977,-17.224977493286133,-10.539176940917969
-19.217199325561523,-14.750304222106934,-16.791608810424805
-18.0574893951416,-15.552005767822266,-14.948864936828613
-14.831327438354492,-15.08565902709961,-13.408897399902344
-16.144184112548828,-14.178658485412598,-15.17369270324707
-17.817054748535156,-15.363557815551758,-18.80854034423828
-9.714820861816406,-13.806863784790039,-11.607151985168457
-16.917457580566406,-16.686750411987305,-17.620288848876953
-9.167701721191406,-9.563729286193848,-2.4824419021606445
-18.0574893951416,-15.552005767822266,-15.418567657470703
-16.917457580566406,-16.686750411987305,-15.127469062805176
-14.095319747924805,-16.338600158691406,-17.199432373046875
-17.817054748535156,-15.363557815551758,-18.81971549987793
-13.710746765136719,-16.537132263183594,-17.781646728515625
-9.167701721191406,-9.563729286193848,-9.709505081176758
-11.215816497802734,-11.472204208374023,-15.228954315185547
-13.96407699584961,-13.363183975219727,-15.622441291809082
-17.29829216003418,-13.95608901977539,-12.236263275146484
-10.155916213989258,-13.40134334564209,-15.963504791259766
-17.817054748535156,-15.363557815551758,-15.74112319946289
-13.96407699584961,-13.363183975219727,-16.638835906982422
-13.96407699584961,-13.363183975219727,-11.913362503051758
-19.25568389892578,-16.082767486572266,-15.017383575439453
-6.122613906860352,-16.141281127929688,-17.033369064331055
-15.884995460510254,-14.475428581237793,-14.275718688964844
-17.29829216003418,-13.95608901977539,3.41436767578125
-17.75800132751465,-13.566459655761719,-14.266326904296875
-17.817054748535156,-15.363557815551758,-10.087532043457031
-6.122613906860352,-16.141281127929688,-17.117475509643555
-18.61639976501465,-15.055076599121094,-18.90616226196289
-18.61639976501465,-15.055076599121094,-15.570869445800781
-14.095319747924805,-16.338600158691406,-17.759981155395508
-19.864221572875977,-17.224977493286133,-16.401315689086914
-18.0574893951416,-15.552005767822266,-13.054025650024414
-18.0574893951416,-15.552005767822266,-13.42015552520752
-18.0574893951416,-15.552005767822266,-16.24712371826172
-18.61639976501465,-15.055076599121094,-15.17780876159668
-11.822831153869629,-13.892861366271973,-13.650081634521484
-14.095319747924805,-16.338600158691406,-14.593243598937988
-19.217199325561523,-14.750304222106934,-12.606210708618164
-9.167701721191406,-9.563729286193848,-10.969422340393066
-11.215816497802734,-11.472204208374023,-16.352394104003906
-17.817054748535156,-15.363557815551758,-15.7174072265625
-17.817054748535156,-15.363557815551758,-11.570456504821777
-17.817054748535156,-15.363557815551758,-17.62976837158203
-18.3270320892334,-17.273534774780273,-12.530683517456055
-18.0574893951416,-15.552005767822266,-15.248430252075195
-17.817054748535156,-15.363557815551758,-18.203723907470703
-13.96407699584961,-13.363183975219727,-10.308195114135742
-14.151911735534668,-12.54295539855957,-15.142971992492676
-17.29829216003418,-13.95608901977539,-9.40511703491211
-18.3270320892334,-17.273534774780273,-17.232250213623047
-13.96407699584961,-13.363183975219727,-16.463178634643555
-18.726896286010742,-18.197988510131836,-17.459753036499023
-11.526360511779785,-10.024481773376465,-10.592691421508789
-14.159025192260742,-14.231773376464844,-13.874187469482422
-9.714820861816406,-13.806863784790039,-14.476573944091797
-14.159025192260742,-14.231773376464844,-17.306516647338867
-14.73015022277832,-15.409214973449707,-11.390235900878906
-13.48933219909668,-13.446792602539062,-1.9305124282836914
-18.0574893951416,-15.552005767822266,-15.249128341674805
-17.75800132751465,-13.566459655761719,-10.778079986572266
-13.96407699584961,-13.363183975219727,-17.004289627075195
-9.714820861816406,-13.806863784790039,-11.739555358886719
-11.215816497802734,-11.472204208374023,-9.270466804504395
-19.864221572875977,-17.224977493286133,-15.681900978088379
-17.817054748535156,-15.363557815551758,-16.39537811279297
-15.884995460510254,-14.475428581237793,-13.360322952270508
-19.864221572875977,-17.224977493286133,-16.864715576171875
-19.864221572875977,-17.224977493286133,-18.006065368652344
