yes,no,diff
-8.338536262512207,-0.2507343292236328,-8.087801933288574
-10.038924217224121,-0.12837982177734375,-9.910544395446777
-5.498414993286133,-0.2691688537597656,-5.229246139526367
-0.4478626251220703,-2.2256927490234375,1.7778301239013672
-5.664728164672852,-0.9338607788085938,-4.730867385864258
-6.6840057373046875,-0.27829742431640625,-6.405708312988281
-5.183446884155273,-0.7033042907714844,-4.480142593383789
-5.309415817260742,-0.11948585510253906,-5.189929962158203
-6.8555908203125,-0.7025051116943359,-6.153085708618164
-4.783683776855469,-0.7356910705566406,-4.047992706298828
-9.880406379699707,-0.1294727325439453,-9.750933647155762
-6.056983947753906,-1.2291831970214844,-4.827800750732422
-7.394919395446777,-0.9745464324951172,-6.42037296295166
-4.492488861083984,-0.3463897705078125,-4.146099090576172
-5.315385818481445,-0.6547222137451172,-4.660663604736328
-5.653774261474609,-0.612213134765625,-5.041561126708984
-7.918998718261719,-1.8397941589355469,-6.079204559326172
-9.45694351196289,-0.8669109344482422,-8.590032577514648
-4.220672607421875,-0.31295013427734375,-3.9077224731445312
-3.9490203857421875,-0.5613784790039062,-3.3876419067382812
-7.050676345825195,-0.07549858093261719,-6.975177764892578
-9.124486923217773,-0.6494312286376953,-8.475055694580078
-5.384498596191406,-0.6642379760742188,-4.7202606201171875
-10.266290664672852,-1.6440715789794922,-8.62221908569336
-5.027019500732422,-0.40055084228515625,-4.626468658447266
-9.618059158325195,-0.7853546142578125,-8.832704544067383
-4.157415390014648,-0.1757946014404297,-3.9816207885742188
-0.7652015686035156,-2.2654666900634766,1.500265121459961
-3.5942859649658203,-0.2810039520263672,-3.313282012939453
-4.095342636108398,-7.555601119995117,3.4602584838867188
-8.742339134216309,-0.13808822631835938,-8.60425090789795
-6.698753356933594,-1.231271743774414,-5.46748161315918
-9.227760314941406,-1.0005416870117188,-8.227218627929688
-2.0935840606689453,-0.35872650146484375,-1.7348575592041016
-3.0718154907226562,-0.15119552612304688,-2.9206199645996094
-9.4644136428833,-0.10372352600097656,-9.360690116882324
-7.222539901733398,-0.1258697509765625,-7.096670150756836
-6.260073661804199,-0.5381412506103516,-5.721932411193848
-2.672506332397461,-0.3162403106689453,-2.3562660217285156
-5.905267715454102,-0.7528400421142578,-5.152427673339844
-0.5338268280029297,-1.0849018096923828,0.5510749816894531
-5.710693359375,-0.5485019683837891,-5.162191390991211
-10.371227264404297,-0.14977455139160156,-10.221452713012695
-5.131963729858398,-0.13346290588378906,-4.998500823974609
-7.666952133178711,-0.2076091766357422,-7.459342956542969
-10.075899124145508,-0.10046005249023438,-9.975439071655273
-10.333221435546875,-0.029813766479492188,-10.303407669067383
-7.733756065368652,-1.867654800415039,-5.866101264953613
-6.490169525146484,-0.19219017028808594,-6.297979354858398
-2.9432106018066406,-0.2935829162597656,-2.649627685546875
-9.97750473022461,-0.18494796752929688,-9.792556762695312
-7.789645195007324,-0.2843608856201172,-7.505284309387207
-0.843414306640625,-2.8099193572998047,1.9665050506591797
-5.897245407104492,-1.1688575744628906,-4.728387832641602
-9.139533042907715,-0.17913436889648438,-8.96039867401123
-6.502398490905762,-1.2978248596191406,-5.204573631286621
-9.688043594360352,-0.05484771728515625,-9.633195877075195
-9.023502349853516,-1.2905139923095703,-7.732988357543945
-5.1478271484375,-0.26801109313964844,-4.879816055297852
-8.370231628417969,-0.17103958129882812,-8.19919204711914
-6.101621627807617,-0.6884269714355469,-5.41319465637207
-9.575303077697754,-0.7212848663330078,-8.854018211364746
-5.993801116943359,-0.26431846618652344,-5.729482650756836
-0.6809463500976562,-1.8000679016113281,1.1191215515136719
-0.13909149169921875,-3.4548168182373047,3.315725326538086
-9.95152759552002,-1.46038818359375,-8.49113941192627
-8.672407150268555,-0.36347389221191406,-8.30893325805664
-8.890125274658203,-1.6849117279052734,-7.20521354675293
-5.26460075378418,-0.25116920471191406,-5.013431549072266
-2.7835636138916016,-0.4622383117675781,-2.3213253021240234
-1.9564056396484375,-0.30161094665527344,-1.654794692993164
-5.373594284057617,-1.5699806213378906,-3.8036136627197266
-3.2000770568847656,-0.33545494079589844,-2.864622116088867
-9.927677154541016,-1.3372917175292969,-8.590385437011719
-7.120743751525879,-1.0758209228515625,-6.044922828674316
-9.252755165100098,-0.16225051879882812,-9.09050464630127
-0.11311149597167969,-3.6877517700195312,3.5746402740478516
-0.9835319519042969,-0.7831325531005859,-0.20039939880371094
-2.0784645080566406,-0.5186176300048828,-1.5598468780517578
-9.248685836791992,-0.3426780700683594,-8.906007766723633
-8.924004554748535,-0.8023262023925781,-8.121678352355957
-10.168079376220703,-0.09969902038574219,-10.068380355834961
-6.62725830078125,-0.33385658264160156,-6.293401718139648
-7.54237174987793,-0.1279621124267578,-7.414409637451172
-10.142959594726562,-0.2462749481201172,-9.896684646606445
-10.361852645874023,-1.123464584350586,-9.238388061523438
-4.241144180297852,-0.6833877563476562,-3.5577564239501953
-7.317366600036621,-1.2210674285888672,-6.096299171447754
-6.075923919677734,-0.5459747314453125,-5.529949188232422
-9.30411148071289,-0.789764404296875,-8.514347076416016
-2.9601783752441406,-0.6857471466064453,-2.2744312286376953
-4.1365509033203125,-0.8384780883789062,-3.2980728149414062
-9.119236946105957,-0.5365371704101562,-8.5826997756958
-2.8799381256103516,-0.20824813842773438,-2.671689987182617
-9.975297927856445,-0.3256683349609375,-9.649629592895508
-8.835346221923828,-0.04906654357910156,-8.786279678344727
-5.767539978027344,-1.00311279296875,-4.764427185058594
-2.972463607788086,-0.4414806365966797,-2.5309829711914062
-6.039609909057617,-0.2955036163330078,-5.744106292724609
-8.56253433227539,-0.1744251251220703,-8.38810920715332
-9.498318672180176,-0.06616592407226562,-9.43215274810791
-9.973790168762207,-0.1325244903564453,-9.841265678405762
-8.749975204467773,-1.533548355102539,-7.216426849365234
-8.47549819946289,-0.3283214569091797,-8.147176742553711
-4.754430770874023,-0.7706546783447266,-3.983776092529297
-7.251697540283203,-1.2803974151611328,-5.97130012512207
-9.673205375671387,-0.5114002227783203,-9.161805152893066
-8.408995628356934,-0.8728408813476562,-7.536154747009277
-0.4988441467285156,-1.1242408752441406,0.625396728515625
-6.203863143920898,-0.6806888580322266,-5.523174285888672
