empty,control,prompt
-2.604066848754883,-10.218677520751953,-12.043373107910156
-6.299258232116699,-12.279867172241211,-14.924705505371094
-6.134014129638672,-8.707324028015137,-11.619441986083984
-0.7870502471923828,-6.83396053314209,-6.673192977905273
-15.663337707519531,-14.012325286865234,-17.076637268066406
-9.157909393310547,-7.351696014404297,-11.73614501953125
-5.453432083129883,-10.397767066955566,-13.450846672058105
-12.65975570678711,-8.930327415466309,-9.216960906982422
-2.4855995178222656,-10.304008483886719,-12.131067276000977
-14.535039901733398,-9.529654502868652,-13.67441177368164
-4.311473846435547,-6.108336448669434,-8.96479606628418
-9.426302909851074,-10.458893775939941,-13.625908851623535
-11.864927291870117,-10.255537033081055,-16.434812545776367
-2.7991886138916016,-14.351727485656738,-9.46548080444336
-12.457881927490234,-11.917041778564453,-11.644323348999023
2.333333969116211,-7.883871078491211,-13.383337020874023
-14.897829055786133,-9.920551300048828,-9.129508972167969
-7.728060722351074,-11.985260009765625,-12.850312232971191
0.4350271224975586,-10.315641403198242,-11.537290573120117
-13.295190811157227,-10.981822967529297,-11.609203338623047
14.322633743286133,-4.332684516906738,-9.705150604248047
-0.3119239807128906,-13.942127227783203,-0.0005035400390625
-13.464478492736816,-9.189791679382324,-13.723803520202637
-0.3119239807128906,-13.942127227783203,-11.412787437438965
-9.191018104553223,-6.33201789855957,-8.731088638305664
-6.299274444580078,-12.279867172241211,-10.389361381530762
-16.837793350219727,-11.063651084899902,-10.675169944763184
-2.954946517944336,-9.959967613220215,-9.863993644714355
-12.218108177185059,-10.769762992858887,-14.701494216918945
-12.192949295043945,-12.369547843933105,-13.024300575256348
-8.135749816894531,-7.274539947509766,-8.725823402404785
-6.299274444580078,-12.279867172241211,-11.451635360717773
-14.572511672973633,-12.705678939819336,-13.711033821105957
-0.3119239807128906,-13.942127227783203,-13.193886756896973
-14.897829055786133,-9.920551300048828,-10.230631828308105
-14.182958602905273,-14.555562019348145,-12.581937789916992
-2.954946517944336,-9.959967613220215,-2.9942169189453125
-11.868803024291992,-10.420126914978027,-12.919025421142578
-0.43398284912109375,-8.694499015808105,-5.81016731262207
-1.117304801940918,-9.79026985168457,-10.750519752502441
-14.199752807617188,-10.85064697265625,-12.274606704711914
-14.408305168151855,-9.530855178833008,-7.764063835144043
-2.3956899642944336,-8.134949684143066,-9.307635307312012
-7.292659759521484,-6.989108085632324,-6.252930641174316
2.333354949951172,-7.883871078491211,-12.583366394042969
2.2064895629882812,-7.803310394287109,-10.429197311401367
-7.9348297119140625,-9.374122619628906,-6.950586318969727
-15.001349449157715,-11.86826229095459,-10.169119834899902
-3.8007631301879883,-6.822007179260254,0.5408620834350586
-8.135749816894531,-7.274539947509766,-8.448613166809082
-15.343282699584961,-10.321526527404785,-10.340188980102539
-12.13187026977539,-11.045989990234375,-11.423171997070312
2.2064895629882812,-7.803310394287109,-11.849203109741211
-11.347452163696289,-9.46544075012207,-12.205648422241211
-15.34057903289795,-11.037880897521973,-11.296878814697266
-8.633639335632324,-10.48323917388916,-12.709733963012695
-17.270523071289062,-10.308174133300781,-9.787717819213867
-9.34840202331543,-9.978299140930176,-8.053831100463867
11.455636024475098,-6.1419677734375,-5.578240394592285
-8.15048885345459,-13.17737865447998,-10.588713645935059
-13.931867599487305,-12.143882751464844,-12.528390884399414
-6.65092658996582,-9.455605506896973,-4.123594284057617
-7.66538143157959,-8.06392765045166,-11.22117805480957
14.322633743286133,-4.332684516906738,-6.266819953918457
-6.145788192749023,-8.627824783325195,-7.395748138427734
4.608834266662598,-8.154426574707031,-12.063240051269531
-9.890318870544434,-7.912507057189941,-8.3245849609375
-9.55288028717041,-11.540657043457031,-11.92509651184082
2.3304500579833984,-8.512354850769043,-10.333263397216797
-14.166677474975586,-14.565299034118652,-16.371488571166992
-15.116601943969727,-13.722033500671387,-12.331535339355469
-14.222282409667969,-11.636241912841797,-12.080305099487305
-12.659738540649414,-8.930327415466309,-10.071104049682617
-11.893057823181152,-11.212888717651367,-11.832778930664062
-0.43398284912109375,-8.694499015808105,0.045653343200683594
14.322633743286133,-4.332684516906738,-6.058725357055664
-9.42634105682373,-10.458893775939941,-16.526782989501953
-9.500816345214844,-11.571285247802734,-13.204957962036133
11.587321281433105,-7.2895708084106445,-7.98773193359375
11.587321281433105,-7.2895708084106445,-9.13958740234375
-12.956579208374023,-11.51365852355957,-15.743894577026367
-7.2605390548706055,-9.754143714904785,-11.43687629699707
-13.221868515014648,-8.339776039123535,-13.92136287689209
-6.65092658996582,-9.455605506896973,-6.140470504760742
-12.883877754211426,-12.997518539428711,-14.629112243652344
-8.15048885345459,-13.17737865447998,-12.536949157714844
0.4350271224975586,-10.315641403198242,-11.679765701293945
-10.66513442993164,-10.527103424072266,-14.377140045166016
2.333354949951172,-7.883871078491211,-9.601282119750977
5.908022880554199,-9.699499130249023,2.3512401580810547
-6.854270935058594,-12.496432304382324,-13.037248611450195
-10.874248504638672,-8.917878150939941,-10.391626358032227
-14.45837688446045,-13.023633003234863,-14.024240493774414
-12.654617309570312,-11.518993377685547,-14.225780487060547
-15.116601943969727,-13.722033500671387,-14.057352066040039
-16.837793350219727,-11.063651084899902,-9.404146194458008
-5.574409484863281,-9.890501022338867,-12.005600929260254
-16.837778091430664,-11.063663482666016,-8.24862289428711
-1.7616996765136719,-6.939408302307129,-7.018243789672852
-10.621212005615234,-11.622041702270508,-7.209423065185547
-11.784635543823242,-8.696516036987305,-14.537918090820312
-13.93187141418457,-12.143898010253906,-11.885673522949219
6.857222557067871,-5.959408760070801,-8.824578285217285
-0.005542755126953125,-9.080641746520996,-10.9142427444458
-12.674635887145996,-11.660196304321289,-11.437921524047852
6.765246391296387,-6.448836326599121,-6.645993232727051
-0.4410285949707031,-11.806001663208008,-10.547754287719727
2.2064809799194336,-7.803312301635742,-11.07557201385498
-4.09465217590332,-10.817878723144531,-9.119465827941895
2.333333969116211,-7.883864402770996,-8.895645141601562
-2.9549560546875,-9.959980010986328,-11.376421928405762
-15.762527465820312,-10.325160026550293,-13.985963821411133
-12.457881927490234,-11.917041778564453,-9.946401596069336
-13.93187141418457,-12.143882751464844,-14.872596740722656
-13.332571029663086,-14.044595718383789,-12.349145889282227
-11.379707336425781,-14.12730598449707,-15.874845504760742
-8.715851783752441,-10.367234230041504,-13.889726638793945
