yes,no,diff
-6.588653564453125,-6.042522430419922,-0.5461311340332031
-9.729724884033203,-5.927309036254883,-3.8024158477783203
-4.577547073364258,-8.41307258605957,3.8355255126953125
-4.720466613769531,-8.24798583984375,3.5275192260742188
-5.943193435668945,-7.047743797302246,1.1045503616333008
-7.493095397949219,-6.2734527587890625,-1.2196426391601562
-4.040248870849609,-7.623844146728516,3.5835952758789062
-6.585554122924805,-6.429716110229492,-0.1558380126953125
-6.843706130981445,-6.162225723266602,-0.6814804077148438
-5.662301063537598,-5.66796875,0.005667686462402344
-10.405908584594727,-4.558351516723633,-5.847557067871094
-8.595853805541992,-5.585599899291992,-3.01025390625
-6.071274757385254,-7.396459579467773,1.3251848220825195
-4.1409149169921875,-6.931049346923828,2.7901344299316406
-10.061670303344727,-5.949893951416016,-4.111776351928711
-9.109312057495117,-5.716326713562012,-3.3929853439331055
-7.363605499267578,-6.197826385498047,-1.1657791137695312
-11.004242897033691,-5.473936080932617,-5.530306816101074
-6.498113632202148,-8.092995643615723,1.5948820114135742
-6.505075454711914,-6.515555381774902,0.010479927062988281
-4.553050994873047,-7.918405532836914,3.365354537963867
-8.891252517700195,-5.091161727905273,-3.800090789794922
-5.4289751052856445,-6.838857650756836,1.4098825454711914
-13.841989517211914,-4.159236907958984,-9.68275260925293
-5.2147674560546875,-6.658834457397461,1.4440670013427734
-10.169471740722656,-3.8633155822753906,-6.306156158447266
-4.378255844116211,-7.083061218261719,2.704805374145508
-4.137687683105469,-9.048980712890625,4.911293029785156
-4.244943618774414,-7.713640213012695,3.4686965942382812
-3.861906051635742,-6.613218307495117,2.751312255859375
-6.992415428161621,-4.988544464111328,-2.003870964050293
-7.908749580383301,-5.720639228820801,-2.1881103515625
-10.188199996948242,-4.484792709350586,-5.703407287597656
-4.731525421142578,-8.445730209350586,3.714204788208008
-6.2550811767578125,-6.137886047363281,-0.11719512939453125
-12.331298828125,-4.58656120300293,-7.74473762512207
-6.895782470703125,-5.570487976074219,-1.3252944946289062
-5.540617942810059,-6.682366371154785,1.1417484283447266
-6.145280838012695,-7.8480682373046875,1.7027873992919922
-6.964692115783691,-6.019161224365234,-0.945530891418457
-5.555996894836426,-6.610324859619141,1.0543279647827148
-4.6139678955078125,-7.133627891540527,2.519659996032715
-9.163637161254883,-5.265155792236328,-3.8984813690185547
-9.24626350402832,-5.807353973388672,-3.4389095306396484
-7.216705322265625,-5.742536544799805,-1.4741687774658203
