yes,no,diff
-2.458261489868164,-1.6464653015136719,-0.8117961883544922
-2.2049636840820312,-1.071634292602539,-1.1333293914794922
-1.6269092559814453,-2.2156734466552734,0.5887641906738281
-1.6271133422851562,-2.026165008544922,0.3990516662597656
-1.7373790740966797,-2.553190231323242,0.8158111572265625
-1.5282917022705078,-1.914987564086914,0.38669586181640625
-1.6804695129394531,-1.8603439331054688,0.17987442016601562
-1.4604263305664062,-2.0995960235595703,0.6391696929931641
-1.8328857421875,-1.4259414672851562,-0.40694427490234375
-2.207261085510254,-2.0706214904785156,-0.13663959503173828
-2.0443191528320312,-1.4630470275878906,-0.5812721252441406
-1.7574882507324219,-2.698375701904297,0.940887451171875
-1.3444175720214844,-2.1867446899414062,0.8423271179199219
-1.9527778625488281,-1.766347885131836,-0.1864299774169922
-1.9945869445800781,-2.5761966705322266,0.5816097259521484
-1.836557388305664,-2.7211036682128906,0.8845462799072266
-1.4085807800292969,-1.8500137329101562,0.4414329528808594
-2.3323135375976562,-1.4765262603759766,-0.8557872772216797
-1.9908981323242188,-1.5377120971679688,-0.45318603515625
-1.1969966888427734,-2.2054977416992188,1.0085010528564453
-1.4317493438720703,-1.5117607116699219,0.08001136779785156
-1.5417919158935547,-1.3026924133300781,-0.23909950256347656
-1.68218994140625,-1.7040081024169922,0.021818161010742188
-2.4074020385742188,-1.622528076171875,-0.7848739624023438
-1.8789081573486328,-1.2213363647460938,-0.6575717926025391
-2.0756454467773438,-1.864248275756836,-0.2113971710205078
-1.7801628112792969,-2.13580322265625,0.3556404113769531
-1.7122344970703125,-2.307859420776367,0.5956249237060547
-1.3883895874023438,-2.1930789947509766,0.8046894073486328
-0.8465003967285156,-2.401081085205078,1.5545806884765625
-1.9964752197265625,-1.3052310943603516,-0.6912441253662109
-1.5870037078857422,-2.3137474060058594,0.7267436981201172
-1.7679710388183594,-1.882711410522461,0.11474037170410156
-1.5683784484863281,-2.356485366821289,0.7881069183349609
-1.4126472473144531,-2.196981430053711,0.7843341827392578
-2.032796859741211,-1.3418636322021484,-0.6909332275390625
-1.8395862579345703,-2.347780227661133,0.5081939697265625
-1.54510498046875,-2.1833553314208984,0.6382503509521484
-1.9494285583496094,-2.0270557403564453,0.07762718200683594
-1.9541378021240234,-2.4286975860595703,0.4745597839355469
-1.3211040496826172,-2.101747512817383,0.7806434631347656
-1.6158809661865234,-2.0163021087646484,0.400421142578125
-2.5862770080566406,-1.3498458862304688,-1.2364311218261719
-1.8134384155273438,-1.5332412719726562,-0.2801971435546875
-2.2019424438476562,-2.0802230834960938,-0.1217193603515625
-2.0297279357910156,-1.3226871490478516,-0.7070407867431641
-1.9471473693847656,-1.7254753112792969,-0.22167205810546875
-1.7160263061523438,-1.7369709014892578,0.020944595336914062
-1.7108192443847656,-2.032388687133789,0.32156944274902344
