yes,no,diff
-1.9413490295410156,-1.387441635131836,-0.5539073944091797
-2.068429946899414,-1.0468120574951172,-1.0216178894042969
-1.9312877655029297,-1.6620407104492188,-0.26924705505371094
-1.5881080627441406,-1.2409839630126953,-0.3471240997314453
-1.395111083984375,-1.6379585266113281,0.24284744262695312
-1.5010566711425781,-1.420919418334961,-0.08013725280761719
-1.703451156616211,-1.5366172790527344,-0.16683387756347656
-1.7111949920654297,-1.0372676849365234,-0.6739273071289062
-1.5333366394042969,-1.1363506317138672,-0.3969860076904297
-1.9604434967041016,-1.658487319946289,-0.3019561767578125
-1.7561626434326172,-0.9711875915527344,-0.7849750518798828
-1.5458335876464844,-1.6232967376708984,0.07746315002441406
-1.2534599304199219,-1.4323768615722656,0.17891693115234375
-1.6697196960449219,-1.034292221069336,-0.6354274749755859
-1.9468326568603516,-1.7896842956542969,-0.1571483612060547
-1.6110687255859375,-1.7177047729492188,0.10663604736328125
-1.5737018585205078,-1.1122722625732422,-0.4614295959472656
-1.9980716705322266,-1.4124069213867188,-0.5856647491455078
-1.7126693725585938,-1.2346973419189453,-0.47797203063964844
-1.6073665618896484,-1.504861831665039,-0.10250473022460938
-1.684091567993164,-1.3148365020751953,-0.36925506591796875
-1.4962272644042969,-1.3901138305664062,-0.10611343383789062
-1.9126453399658203,-1.5833206176757812,-0.32932472229003906
-1.9249706268310547,-1.3917465209960938,-0.5332241058349609
-1.684682846069336,-1.02142333984375,-0.6632595062255859
-1.6379871368408203,-1.654794692993164,0.01680755615234375
-1.566812515258789,-1.4518966674804688,-0.11491584777832031
-1.699716567993164,-1.7664299011230469,0.06671333312988281
-1.4992618560791016,-1.5007801055908203,0.00151824951171875
-1.5518779754638672,-1.4157829284667969,-0.1360950469970703
-1.7882232666015625,-1.0834674835205078,-0.7047557830810547
-1.3653678894042969,-1.7176971435546875,0.3523292541503906
-1.8339157104492188,-1.357156753540039,-0.4767589569091797
-1.3317146301269531,-1.5946121215820312,0.2628974914550781
-1.8062572479248047,-1.4825325012207031,-0.32372474670410156
-1.9358654022216797,-1.1866092681884766,-0.7492561340332031
-1.4937324523925781,-1.870361328125,0.3766288757324219
-1.662008285522461,-1.2767295837402344,-0.38527870178222656
-1.7037677764892578,-1.2313175201416016,-0.47245025634765625
-1.539154052734375,-1.7670154571533203,0.2278614044189453
-1.3456878662109375,-1.5232257843017578,0.1775379180908203
-1.6604862213134766,-1.2908210754394531,-0.36966514587402344
-2.0164833068847656,-1.1543426513671875,-0.8621406555175781
-1.555685043334961,-1.2837505340576172,-0.27193450927734375
-1.9484100341796875,-1.6843109130859375,-0.26409912109375
-1.8678035736083984,-0.9658260345458984,-0.9019775390625
-1.5751953125,-1.4577655792236328,-0.11742973327636719
-1.662221908569336,-1.1592674255371094,-0.5029544830322266
-1.6838436126708984,-1.3454933166503906,-0.3383502960205078
-1.7339458465576172,-1.0786304473876953,-0.6553153991699219
-1.9481315612792969,-0.9099235534667969,-1.0382080078125
-1.764312744140625,-1.5149955749511719,-0.24931716918945312
-1.9584503173828125,-1.6914615631103516,-0.26698875427246094
-1.6225204467773438,-1.589578628540039,-0.03294181823730469
-1.6393966674804688,-1.0885124206542969,-0.5508842468261719
-1.5652809143066406,-1.431976318359375,-0.13330459594726562
-1.6989822387695312,-1.3130130767822266,-0.3859691619873047
-1.8882007598876953,-0.9885940551757812,-0.8996067047119141
-1.7508411407470703,-1.3705387115478516,-0.38030242919921875
-2.281566619873047,-1.1089534759521484,-1.1726131439208984
-1.6280746459960938,-1.1803512573242188,-0.447723388671875
-1.8747196197509766,-1.2661304473876953,-0.6085891723632812
-1.4833011627197266,-1.7080039978027344,0.2247028350830078
-1.5543537139892578,-1.566263198852539,0.01190948486328125
-1.6322288513183594,-1.7676067352294922,0.1353778839111328
-2.146045684814453,-1.5540485382080078,-0.5919971466064453
-1.6484355926513672,-1.2861404418945312,-0.36229515075683594
-1.7053718566894531,-1.5652332305908203,-0.1401386260986328
-1.7148818969726562,-1.3597698211669922,-0.35511207580566406
-1.8805160522460938,-1.2503852844238281,-0.6301307678222656
-1.9033985137939453,-1.6718387603759766,-0.23155975341796875
-1.8620052337646484,-1.1722354888916016,-0.6897697448730469
-1.4607620239257812,-1.3115158081054688,-0.1492462158203125
-2.0423030853271484,-1.1788444519042969,-0.8634586334228516
-1.6246223449707031,-1.2396564483642578,-0.3849658966064453
-2.093935012817383,-1.2286319732666016,-0.8653030395507812
-1.99951171875,-1.4177303314208984,-0.5817813873291016
-1.733255386352539,-1.5892410278320312,-0.1440143585205078
-1.825521469116211,-1.1179771423339844,-0.7075443267822266
-1.9437389373779297,-1.1647758483886719,-0.7789630889892578
-2.043161392211914,-0.9920673370361328,-1.0510940551757812
-1.8438701629638672,-1.4174785614013672,-0.4263916015625
-2.0780372619628906,-1.5877819061279297,-0.49025535583496094
-1.7751216888427734,-1.68951416015625,-0.08560752868652344
-1.6775150299072266,-1.1948680877685547,-0.4826469421386719
-1.6205158233642578,-1.450155258178711,-0.17036056518554688
-1.7182693481445312,-1.1017684936523438,-0.6165008544921875
-1.7133426666259766,-1.384521484375,-0.32882118225097656
-1.4993839263916016,-1.5712432861328125,0.07185935974121094
-1.7671127319335938,-1.1628646850585938,-0.604248046875
-1.3487110137939453,-1.6905250549316406,0.3418140411376953
-1.5831413269042969,-1.7037906646728516,0.12064933776855469
-1.558065414428711,-1.5224933624267578,-0.035572052001953125
-1.741180419921875,-1.31817626953125,-0.423004150390625
-1.9350528717041016,-1.439687728881836,-0.4953651428222656
-1.7941055297851562,-1.6170883178710938,-0.1770172119140625
-1.6425437927246094,-1.4382667541503906,-0.20427703857421875
