yes,no,diff
-1.6659984588623047,-0.25457191467285156,-1.4114265441894531
-2.341716766357422,-0.11447906494140625,-2.2272377014160156
-1.1151771545410156,-0.8437995910644531,-0.2713775634765625
-0.9413280487060547,-0.794525146484375,-0.1468029022216797
-0.90887451171875,-0.6394557952880859,-0.26941871643066406
-1.1499996185302734,-0.5208396911621094,-0.6291599273681641
-0.8760395050048828,-0.8057823181152344,-0.07025718688964844
-0.7380352020263672,-0.9429264068603516,0.20489120483398438
-2.458169937133789,-0.11420822143554688,-2.343961715698242
-2.5400829315185547,-0.12136268615722656,-2.418720245361328
-2.3911476135253906,-0.1388416290283203,-2.2523059844970703
-0.61639404296875,-1.1791877746582031,0.5627937316894531
-2.382699966430664,-0.13620567321777344,-2.2464942932128906
-2.0647525787353516,-0.17483901977539062,-1.889913558959961
-2.241060256958008,-0.2965679168701172,-1.9444923400878906
-0.2691841125488281,-1.7189769744873047,1.4497928619384766
-0.3608894348144531,-1.8307609558105469,1.4698715209960938
-2.419401168823242,-0.1446094512939453,-2.274791717529297
-2.4612464904785156,-0.13351058959960938,-2.3277359008789062
-0.6105327606201172,-1.296213150024414,0.6856803894042969
-0.7797908782958984,-1.078683853149414,0.2988929748535156
-4.108360290527344,-0.027896881103515625,-4.080463409423828
-0.9307918548583984,-0.9311161041259766,0.000324249267578125
-2.745655059814453,-0.09848976135253906,-2.647165298461914
-1.1999740600585938,-0.6585750579833984,-0.5413990020751953
-2.0568790435791016,-0.15224456787109375,-1.9046344757080078
-0.7967376708984375,-0.7050037384033203,-0.09173393249511719
-2.0899429321289062,-0.16852378845214844,-1.9214191436767578
-1.14990234375,-0.6065025329589844,-0.5433998107910156
-2.276510238647461,-0.19599342346191406,-2.080516815185547
-2.486227035522461,-0.13132095336914062,-2.3549060821533203
-0.9492588043212891,-1.3903064727783203,0.44104766845703125
-1.7123603820800781,-0.2527484893798828,-1.4596118927001953
-0.23830032348632812,-2.179819107055664,1.941518783569336
-0.38048553466796875,-1.3912887573242188,1.01080322265625
-3.2336273193359375,-0.04797935485839844,-3.185647964477539
-2.0573196411132812,-0.1923980712890625,-1.8649215698242188
-1.7781047821044922,-0.2799568176269531,-1.498147964477539
-2.5832595825195312,-0.10234451293945312,-2.480915069580078
-1.3424835205078125,-1.51007080078125,0.1675872802734375
-1.9230709075927734,-0.2155132293701172,-1.7075576782226562
-1.3620719909667969,-0.46538352966308594,-0.8966884613037109
-2.624776840209961,-0.09213066101074219,-2.5326461791992188
-1.7805404663085938,-0.26805686950683594,-1.5124835968017578
-2.683605194091797,-0.15295791625976562,-2.5306472778320312
-3.311248779296875,-0.04520606994628906,-3.266042709350586
-2.3100757598876953,-0.12713050842285156,-2.1829452514648438
-1.5704364776611328,-0.3509674072265625,-1.2194690704345703
-1.5712318420410156,-0.31963348388671875,-1.2515983581542969
-0.7579174041748047,-1.0040531158447266,0.24613571166992188
-2.0917816162109375,-0.2149944305419922,-1.8767871856689453
-4.281322479248047,-0.0256195068359375,-4.255702972412109
-0.98089599609375,-0.8122596740722656,-0.16863632202148438
-3.1961822509765625,-0.08273696899414062,-3.113445281982422
-2.0715465545654297,-0.16892623901367188,-1.9026203155517578
-0.70697021484375,-0.9260292053222656,0.21905899047851562
-2.288320541381836,-0.123992919921875,-2.164327621459961
-1.6705055236816406,-0.436065673828125,-1.2344398498535156
-1.5331707000732422,-0.3567771911621094,-1.1763935089111328
-2.9073925018310547,-0.07578659057617188,-2.831605911254883
-1.5556526184082031,-0.35037803649902344,-1.2052745819091797
-2.728212356567383,-0.09391212463378906,-2.6343002319335938
-0.7673492431640625,-1.3980789184570312,0.6307296752929688
-0.2951087951660156,-1.6866035461425781,1.3914947509765625
-0.9052028656005859,-0.819793701171875,-0.08540916442871094
-2.651651382446289,-0.09887504577636719,-2.552776336669922
-3.053333282470703,-0.07200813293457031,-2.981325149536133
-1.3197174072265625,-0.5392379760742188,-0.7804794311523438
-1.6574954986572266,-0.6059665679931641,-1.0515289306640625
-1.1872501373291016,-0.49650001525878906,-0.6907501220703125
-0.6676349639892578,-0.8732032775878906,0.2055683135986328
-2.0146408081054688,-0.2292804718017578,-1.785360336303711
-1.0149879455566406,-0.7462291717529297,-0.26875877380371094
-2.0247554779052734,-0.20172691345214844,-1.823028564453125
-0.6179313659667969,-1.4411811828613281,0.8232498168945312
-3.513702392578125,-0.041461944580078125,-3.472240447998047
-1.2818851470947266,-0.5834751129150391,-0.6984100341796875
-0.9231071472167969,-0.68853759765625,-0.23456954956054688
-1.7297821044921875,-0.28088951110839844,-1.448892593383789
-1.9589576721191406,-0.2173480987548828,-1.7416095733642578
-2.1845970153808594,-0.1477069854736328,-2.0368900299072266
-2.084033966064453,-0.16594505310058594,-1.9180889129638672
-1.2698612213134766,-0.4221000671386719,-0.8477611541748047
-2.724760055541992,-0.2903594970703125,-2.4344005584716797
-1.6968555450439453,-0.23193740844726562,-1.4649181365966797
-1.8671913146972656,-0.2690849304199219,-1.5981063842773438
-1.169778823852539,-0.5383548736572266,-0.6314239501953125
-1.9697952270507812,-0.3599720001220703,-1.609823226928711
-0.8404426574707031,-1.0608863830566406,0.2204437255859375
-3.29779052734375,-0.0467071533203125,-3.2510833740234375
-0.8948898315429688,-0.7746715545654297,-0.12021827697753906
-1.4914283752441406,-1.0526466369628906,-0.43878173828125
-2.219085693359375,-0.15475845336914062,-2.0643272399902344
