empty,control,prompt
-8.620705604553223,-6.690003871917725,-5.487768650054932
-9.18304443359375,-6.110551357269287,-7.870970249176025
-9.314803123474121,-5.258669376373291,-4.994235992431641
-9.19775390625,-5.547895431518555,-4.240907192230225
-9.323407173156738,-5.838948726654053,-5.566398620605469
-8.47709846496582,-4.516056537628174,-4.914121627807617
-11.070239067077637,-6.089457988739014,-6.682182312011719
-9.63394546508789,-6.181395053863525,-6.33571195602417
-8.463398933410645,-4.744534969329834,-4.535401344299316
-8.778496742248535,-5.417148113250732,-5.766757488250732
-9.20047378540039,-5.898340702056885,-5.421606540679932
-8.52106761932373,-5.2441086769104,-4.022237777709961
-9.00877857208252,-6.439802646636963,-6.948651313781738
-8.68325424194336,-5.564698696136475,-5.722737789154053
-8.826363563537598,-6.070698261260986,-4.13682746887207
-10.186563491821289,-5.615428924560547,-5.349151134490967
-7.634305477142334,-5.225862979888916,-5.29836368560791
-8.018930435180664,-4.987209320068359,-4.6114630699157715
-9.487678527832031,-6.686552047729492,-6.604503154754639
-8.835609436035156,-5.297908306121826,-5.415733337402344
-8.58205509185791,-4.454658508300781,-3.696843147277832
-8.86324405670166,-4.903796672821045,-4.464046955108643
-9.611379623413086,-6.574777126312256,-6.593252658843994
-7.378230571746826,-5.171004295349121,-5.051270961761475
-10.521860122680664,-6.103374481201172,-7.124891757965088
-8.998709678649902,-5.276365756988525,-4.714670658111572
-7.799411773681641,-5.416309833526611,-5.023317813873291
-6.500131607055664,-3.5853958129882812,-3.6993870735168457
-8.937055587768555,-4.871889591217041,-3.278291702270508
-8.516243934631348,-5.152032375335693,-4.317899703979492
-9.253993034362793,-6.874063968658447,-6.992349624633789
-7.633070945739746,-4.479885101318359,-4.414666175842285
-8.285229682922363,-5.0486159324646,-4.888922214508057
-10.504056930541992,-5.899277210235596,-6.603701591491699
-8.494817733764648,-5.1543474197387695,-5.450718402862549
-9.096991539001465,-5.529127597808838,-6.698182582855225
-7.677868366241455,-3.81756854057312,-3.907013416290283
-8.914020538330078,-5.795652866363525,-7.118106842041016
-7.581923484802246,-5.089496612548828,-5.816169738769531
-7.3794965744018555,-4.054135322570801,-4.048421382904053
-10.128026008605957,-6.579690933227539,-5.628835201263428
-6.875083923339844,-3.9520695209503174,-3.7780230045318604
-8.982492446899414,-6.901261806488037,-6.928388595581055
-8.733570098876953,-5.409116744995117,-6.049036502838135
-9.004648208618164,-5.029512882232666,-4.360434055328369
-8.609553337097168,-5.360151290893555,-5.328795909881592
-9.04430866241455,-5.190592288970947,-5.068904399871826
-6.481593132019043,-3.4045016765594482,-2.0137319564819336
-7.553133010864258,-4.877537250518799,-3.812530755996704
-8.698437690734863,-6.013594150543213,-2.4468443393707275
-7.72814416885376,-5.529316425323486,-3.1331169605255127
-7.839069843292236,-4.827305316925049,-2.656329870223999
-8.997803688049316,-6.02647066116333,-6.483062267303467
-8.733570098876953,-5.409116744995117,-5.508741855621338
-9.008776664733887,-6.439803123474121,-6.010645389556885
-7.254777431488037,-5.322423934936523,-5.895800590515137
-8.979907989501953,-6.291261672973633,-5.523977756500244
-8.703194618225098,-4.83651065826416,-3.5670270919799805
-9.92125129699707,-6.207180976867676,-4.727950572967529
-10.14838695526123,-4.769405841827393,-3.8322231769561768
-9.6627779006958,-5.45391321182251,-5.3947319984436035
-8.787650108337402,-5.961780548095703,-4.645577907562256
-9.279552459716797,-4.893642902374268,-4.494504451751709
-7.4837565422058105,-4.95504093170166,-4.747489929199219
-9.096991539001465,-5.529127597808838,-4.976925849914551
-6.875083923339844,-3.9520695209503174,-3.3305952548980713
-8.544352531433105,-5.1164469718933105,-7.358483791351318
-9.04430866241455,-5.190592288970947,-3.2553253173828125
-7.553133010864258,-4.877537250518799,-4.117589950561523
-8.477099418640137,-4.516054153442383,-4.189306735992432
-6.486119270324707,-4.21256685256958,-3.798711061477661
-8.285229682922363,-5.0486159324646,-3.9547603130340576
-7.3794965744018555,-4.054135322570801,-4.053282737731934
-10.16071605682373,-6.403421878814697,-4.46951150894165
-9.279552459716797,-4.893642902374268,-4.316390514373779
-7.614994525909424,-4.664203643798828,-4.046383857727051
-7.378230571746826,-5.171004295349121,-3.358858823776245
-10.259679794311523,-5.738543510437012,-4.465720176696777
-7.5592851638793945,-5.157497882843018,-4.446808815002441
-10.047761917114258,-6.508802890777588,-5.275139808654785
-8.34702205657959,-5.605794429779053,-3.2788586616516113
-9.971505165100098,-5.999983310699463,-3.7273855209350586
-9.92125129699707,-6.207180976867676,-4.16669225692749
-8.018930435180664,-4.987209320068359,-3.799694299697876
-7.261191368103027,-3.5934574604034424,-3.309433698654175
-10.348154067993164,-5.805875301361084,-3.7968525886535645
-8.466084480285645,-4.623996257781982,-2.890267848968506
-8.733570098876953,-5.409116744995117,-4.995285511016846
-8.811680793762207,-4.944843292236328,-3.4873275756835938
-8.86324405670166,-4.903796672821045,-3.4924049377441406
-7.652430057525635,-5.117293357849121,-2.1441755294799805
-8.91004467010498,-5.83149528503418,-2.7542636394500732
-9.649613380432129,-6.031880855560303,-3.5530643463134766
-9.250813484191895,-5.572048187255859,-4.529497146606445
-7.933777332305908,-4.499406337738037,-3.7719359397888184
-9.82326602935791,-6.0850090980529785,-3.4404900074005127
-8.516243934631348,-5.152032375335693,-3.761423110961914
-7.884697914123535,-4.187148094177246,-2.4031004905700684
-9.200467109680176,-5.898338317871094,-5.370240688323975
-7.799411773681641,-5.416309833526611,-5.138408184051514
-8.018930435180664,-4.987209320068359,-5.218371391296387
-9.63394546508789,-6.181393146514893,-4.897759914398193
-9.961617469787598,-7.229384899139404,-4.769286632537842
-7.4837565422058105,-4.95504093170166,-3.8241922855377197
-7.581923484802246,-5.089496612548828,-3.5632760524749756
-8.997803688049316,-6.02647066116333,-5.858113765716553
-8.477099418640137,-4.516054153442383,-3.4252803325653076
-8.778491020202637,-5.417148113250732,-5.051188945770264
-9.008776664733887,-6.439803123474121,-5.97078800201416
-9.183051109313965,-6.11055326461792,-6.048881530761719
-7.553133010864258,-4.877537250518799,-4.463235378265381
-8.979907989501953,-6.291261672973633,-4.8113627433776855
-6.875083923339844,-3.9520695209503174,-2.8952629566192627
-9.04430866241455,-5.190592288970947,-4.275844097137451
-8.516243934631348,-5.152032375335693,-3.1132194995880127
-8.016339302062988,-5.971505165100098,-5.0633392333984375
-8.98827838897705,-4.734105587005615,-3.2627155780792236
-9.4929838180542,-6.401844501495361,-2.1574301719665527
-9.096991539001465,-5.529127597808838,-4.4574666023254395
-8.90539836883545,-5.802204132080078,-5.094862937927246
-7.614994525909424,-4.664203643798828,-3.892291307449341
-9.279552459716797,-4.893642902374268,-3.950281858444214
-10.806187629699707,-6.306366920471191,-2.894838809967041
-9.971505165100098,-5.999983310699463,-3.5501158237457275
-9.250813484191895,-5.572048187255859,-4.844510555267334
-8.285229682922363,-5.0486159324646,-3.7714452743530273
-7.34190559387207,-4.376410007476807,-2.1067347526550293
-10.259679794311523,-5.738543510437012,-4.106016635894775
-9.579068183898926,-5.891901969909668,-4.125108242034912
-8.982494354248047,-6.90125846862793,-4.621614933013916
-10.476947784423828,-5.84716796875,-5.411985397338867
-7.715434551239014,-4.678037166595459,-4.93563985824585
-7.379501819610596,-4.054133415222168,-3.121187210083008
-10.047757148742676,-6.5088043212890625,-5.2199602127075195
-9.662784576416016,-5.453917026519775,-5.133800506591797
-8.733572959899902,-5.409118175506592,-5.101441860198975
-9.113846778869629,-6.096043109893799,-2.792120933532715
-10.128022193908691,-6.579688549041748,-5.255416393280029
-10.52186393737793,-6.103367805480957,-5.405547618865967
-8.224048614501953,-4.556087493896484,-2.1860511302948
-8.494806289672852,-5.154347896575928,-4.906888484954834
-11.070239067077637,-6.089457988739014,-7.2719621658325195
-9.046561241149902,-4.379099369049072,-3.982393980026245
-9.157822608947754,-4.851650714874268,-2.537299156188965
-8.769143104553223,-5.089901447296143,-3.529461622238159
-9.114849090576172,-5.544007778167725,-2.9042975902557373
-8.675375938415527,-4.668292999267578,-3.060269594192505
-9.113840103149414,-6.096046447753906,-4.3810133934021
-6.901561260223389,-4.5843987464904785,-3.856335401535034
-8.40822696685791,-5.672171592712402,-3.78425669670105
-8.99048137664795,-5.743937015533447,-3.703700304031372
-6.500131607055664,-3.5853958129882812,-2.346571683883667
-8.414273262023926,-5.071343898773193,-3.8732941150665283
-10.565292358398438,-7.5215559005737305,-7.608603477478027
-9.571617126464844,-5.332702159881592,-3.604771852493286
-8.480756759643555,-5.338470458984375,-3.3551909923553467
-7.492240905761719,-4.171298503875732,-2.3861119747161865
-8.010174751281738,-5.224282264709473,-4.157744407653809
-9.049185752868652,-5.5960164070129395,-3.9072883129119873
-9.796943664550781,-6.048949241638184,-2.508405923843384
-10.476938247680664,-5.84716796875,-4.496374130249023
-7.7879157066345215,-4.454707622528076,-2.216601610183716
-7.986817836761475,-6.300999164581299,-5.526438236236572
-9.579071998596191,-5.89190149307251,-3.6679461002349854
-7.704762935638428,-5.153575420379639,-3.907564163208008
-7.859471797943115,-5.674733638763428,-4.085498332977295
-8.826354026794434,-6.070700168609619,-4.30665922164917
-6.929844856262207,-4.178805351257324,-3.3144969940185547
-11.070241928100586,-6.089457035064697,-4.879425525665283
-9.445952415466309,-6.065547943115234,-3.799593925476074
-10.521860122680664,-6.103374481201172,-5.851268768310547
-8.260032653808594,-5.572032451629639,-4.160396575927734
-7.9953413009643555,-4.889596462249756,-3.3123128414154053
-8.914020538330078,-5.795652866363525,-3.907949686050415
-8.835609436035156,-5.297908306121826,-2.8007538318634033
-8.92322063446045,-5.430140018463135,-3.3910980224609375
-9.027419090270996,-5.364725589752197,-5.080089569091797
-7.884697914123535,-4.187148094177246,-2.2866549491882324
-7.261191368103027,-3.5934574604034424,-2.05788254737854
-9.971505165100098,-5.999983310699463,-4.728601455688477
-8.34702205657959,-5.605794429779053,-3.2836930751800537
-8.734317779541016,-5.946905136108398,-3.6549408435821533
-7.891690731048584,-5.1875128746032715,-3.8365108966827393
-9.340282440185547,-6.1874098777771,-4.818578243255615
-9.019621849060059,-5.0648040771484375,-4.08012056350708
-8.190999984741211,-4.139761924743652,-2.638622999191284
-9.919373512268066,-4.769737243652344,-4.38442850112915
-7.4837565422058105,-4.95504093170166,-4.144773483276367
-10.047761917114258,-6.508802890777588,-4.750908851623535
-6.913144111633301,-4.3467793464660645,-2.394307851791382
-8.126276969909668,-4.516223430633545,-2.9508395195007324
-9.961617469787598,-7.229384899139404,-3.800481081008911
-7.719820976257324,-4.7655253410339355,-3.5017542839050293
-8.81177043914795,-6.818115234375,-4.492568492889404
-7.518496513366699,-5.207503795623779,-4.3327555656433105
-8.523286819458008,-4.9952850341796875,-3.2767093181610107
-8.260594367980957,-4.82488489151001,-4.587752342224121
-8.283270835876465,-5.371527671813965,-4.114321708679199
-8.778496742248535,-5.417148113250732,-4.131648063659668
-7.8940300941467285,-4.973649024963379,-3.5772719383239746
-9.63394546508789,-6.181395053863525,-4.358620643615723
-8.28632926940918,-6.6237945556640625,-4.462978839874268
-8.045941352844238,-5.030636787414551,-3.0297086238861084
-9.586718559265137,-6.300801753997803,-5.859507083892822
-8.774879455566406,-5.6515069007873535,-4.1359333992004395
-9.385737419128418,-5.791579723358154,-3.043134927749634
-9.123101234436035,-5.978768825531006,-3.8113954067230225
-8.494806289672852,-5.154347896575928,-4.140553951263428
-7.553133010864258,-4.877537250518799,-3.4144186973571777
-8.504015922546387,-5.911549091339111,-3.5511562824249268
-7.34190559387207,-4.376410007476807,-2.593360185623169
-9.572543144226074,-7.323795318603516,-4.8852996826171875
-10.593035697937012,-5.740544319152832,-3.640918016433716
-8.986454963684082,-6.227081298828125,-4.583664894104004
-8.305954933166504,-5.611395359039307,-3.228402853012085
-7.873989582061768,-4.4787278175354,-3.113530397415161
-8.682270050048828,-4.468142032623291,-2.7037127017974854
-9.59154224395752,-5.069087028503418,-4.270267009735107
-9.114849090576172,-5.544007778167725,-2.6652843952178955
-8.507753372192383,-5.240516185760498,-4.256077766418457
-8.430335998535156,-4.988261699676514,-3.1751513481140137
-9.633770942687988,-4.965332508087158,-4.694005489349365
-9.4929838180542,-6.401844501495361,-3.6591365337371826
-9.004648208618164,-5.029512882232666,-2.8320980072021484
-9.05275821685791,-5.326610088348389,-4.577584743499756
-7.440213680267334,-4.278934001922607,-2.840427875518799
-10.259679794311523,-5.738543510437012,-3.9140334129333496
-10.359346389770508,-6.157278537750244,-3.5077242851257324
-9.462749481201172,-6.34056282043457,-6.023437976837158
-10.047761917114258,-6.508802890777588,-4.750908851623535
-8.14851188659668,-5.166304588317871,-4.642723083496094
-9.322985649108887,-5.8114914894104,-3.87882137298584
-10.806187629699707,-6.306366920471191,-3.1988120079040527
-9.04430866241455,-5.190592288970947,-4.768539905548096
-9.65937328338623,-5.971704959869385,-5.633724689483643
-10.015405654907227,-4.9953155517578125,-2.912363290786743
-9.063278198242188,-6.773066997528076,-4.907807350158691
-8.463399887084961,-4.744533538818359,-2.443342447280884
-10.607470512390137,-6.503238677978516,-4.823670387268066
-7.932920932769775,-5.044386863708496,-3.299814224243164
-10.128026008605957,-6.579690933227539,-4.162819862365723
-8.10340404510498,-4.325608730316162,-4.17866325378418
-8.193196296691895,-5.276835918426514,-4.013199806213379
-8.544352531433105,-5.1164469718933105,-5.345052242279053
-9.713679313659668,-6.755539417266846,-4.725522518157959
-9.591224670410156,-6.659456253051758,-6.08038854598999
-8.077261924743652,-5.0609540939331055,-3.4400322437286377
-8.510801315307617,-5.501266002655029,-3.6150593757629395
-8.979907989501953,-6.291261672973633,-4.4473347663879395
-9.989832878112793,-6.294494152069092,-3.694594144821167
-8.224050521850586,-4.556088447570801,-3.365705728530884
-7.938765525817871,-5.796566963195801,-4.5904364585876465
-8.917569160461426,-5.847698211669922,-3.981778383255005
-7.933999538421631,-5.449667930603027,-3.4965531826019287
-6.719468116760254,-3.8238637447357178,-2.413992404937744
-9.250813484191895,-5.572048187255859,-4.609716415405273
-8.733570098876953,-5.409116744995117,-3.257492780685425
-7.510976314544678,-5.231446266174316,-3.0136635303497314
-9.713052749633789,-8.656803131103516,-5.4357476234436035
-6.2891669273376465,-4.002034664154053,-3.338435411453247
-9.022368431091309,-5.425897121429443,-3.565617322921753
-8.98827838897705,-4.734105587005615,-2.7697670459747314
-9.10708236694336,-5.85059118270874,-4.885873794555664
-8.466084480285645,-4.623996257781982,-3.0334994792938232
-8.261746406555176,-5.378515720367432,-4.121911525726318
-7.7154388427734375,-4.67803955078125,-4.595552921295166
-9.183051109313965,-6.11055326461792,-4.483604431152344
-10.34635066986084,-6.445706844329834,-5.676140308380127
-8.761622428894043,-5.822059631347656,-5.120791912078857
-7.614994525909424,-4.664203643798828,-3.132255792617798
-7.677868366241455,-3.81756854057312,-2.948002576828003
-8.115073204040527,-4.814752101898193,-2.992957592010498
-7.630887508392334,-4.820332050323486,-4.008738040924072
-7.254777431488037,-5.322423934936523,-4.53611946105957
-7.9756083488464355,-4.250946521759033,-2.9384210109710693
-9.157820701599121,-4.851651191711426,-2.3414642810821533
-8.937055587768555,-4.871889591217041,-1.5379939079284668
-8.876355171203613,-6.52551794052124,-3.881800889968872
-8.448885917663574,-5.377849578857422,-3.6752090454101562
-8.256128311157227,-4.77475643157959,-3.8139593601226807
-8.57924747467041,-5.329739093780518,-4.297182559967041
-8.997803688049316,-6.02647066116333,-4.620543956756592
-9.027534484863281,-5.100207805633545,-3.927732467651367
-8.309542655944824,-4.132199764251709,-3.160242795944214
-10.504056930541992,-5.899277210235596,-3.2097785472869873
-9.279552459716797,-4.893642902374268,-3.0438079833984375
-8.066044807434082,-3.8651621341705322,-2.703840732574463
-8.417194366455078,-6.640714168548584,-4.572176933288574
-8.203261375427246,-4.97786808013916,-3.5479297637939453
-8.598017692565918,-6.533916473388672,-3.9777889251708984
-8.59516716003418,-6.569559574127197,-4.184274196624756
-7.92245626449585,-5.617806911468506,-5.083180904388428
-8.86496639251709,-5.8594889640808105,-3.7298495769500732
-9.096991539001465,-5.529127597808838,-3.848963499069214
-9.227347373962402,-5.10685396194458,-2.350426435470581
-8.982492446899414,-6.901261806488037,-6.6846842765808105
-8.337207794189453,-5.041005611419678,-3.785454034805298
-8.95661449432373,-5.250811576843262,-3.6167070865631104
-7.194125652313232,-4.301664352416992,-2.5569984912872314
-7.739997863769531,-5.149086952209473,-3.614229679107666
-8.58205509185791,-4.454658508300781,-1.418343186378479
-7.390110015869141,-3.800497531890869,-2.1202588081359863
