empty,control,prompt
-13.880627632141113,-13.605162620544434,-9.964801788330078
-4.287049293518066,-14.097801208496094,-1.6200885772705078
-10.063271522521973,-10.678715705871582,-12.742365837097168
-11.027666091918945,-13.402261734008789,-13.706706047058105
-14.011674880981445,-13.13524341583252,-10.755090713500977
2.467513084411621,-8.280068397521973,-7.080560684204102
-6.61390495300293,-12.387831687927246,-8.280708312988281
-11.546826362609863,-12.875115394592285,-5.244712829589844
-11.73831558227539,-12.79603099822998,-12.044803619384766
-11.125896453857422,-12.072738647460938,-12.074542999267578
-11.425025939941406,-14.21595573425293,-10.112264633178711
-10.390544891357422,-12.852814674377441,-12.193686485290527
-9.214950561523438,-10.992378234863281,-8.942561149597168
-12.986751556396484,-13.248448371887207,-10.630702018737793
-11.261914253234863,-13.08741569519043,-7.959115982055664
-12.09267807006836,-13.087905883789062,-12.556844711303711
-9.305619239807129,-10.313379287719727,-10.519943237304688
-4.754572868347168,-12.276603698730469,3.3478240966796875
-11.265774726867676,-14.438323974609375,-6.733209609985352
3.278228759765625,-11.031278610229492,-10.304719924926758
-10.132074356079102,-12.434529304504395,-7.61196231842041
-10.544517517089844,-12.698678970336914,-5.492365837097168
-11.422374725341797,-12.97891616821289,-8.534585952758789
-13.997394561767578,-13.958617210388184,-10.702495574951172
-6.811119079589844,-10.74532699584961,-11.018710136413574
-11.718482971191406,-12.200691223144531,-10.037271499633789
-12.747150421142578,-13.368562698364258,-9.306770324707031
-10.930259704589844,-14.176473617553711,-13.072921752929688
-12.756784439086914,-12.978761672973633,-10.975347518920898
-8.696102142333984,-11.343694686889648,-11.13951587677002
-13.424009323120117,-13.587423324584961,-11.126487731933594
-7.800127029418945,-11.509515762329102,-5.158382415771484
-13.047816276550293,-12.834940910339355,-12.45324420928955
-8.656367301940918,-13.913578987121582,-9.567756652832031
1.4018268585205078,-9.391534805297852,-7.5663299560546875
-9.807488441467285,-13.372665405273438,-10.478649139404297
-10.337778091430664,-12.594295501708984,-12.343536376953125
-4.403573989868164,-11.499046325683594,1.0973262786865234
-14.965814590454102,-13.18460750579834,-11.15622329711914
-14.717700958251953,-12.503958702087402,-10.833019256591797
-5.145918846130371,-10.978536605834961,-4.859966278076172
-14.84286880493164,-13.711445808410645,-8.37339973449707
-9.858635902404785,-12.961688995361328,-12.612190246582031
-10.60318374633789,-14.666400909423828,-3.602813720703125
-12.12271499633789,-12.27908706665039,-11.865825653076172
-12.767576217651367,-13.910053253173828,-6.368249893188477
1.917414665222168,-10.958752632141113,-11.81189250946045
-14.18297290802002,-13.028761863708496,-14.02289867401123
-12.958428382873535,-14.166486740112305,-14.265180587768555
-13.111360549926758,-13.332843780517578,-9.814412117004395
-12.504477500915527,-12.329170227050781,-14.437407493591309
-12.514801979064941,-12.526222229003906,-7.532508850097656
7.575650215148926,-5.650903701782227,-10.202272415161133
-10.60318374633789,-14.666400909423828,-14.52754020690918
-11.733942031860352,-12.18858814239502,-13.2048921585083
-8.365293502807617,-12.107802391052246,-12.754380226135254
3.315418243408203,-11.689361572265625,-11.516618728637695
-14.090690612792969,-13.810114860534668,-12.953696250915527
-10.35444450378418,-11.60049819946289,-12.448770523071289
-12.854642868041992,-12.905458450317383,-13.967543601989746
-10.860505104064941,-11.94806957244873,-13.586751937866211
-14.084419250488281,-13.559318542480469,-10.009011268615723
-7.2237396240234375,-12.285909652709961,-10.862483978271484
-13.778392791748047,-14.116448402404785,-11.852564811706543
-10.132074356079102,-12.434529304504395,-11.709197998046875
-14.84286880493164,-13.711445808410645,-10.760647773742676
-13.047816276550293,-12.834940910339355,-14.36842155456543
-8.365293502807617,-12.107802391052246,-13.632227897644043
1.917414665222168,-10.958752632141113,-10.110811233520508
-14.011695861816406,-13.13524341583252,-11.964638710021973
-13.44202709197998,-12.999897956848145,-16.162195205688477
-3.003787040710449,-11.131608963012695,-11.493484497070312
-12.148662567138672,-13.32364273071289,-16.647993087768555
-11.156927108764648,-12.112552642822266,-13.433774948120117
-13.778392791748047,-14.116448402404785,-15.691967964172363
-11.536052703857422,-11.016807556152344,-15.715538024902344
-13.997394561767578,-13.958617210388184,-14.606786727905273
-1.3833532333374023,-9.73835277557373,-11.80331039428711
-9.875494003295898,-11.460058212280273,-10.302896499633789
-9.844707489013672,-13.441764831542969,-14.255067825317383
-14.717708587646484,-12.503958702087402,-13.449470520019531
-8.862588882446289,-12.815282821655273,-1.2765073776245117
-12.95842170715332,-14.166486740112305,-16.562055587768555
-12.743892669677734,-11.95217514038086,-11.474990844726562
-8.841516494750977,-11.182061195373535,-14.084827423095703
-10.39059066772461,-12.195367813110352,-12.558914184570312
-5.7072296142578125,-10.068998336791992,5.403871536254883
-10.603190422058105,-14.666400909423828,-16.15995216369629
-12.94164752960205,-13.293035507202148,-9.91771125793457
2.1582212448120117,-8.9632568359375,13.029976844787598
-8.575697898864746,-11.57997989654541,-14.012784957885742
-11.792567253112793,-12.932695388793945,-9.719265937805176
-6.632001876831055,-12.466466903686523,-12.201719284057617
-12.026254653930664,-12.565235137939453,-13.79709529876709
-10.382722854614258,-11.690568923950195,-11.75595474243164
-11.695943832397461,-13.288311004638672,-15.039338111877441
-12.9867582321167,-13.248448371887207,-14.010934829711914
-11.201141357421875,-11.43868637084961,-14.582775115966797
-10.132074356079102,-12.434529304504395,-11.292585372924805
-14.717700958251953,-12.503958702087402,-12.346471786499023
-11.546842575073242,-12.875115394592285,-12.298160552978516
-12.661628723144531,-12.572677612304688,-6.73786735534668
-3.003787040710449,-11.131608963012695,-9.426149368286133
-6.811119079589844,-10.74532699584961,-11.066702842712402
-14.965814590454102,-13.18460750579834,-13.408079147338867
-12.026275634765625,-12.565235137939453,-11.526285171508789
-11.733942031860352,-12.18858814239502,-12.605769157409668
-7.800127029418945,-11.509515762329102,-10.126859664916992
-11.862921714782715,-11.590978622436523,-9.75921630859375
-11.259389877319336,-12.87641716003418,-12.551870346069336
-9.325827598571777,-12.296558380126953,-8.557701110839844
3.315418243408203,-11.689361572265625,-11.050457954406738
7.294178009033203,-7.831540107727051,-12.728704452514648
-10.069375991821289,-13.602319717407227,-13.487961769104004
8.020608901977539,-11.713258743286133,-14.224422454833984
-14.011695861816406,-13.13524341583252,-11.37873649597168
-12.247907638549805,-13.547996520996094,-8.034786224365234
-9.487058639526367,-13.161706924438477,-10.714292526245117
7.575650215148926,-5.650903701782227,-6.576777458190918
-7.396810531616211,-9.316874504089355,-9.671530723571777
-11.536052703857422,-11.016807556152344,-7.856983184814453
-13.778392791748047,-14.116448402404785,-12.590188026428223
-11.842604637145996,-12.515379905700684,-7.535350799560547
-8.862581253051758,-12.815282821655273,-6.52525520324707
-8.365293502807617,-12.107802391052246,-12.507024765014648
-13.716878890991211,-14.400911331176758,-14.191914558410645
-13.681319236755371,-12.642240524291992,-7.674156188964844
-8.605997085571289,-11.380279541015625,-10.606147766113281
-14.84286880493164,-13.711445808410645,-11.626787185668945
1.4018268585205078,-9.391534805297852,-7.700296401977539
-10.719039916992188,-12.469453811645508,-11.151777267456055
1.917414665222168,-10.958752632141113,-11.064474105834961
-11.425025939941406,-14.21595573425293,-12.442256927490234
-9.288017272949219,-11.480514526367188,-12.877522468566895
-5.145918846130371,-10.978536605834961,-9.950846672058105
-10.60318374633789,-14.666400909423828,-13.816940307617188
-11.321595191955566,-12.818136215209961,-9.150863647460938
-11.125886917114258,-12.072738647460938,-12.795671463012695
-10.35444450378418,-11.60049819946289,-10.784172058105469
-12.12271499633789,-12.27908706665039,-7.803977012634277
-6.6139373779296875,-12.387831687927246,-12.485755920410156
-4.287038803100586,-14.097801208496094,-12.134889602661133
-11.156927108764648,-12.112552642822266,-6.499638557434082
-12.121731758117676,-12.730829238891602,-7.920492172241211
-12.227909088134766,-12.298089027404785,-11.643232345581055
-12.673718452453613,-13.12020492553711,-12.247668266296387
-7.500795364379883,-11.0582857131958,-12.020787239074707
1.4018268585205078,-9.391534805297852,-6.475590705871582
-11.837324142456055,-12.979736328125,-10.409615516662598
-11.631937026977539,-12.257511138916016,-11.515853881835938
-10.681026458740234,-13.241212844848633,-11.541276931762695
-1.5830249786376953,-11.51489543914795,-7.88253116607666
-9.180200576782227,-14.053910255432129,-7.642518997192383
-10.572883605957031,-13.251664161682129,-12.470491409301758
-9.487058639526367,-13.161706924438477,-13.469523429870605
-8.987048149108887,-13.410778999328613,-12.92109489440918
-8.613859176635742,-13.27440071105957,-13.494876861572266
-7.888596534729004,-9.937776565551758,-10.97993278503418
-12.674121856689453,-14.185214042663574,-11.959519386291504
-10.382743835449219,-11.690568923950195,-8.233047485351562
-10.404052734375,-11.643426895141602,-10.926589965820312
-12.767576217651367,-13.910053253173828,-11.859528541564941
-10.304365158081055,-13.082819938659668,-11.920882225036621
-8.696102142333984,-11.343694686889648,-10.911170959472656
-6.630735397338867,-7.11848258972168,-11.523860931396484
-9.558700561523438,-13.047779083251953,-12.986440658569336
-8.817289352416992,-13.962090492248535,-10.330520629882812
-11.718482971191406,-12.200691223144531,-8.97756576538086
-11.862921714782715,-11.590978622436523,-10.34607982635498
-12.661628723144531,-12.572677612304688,-9.385457992553711
1.917414665222168,-10.958752632141113,-11.095351219177246
