empty,control,prompt
-18.51844596862793,-15.015863418579102,-13.189065933227539
-8.665643692016602,-17.26677131652832,-11.092000007629395
-14.632603645324707,-14.066506385803223,-17.328462600708008
-16.798471450805664,-16.55104637145996,-18.182004928588867
-18.602079391479492,-14.673774719238281,-13.188738822937012
-4.967293739318848,-11.890865325927734,-13.152352333068848
-12.097982406616211,-15.4866361618042,-12.529779434204102
-15.026707649230957,-15.703498840332031,-11.342509269714355
-16.438915252685547,-14.410262107849121,-15.031869888305664
-15.323548316955566,-14.889764785766602,-16.48017120361328
-15.405893325805664,-16.30544090270996,-11.957756996154785
-16.056154251098633,-14.829061508178711,-17.173995971679688
-13.423260688781738,-12.99622917175293,-12.153217315673828
-18.072338104248047,-15.733329772949219,-14.357779502868652
-16.614261627197266,-15.740618705749512,-11.62784481048584
-17.0992431640625,-14.981493949890137,-15.228726387023926
-12.79450798034668,-11.596471786499023,-13.400836944580078
-10.79721736907959,-15.526386260986328,-6.0348100662231445
-16.528867721557617,-17.328187942504883,-10.638819694519043
1.989898681640625,-12.117961883544922,-13.187049865722656
-14.18983268737793,-14.237044334411621,-11.408456802368164
-15.099958419799805,-15.898540496826172,-10.975507736206055
-15.635065078735352,-14.889947891235352,-11.485464096069336
-18.435169219970703,-16.044267654418945,-13.541759490966797
-10.128992080688477,-12.829296112060547,-14.874418258666992
-16.514019012451172,-13.610538482666016,-13.798725128173828
-17.459463119506836,-15.097639083862305,-12.134969711303711
-16.224681854248047,-17.299047470092773,-17.61973762512207
-18.086524963378906,-14.589943885803223,-14.456138610839844
-12.266386032104492,-12.310636520385742,-14.392108917236328
-18.02628517150879,-15.629715919494629,-13.678485870361328
-12.486278533935547,-14.782176971435547,-10.024311065673828
-18.172042846679688,-15.105213165283203,-15.237771987915039
-13.207131385803223,-17.1420841217041,-14.707880020141602
-0.48070240020751953,-11.343086242675781,-11.543978691101074
-13.26694393157959,-15.373416900634766,-13.422138214111328
-15.246515274047852,-15.956449508666992,-16.651039123535156
-8.975225448608398,-13.404845237731934,-7.377655029296875
-20.03521156311035,-14.851304054260254,-14.322175979614258
-18.628276824951172,-13.555739402770996,-12.434151649475098
-11.311351776123047,-13.809730529785156,-10.056767463684082
-19.52484703063965,-15.135315895080566,-10.661334991455078
-15.10689926147461,-16.367938995361328,-16.838720321655273
-15.425267219543457,-17.205568313598633,-10.102867126464844
-16.76202964782715,-13.79365348815918,-15.177640914916992
-17.81550407409668,-16.450227737426758,-12.713180541992188
0.04262542724609375,-12.555850982666016,-14.402704238891602
-19.164743423461914,-14.494807243347168,-17.783283233642578
-18.53055763244629,-16.95854377746582,-18.368057250976562
-18.165241241455078,-15.180313110351562,-14.485945701599121
-17.02389144897461,-14.05308723449707,-18.371252059936523
-18.232925415039062,-14.75975227355957,-11.90553092956543
6.15770149230957,-6.80766487121582,-13.26860237121582
-15.425267219543457,-17.205568313598633,-18.22248077392578
-16.440689086914062,-13.440530776977539,-16.413312911987305
-12.353339195251465,-14.539840698242188,-16.34880828857422
-3.652827262878418,-14.01116943359375,-14.414560317993164
-18.546239852905273,-15.285722732543945,-16.638324737548828
-14.77838134765625,-14.174297332763672,-15.425836563110352
-17.343467712402344,-13.144912719726562,-17.09280014038086
-14.933633804321289,-13.878530502319336,-17.026485443115234
-18.766700744628906,-15.276176452636719,-14.589881896972656
-10.993855476379395,-14.447914123535156,-14.013696670532227
-18.640609741210938,-17.161909103393555,-15.923431396484375
-14.18983268737793,-14.237044334411621,-14.211267471313477
-19.52484703063965,-15.135315895080566,-13.903005599975586
-18.172042846679688,-15.105213165283203,-17.01019859313965
-12.353339195251465,-14.539840698242188,-17.381563186645508
0.04262542724609375,-12.555850982666016,-12.47802734375
-18.602092742919922,-14.673774719238281,-15.155557632446289
-18.892412185668945,-15.040489196777344,-18.98529052734375
-8.544328689575195,-14.083415985107422,-15.91473388671875
-17.364391326904297,-15.92306137084961,-20.310100555419922
-15.328457832336426,-13.849905967712402,-16.6069278717041
-18.640609741210938,-17.161909103393555,-19.488399505615234
-16.260269165039062,-12.526383399963379,-18.232627868652344
-18.435169219970703,-16.044267654418945,-17.383577346801758
-9.827569007873535,-12.066783905029297,-16.18645477294922
-13.667682647705078,-12.816301345825195,-13.75605297088623
-14.415515899658203,-17.429738998413086,-18.374971389770508
-18.62825584411621,-13.555739402770996,-16.387746810913086
-12.489664077758789,-15.535133361816406,-7.605284690856934
-18.53055763244629,-16.95854377746582,-19.774585723876953
-17.08810043334961,-13.258967399597168,-14.639361381530762
-12.237890243530273,-13.844491004943848,-16.45929718017578
-15.480147361755371,-13.546798706054688,-15.903489112854004
-9.156023025512695,-10.861111640930176,-1.5767021179199219
-15.425273895263672,-17.205568313598633,-19.92481231689453
-17.790979385375977,-15.333894729614258,-13.4330472946167
-1.0454139709472656,-10.297179222106934,8.346935272216797
-12.168338775634766,-12.936769485473633,-17.075883865356445
-15.468602180480957,-14.575026512145996,-13.522102355957031
-7.460650444030762,-13.96782398223877,-14.710027694702148
-16.91463851928711,-14.333120346069336,-15.941354751586914
-14.607961654663086,-12.300495147705078,-14.113900184631348
-16.857200622558594,-15.05184555053711,-17.881702423095703
-18.072355270385742,-15.733329772949219,-17.021059036254883
-16.33993911743164,-13.591192245483398,-17.570432662963867
-14.18983268737793,-14.237044334411621,-13.782367706298828
-18.628276824951172,-13.555739402770996,-16.28566551208496
-15.026679992675781,-15.703498840332031,-16.122886657714844
-17.60576820373535,-14.42042350769043,-10.865987777709961
-8.544328689575195,-14.083415985107422,-14.153736114501953
-10.128992080688477,-12.829296112060547,-14.647212982177734
-20.03521156311035,-14.851304054260254,-17.677181243896484
-16.914627075195312,-14.333120346069336,-14.08993148803711
-16.440689086914062,-13.440530776977539,-16.278461456298828
-12.486278533935547,-14.782176971435547,-14.717121124267578
-16.652908325195312,-12.965808868408203,-13.198946952819824
-15.888608932495117,-14.632345199584961,-16.701889038085938
