empty,control,prompt
-8.8743314743042,-6.0154242515563965,-4.836369514465332
-8.8743314743042,-6.0154242515563965,-5.2041826248168945
-8.8743314743042,-6.0154242515563965,-5.360080242156982
-8.8743314743042,-6.0154242515563965,-4.572163105010986
-8.8743314743042,-6.0154242515563965,-6.278236389160156
-8.8743314743042,-6.0154242515563965,-6.843867301940918
-8.8743314743042,-6.0154242515563965,-5.41240930557251
-8.8743314743042,-6.0154242515563965,-5.072373867034912
-8.8743314743042,-6.0154242515563965,-6.715457439422607
-8.8743314743042,-6.0154242515563965,-4.5915679931640625
-8.8743314743042,-6.0154242515563965,-5.821633815765381
-8.8743314743042,-6.0154242515563965,-5.058451175689697
-8.8743314743042,-6.0154242515563965,-6.122954368591309
-8.8743314743042,-6.0154242515563965,-6.14203405380249
-8.8743314743042,-6.0154242515563965,-5.25905179977417
-8.8743314743042,-6.0154242515563965,-5.515458583831787
-8.8743314743042,-6.0154242515563965,-4.516845703125
-8.8743314743042,-6.0154242515563965,-6.866175174713135
-8.8743314743042,-6.0154242515563965,-5.372843265533447
-8.8743314743042,-6.0154242515563965,-5.762276649475098
-8.8743314743042,-6.0154242515563965,-6.107737064361572
-8.8743314743042,-6.0154242515563965,-6.937901496887207
-8.8743314743042,-6.0154242515563965,-5.477257251739502
-8.8743314743042,-6.0154242515563965,-6.714475154876709
-8.8743314743042,-6.0154242515563965,-6.652720928192139
-8.8743314743042,-6.0154242515563965,-6.9215922355651855
-8.8743314743042,-6.0154242515563965,-6.563334941864014
-8.8743314743042,-6.0154242515563965,-6.093955039978027
-8.8743314743042,-6.0154242515563965,-6.556813716888428
-8.8743314743042,-6.0154242515563965,-6.568645477294922
-8.8743314743042,-6.0154242515563965,-6.480101585388184
-8.8743314743042,-6.0154242515563965,-5.083398342132568
-8.8743314743042,-6.0154242515563965,-6.209083557128906
-8.8743314743042,-6.0154242515563965,-6.532673358917236
-8.8743314743042,-6.0154242515563965,-4.908548831939697
-8.8743314743042,-6.0154242515563965,-6.0948076248168945
-8.8743314743042,-6.0154242515563965,-5.295013427734375
-8.8743314743042,-6.0154242515563965,-5.151118755340576
-8.8743314743042,-6.0154242515563965,-7.085000514984131
-8.8743314743042,-6.0154242515563965,-6.646572589874268
-8.8743314743042,-6.0154242515563965,-4.871715068817139
-8.8743314743042,-6.0154242515563965,-6.601879596710205
-8.8743314743042,-6.0154242515563965,-5.68682861328125
-8.8743314743042,-6.0154242515563965,-5.074070453643799
-8.8743314743042,-6.0154242515563965,-6.130594730377197
-8.8743314743042,-6.0154242515563965,-5.4791083335876465
-8.658381462097168,-5.088691234588623,-4.660742282867432
-8.658381462097168,-5.088691234588623,-3.1707963943481445
-8.658381462097168,-5.088691234588623,-4.693776607513428
-8.658381462097168,-5.088691234588623,-2.742894172668457
-8.658381462097168,-5.088691234588623,-3.7890655994415283
