concept1,concept2,similarity
weapon,engine,0.6961904168128967
weapon,button,0.6597768664360046
weapon,tool,0.6455419063568115
weapon,box,0.6326271295547485
weapon,shelf,0.6217113137245178
weapon,wallet,0.6147726774215698
weapon,frame,0.6136053800582886
weapon,camera,0.6087386608123779
weapon,cardinal,0.601488471031189
weapon,drawer,0.5990690588951111
weapon,toolbox,0.5975106954574585
weapon,bottle,0.5973151326179504
weapon,projector,0.5971233248710632
weapon,flower,0.5852421522140503
weapon,hourglass,0.5789440870285034
weapon,barrel,0.5744245648384094
weapon,suit,0.5727803707122803
weapon,keyboard,0.5719011425971985
weapon,dashboard,0.5689283609390259
weapon,container,0.5667446851730347
weapon,chainsaw,0.5659911632537842
weapon,spacesuit,0.5652352571487427
weapon,mailbox,0.5587981939315796
weapon,glasses,0.5565886497497559
weapon,glass,0.5565885901451111
weapon,clothes,0.5552918910980225
weapon,computer,0.5539390444755554
weapon,album,0.5523212552070618
weapon,bag,0.5506181120872498
weapon,binder,0.5494198799133301
weapon,fruit,0.5494121313095093
weapon,drink,0.549275279045105
weapon,glove,0.549170196056366
weapon,train set,0.545608639717102
weapon,backpack,0.544623613357544
weapon,car,0.5443726778030396
weapon,sweeper,0.542690634727478
weapon,cellphone,0.5420935153961182
weapon,patch,0.5408986806869507
weapon,recorder,0.5361627340316772
weapon,bracelet,0.5352290272712708
weapon,padlock,0.5351049900054932
weapon,ball,0.5324912071228027
weapon,plant,0.532284140586853
weapon,toy,0.5298235416412354
weapon,gun,0.5297218561172485
weapon,chain,0.5285634398460388
weapon,ship,0.5282943844795227
weapon,chair,0.528044581413269
weapon,hovercraft,0.5272181034088135
weapon,dumpster,0.5264215469360352
weapon,file,0.5255358219146729
weapon,costume,0.5249361395835876
weapon,folder,0.5237976908683777
weapon,bank,0.5235303640365601
weapon,candy bar,0.5232051014900208
weapon,paintbrush,0.5231014490127563
weapon,chessboard,0.521461546421051
weapon,table,0.5211489796638489
weapon,board game,0.5191648602485657
weapon,cabinet,0.5185559988021851
weapon,mixer,0.5185517072677612
weapon,truck,0.5162357091903687
weapon,checkers,0.5160934329032898
weapon,workbench,0.5160778760910034
weapon,marker,0.515913724899292
weapon,game,0.5150930285453796
weapon,tank,0.5136330723762512
weapon,microphone,0.5134686827659607
weapon,match,0.513419508934021
weapon,tape measure,0.510666012763977
weapon,pickax,0.5096980333328247
weapon,matchbox,0.5079433917999268
weapon,motorcycle,0.5068409442901611
weapon,wheel,0.505685567855835
weapon,clipboard,0.5055917501449585
weapon,brush,0.5048367977142334
weapon,strainer,0.5045907497406006
weapon,axe,0.5044714212417603
weapon,breadbox,0.502788782119751
weapon,cat,0.5026650428771973
weapon,scraper,0.5020712614059448
weapon,ring,0.5017071962356567
weapon,weather vane,0.5015217065811157
weapon,tablet,0.5013760924339294
weapon,printer,0.501157820224762
weapon,armor,0.5008586049079895
weapon,chest,0.49984562397003174
weapon,train,0.49933674931526184
weapon,lock,0.4981803596019745
weapon,carriage,0.49710696935653687
weapon,stretcher,0.49704667925834656
weapon,key,0.49196621775627136
weapon,bucket,0.49121445417404175
weapon,combination lock,0.4901251494884491
weapon,shoe,0.4899906814098358
weapon,blowgun,0.4897345006465912
weapon,accordion,0.4894818365573883
weapon,needle,0.4893033802509308
weapon,bagel,0.4878838360309601
weapon,balloon,0.48775264620780945
weapon,screen,0.4862715005874634
weapon,whiteboard,0.4854111671447754
weapon,hook,0.4853966236114502
weapon,bottle opener,0.4848760962486267
weapon,remote control,0.48465266823768616
weapon,tractor,0.48272255063056946
weapon,steamroller,0.4822647273540497
weapon,bean,0.4801734387874603
weapon,wheelbarrow,0.4800378084182739
weapon,locket,0.47967764735221863
weapon,suitcase,0.4792914390563965
weapon,smoothie,0.47911185026168823
weapon,suspenders,0.47836247086524963
