concept1,concept2,similarity
home decor,home decor,0.9999998807907104
home decor,centerpiece,0.7398658990859985
home decor,christmas tree,0.7245522141456604
home decor,furniture,0.7090705633163452
home decor,bow,0.7083706855773926
home decor,costume,0.6763986349105835
home decor,wallpaper,0.6665717363357544
home decor,dress,0.6582730412483215
home decor,envelope,0.6404560804367065
home decor,chandelier,0.6371460556983948
home decor,tube top,0.6366180181503296
home decor,highlighter,0.6335234642028809
home decor,dustpan,0.6294854879379272
home decor,clothing,0.6293631792068481
home decor,abacus,0.6287850141525269
home decor,office supply,0.6254618167877197
home decor,school supply,0.624347448348999
home decor,latch,0.6230307817459106
home decor,coil,0.6229537129402161
home decor,chain,0.6205964088439941
home decor,whisk,0.6205415725708008
home decor,stretcher,0.6201547384262085
home decor,women's clothing,0.6166958808898926
home decor,footwear,0.6088004112243652
home decor,backscratcher,0.6077659726142883
home decor,bolt,0.6074551939964294
home decor,wreath,0.6000080108642578
home decor,tapestry,0.5979341268539429
home decor,rug,0.5970925688743591
home decor,breakfast,0.5965502858161926
home decor,dashboard,0.5951993465423584
home decor,rabbit,0.5946880578994751
home decor,accessory,0.5945858359336853
home decor,curtain,0.5942381024360657
home decor,lasagna,0.5940900444984436
home decor,outfit,0.5920529365539551
home decor,broom,0.5917973518371582
home decor,trunk,0.5912520885467529
home decor,scallop,0.591141939163208
home decor,cantaloupe,0.5898385047912598
home decor,robe,0.5896352529525757
home decor,pickle,0.587633490562439
home decor,kitchen equipment,0.5860504508018494
home decor,turkey,0.5857142806053162
home decor,spatula,0.5853264331817627
home decor,toaster,0.5832475423812866
home decor,corsage,0.5829236507415771
home decor,goose,0.5818918347358704
home decor,buffet,0.5801676511764526
home decor,clam,0.5789211988449097
home decor,chickpea,0.5787220001220703
home decor,patch,0.5786275863647461
home decor,footrest,0.5780011415481567
home decor,ottoman,0.5780011415481567
home decor,kitchen tool,0.5775232315063477
home decor,spaghetti,0.5772868394851685
home decor,fruitcake,0.5771466493606567
home decor,sweeper,0.5765056014060974
home decor,counter,0.5756946206092834
home decor,lampshade,0.5754632949829102
home decor,crayfish,0.5743798613548279
home decor,noodle,0.5742895603179932
home decor,zucchini,0.5740783214569092
home decor,dessert,0.5731945037841797
home decor,pea,0.5730265974998474
home decor,pot,0.5726838111877441
home decor,mussel,0.572007417678833
home decor,clothes,0.5705832839012146
home decor,bracket,0.5684338808059692
home decor,cinnamon,0.5683706998825073
home decor,pudding,0.5670535564422607
home decor,condiment,0.5665409564971924
home decor,cabinet,0.5658025741577148
home decor,locker,0.5658025741577148
home decor,lectern,0.5656936764717102
home decor,coaster,0.5648068785667419
home decor,lobster,0.5647040009498596
home decor,roof rack,0.5638329982757568
home decor,mousse,0.5636225938796997
