anchor,hyponym,class,stimulus
home decor,birdbath,taxonomic_low_sim,"Given that birdbaths are daxable, is it true that home decors are daxable? Answer with Yes/No:"
insect,fly,taxonomic_low_sim,"Given that flies are daxable, is it true that insects are daxable? Answer with Yes/No:"
fruit,banana,taxonomic_low_sim,"Given that bananas are daxable, is it true that fruits are daxable? Answer with Yes/No:"
plant,leek,taxonomic_high_sim,"Given that leeks are daxable, is it true that plants are daxable? Answer with Yes/No:"
animal,skunk,taxonomic_high_sim,"Given that skunks are daxable, is it true that animals are daxable? Answer with Yes/No:"
toiletry,razor,taxonomic_low_sim,"Given that razors are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
food,quesadilla,taxonomic_high_sim,"Given that quesadillas are daxable, is it true that food is daxable? Answer with Yes/No:"
vehicle,school bus,taxonomic_low_sim,"Given that school buses are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
mammal,porcupine,taxonomic_high_sim,"Given that porcupines are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,pear,taxonomic_low_sim,"Given that pears are daxable, is it true that food is daxable? Answer with Yes/No:"
toiletry,toothpaste,taxonomic_high_sim,"Given that toothpastes are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
outerwear,scarf,taxonomic_low_sim,"Given that scarves are daxable, is it true that outerwear is daxable? Answer with Yes/No:"
tool,stamp,taxonomic_low_sim,"Given that stamps are daxable, is it true that tools are daxable? Answer with Yes/No:"
fruit,melon,taxonomic_low_sim,"Given that melons are daxable, is it true that fruits are daxable? Answer with Yes/No:"
women's clothing,pantsuit,taxonomic_high_sim,"Given that pantsuits are daxable, is it true that women's clothings are daxable? Answer with Yes/No:"
tool,blowtorch,taxonomic_low_sim,"Given that blowtorches are daxable, is it true that tools are daxable? Answer with Yes/No:"
outerwear,apron,taxonomic_low_sim,"Given that aprons are daxable, is it true that outerwear is daxable? Answer with Yes/No:"
electronic device,radio,taxonomic_high_sim,"Given that radios are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,garlic,taxonomic_low_sim,"Given that garlics are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,sweeper,taxonomic_low_sim,"Given that sweepers are daxable, is it true that tools are daxable? Answer with Yes/No:"
fruit,mulberry,taxonomic_low_sim,"Given that mulberries are daxable, is it true that fruits are daxable? Answer with Yes/No:"
school supply,paperclip,taxonomic_high_sim,"Given that paperclips are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
candy,candy,taxonomic_high_sim,"Given that candies are daxable, is it true that candies are daxable? Answer with Yes/No:"
weapon,dart,taxonomic_high_sim,"Given that darts are daxable, is it true that weapons are daxable? Answer with Yes/No:"
electronic device,camcorder,taxonomic_low_sim,"Given that camcorders are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
furniture,footrest,taxonomic_high_sim,"Given that footrests are daxable, is it true that furniture is daxable? Answer with Yes/No:"
vehicle,humvee,taxonomic_high_sim,"Given that humvees are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
home decor,bonsai,taxonomic_low_sim,"Given that bonsai is daxable, is it true that home decors are daxable? Answer with Yes/No:"
plant,fern,taxonomic_high_sim,"Given that ferns are daxable, is it true that plants are daxable? Answer with Yes/No:"
toy,boomerang,taxonomic_low_sim,"Given that boomerangs are daxable, is it true that toys are daxable? Answer with Yes/No:"
tool,trident,taxonomic_low_sim,"Given that tridents are daxable, is it true that tools are daxable? Answer with Yes/No:"
plant,plant,taxonomic_high_sim,"Given that plants are daxable, is it true that plants are daxable? Answer with Yes/No:"
toy,scooter,taxonomic_low_sim,"Given that scooters are daxable, is it true that toys are daxable? Answer with Yes/No:"
food,cream cheese,taxonomic_low_sim,"Given that a cream cheese is daxable, is it true that food is daxable? Answer with Yes/No:"
school supply,highlighter,taxonomic_high_sim,"Given that highlighters are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
container,tank,taxonomic_high_sim,"Given that tanks are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,sawhorse,taxonomic_low_sim,"Given that sawhorses are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,soy sauce,taxonomic_low_sim,"Given that soy sauce is daxable, is it true that food is daxable? Answer with Yes/No:"
container,cabinet,taxonomic_high_sim,"Given that cabinets are daxable, is it true that containers are daxable? Answer with Yes/No:"
home decor,crystal ball,taxonomic_low_sim,"Given that crystal balls are daxable, is it true that home decors are daxable? Answer with Yes/No:"
animal,hedgehog,taxonomic_low_sim,"Given that hedgehogs are daxable, is it true that animals are daxable? Answer with Yes/No:"
candy,licorice,taxonomic_high_sim,"Given that licorice is daxable, is it true that candies are daxable? Answer with Yes/No:"
vehicle,space shuttle,taxonomic_low_sim,"Given that space shuttles are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
toy,stilt,taxonomic_low_sim,"Given that stilts are daxable, is it true that toys are daxable? Answer with Yes/No:"
animal,stingray,taxonomic_low_sim,"Given that stingrays are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,mole,taxonomic_high_sim,"Given that moles are daxable, is it true that animals are daxable? Answer with Yes/No:"
container,wine bottle,taxonomic_low_sim,"Given that wine bottles are daxable, is it true that containers are daxable? Answer with Yes/No:"
container,dresser,taxonomic_low_sim,"Given that dressers are daxable, is it true that containers are daxable? Answer with Yes/No:"
container,aquarium,taxonomic_high_sim,"Given that aquariums are daxable, is it true that containers are daxable? Answer with Yes/No:"
seafood,fish,taxonomic_high_sim,"Given that fish are daxable, is it true that seafood is daxable? Answer with Yes/No:"
kitchen tool,grater,taxonomic_high_sim,"Given that graters are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
musical instrument,flute,taxonomic_low_sim,"Given that flutes are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
home decor,cuckoo clock,taxonomic_low_sim,"Given that cuckoo clocks are daxable, is it true that home decors are daxable? Answer with Yes/No:"
plant,tumbleweed,taxonomic_low_sim,"Given that tumbleweeds are daxable, is it true that plants are daxable? Answer with Yes/No:"
clothing,bulletproof vest,taxonomic_low_sim,"Given that bulletproof vests are daxable, is it true that clothings are daxable? Answer with Yes/No:"
breakfast,pastry,taxonomic_high_sim,"Given that pastries are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
tool,air pump,taxonomic_low_sim,"Given that air pumps are daxable, is it true that tools are daxable? Answer with Yes/No:"
headwear,bonnet,taxonomic_low_sim,"Given that bonnets are daxable, is it true that headwears are daxable? Answer with Yes/No:"
food,mushroom,taxonomic_high_sim,"Given that mushrooms are daxable, is it true that food is daxable? Answer with Yes/No:"
medical equipment,brace,taxonomic_low_sim,"Given that braces are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
toy,crayon,taxonomic_low_sim,"Given that crayons are daxable, is it true that toys are daxable? Answer with Yes/No:"
accessory,bow,taxonomic_high_sim,"Given that a bow is daxable, is it true that accessories are daxable? Answer with Yes/No:"
tool,chain,taxonomic_high_sim,"Given that chains are daxable, is it true that tools are daxable? Answer with Yes/No:"
weapon,chainsaw,taxonomic_low_sim,"Given that chainsaws are daxable, is it true that weapons are daxable? Answer with Yes/No:"
plant,bamboo,taxonomic_low_sim,"Given that bamboos are daxable, is it true that plants are daxable? Answer with Yes/No:"
headwear,headscarf,taxonomic_high_sim,"Given that headscarves are daxable, is it true that headwears are daxable? Answer with Yes/No:"
fruit,mango,taxonomic_high_sim,"Given that mangoes are daxable, is it true that fruits are daxable? Answer with Yes/No:"
condiment,butter,taxonomic_low_sim,"Given that butter is daxable, is it true that condiments are daxable? Answer with Yes/No:"
vehicle,police car,taxonomic_high_sim,"Given that police cars are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
medical equipment,vial,taxonomic_high_sim,"Given that vials are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
plant,orchid,taxonomic_high_sim,"Given that orchids are daxable, is it true that plants are daxable? Answer with Yes/No:"
