lemma,plural,article
panda,pandas,a panda
lamb chop,lamb chops,a lamb chop
drawer,drawers,a drawer
figurine,figurines,a figurine
parsley,parsleys,a parsley
chocolate,chocolates,a chocolate
outerwear,outerwears,an outerwear
knob,knobs,a knob
watch,watches,a watch
roof rack,roof racks,a roof rack
porcupine,porcupines,a porcupine
torpedo,torpedoes,a torpedo
cornmeal,cornmeals,a cornmeal
scraper,scrapers,a scraper
ginger,gingers,a ginger
cornbread,cornbreads,a cornbread
jelly bean,jelly beans,a jelly bean
box,boxes,a box
office supply,office supplies,an office supply
wheel,wheels,a wheel
pear,pears,a pear
car seat,car seats,a car seat
ketchup,ketchups,a ketchup
peg,pegs,a peg
gingerbread man,gingerbread men,a gingerbread man
duckling,ducklings,a duckling
clam,clams,a clam
snowshoe,snowshoes,a snowshoe
hovercraft,hovercraft,a hovercraft
cannonball,cannonballs,a cannonball
pomegranate,pomegranates,a pomegranate
whoopee cushion,whoopee cushions,a whoopee cushion
stereo,stereos,a stereo
gasket,gaskets,a gasket
cheese,cheeses,a cheese
kimono,kimonos,a kimono
potato,potatoes,a potato
yak,yaks,a yak
casserole,casseroles,a casserole
anvil,anvils,an anvil
cereal,cereals,a cereal
licorice,licorices,a licorice
crib,cribs,a crib
wheelbarrow,wheelbarrows,a wheelbarrow
jump rope,jump ropes,a jump rope
kayak,kayaks,a kayak
plug,plugs,a plug
gun,guns,a gun
bagpipe,bagpipes,a bagpipe
counter,counters,a counter
t-shirt,t-shirts,a t-shirt
crumb,crumbs,a crumb
magnifying glass,magnifying glasses,a magnifying glass
snowplow,snowplows,a snowplow
sawhorse,sawhorses,a sawhorse
piglet,piglets,a piglet
nightshirt,nightshirts,a nightshirt
dice,dices,a dice
fudge,fudges,a fudge
footrest,footrests,a footrest
hourglass,hourglasses,an hourglass
praying mantis,praying mantises,a praying mantis
slot machine,slot machines,a slot machine
crouton,croutons,a crouton
valve,valves,a valve
polygraph,polygraphs,a polygraph
stethoscope,stethoscopes,a stethoscope
projector,projectors,a projector
plunger,plungers,a plunger
tortilla,tortillas,a tortilla
coffee,coffees,a coffee
chicken,chickens,a chicken
suspenders,suspender,a suspenders
wagon,wagons,a wagon
scone,scones,a scone
loveseat,loveseats,a loveseat
polar bear,polar bears,a polar bear
coffee table,coffee tables,a coffee table
artichoke,artichokes,an artichoke
tick,ticks,a tick
