anchor,concept,similarity
auto part,record player,0.6018176078796387
auto part,remote control,0.5675398111343384
auto part,sofa bed,0.5208921432495117
auto part,combination lock,0.5195410251617432
auto part,garbage truck,0.5050818920135498
auto part,coffee table,0.5037717819213867
auto part,golf cart,0.5037161111831665
auto part,tube top,0.4992440342903137
auto part,measuring cup,0.49745577573776245
auto part,swimming pool,0.49467527866363525
auto part,coffee bean,0.493496298789978
auto part,recorder,0.49251073598861694
auto part,wine bottle,0.48765337467193604
auto part,bottle opener,0.4860919713973999
auto part,school bus,0.4766332507133484
auto part,ready meal,0.47167912125587463
auto part,shopping cart,0.47132453322410583
auto part,mattress,0.4693942070007324
auto part,pepper mill,0.4693930149078369
auto part,license plate,0.46834027767181396
auto part,food processor,0.46544504165649414
auto part,train set,0.4654424786567688
auto part,tape recorder,0.4644412398338318
auto part,ice pack,0.4618982970714569
auto part,tape measure,0.4610031843185425
auto part,water filter,0.459775447845459
auto part,cd player,0.4563285708427429
auto part,air mattress,0.45304757356643677
auto part,cash machine,0.4507807791233063
auto part,can opener,0.4472547769546509
auto part,eye patch,0.4453873038291931
auto part,drink,0.44303926825523376
auto part,playing card,0.4422069191932678
auto part,hot tub,0.44091275334358215
auto part,paper bag,0.438726007938385
auto part,weather vane,0.43777698278427124
auto part,backpack,0.4351622462272644
auto part,filing cabinet,0.434381365776062
auto part,water bottle,0.4319811463356018
auto part,spark plug,0.4319281578063965
auto part,apple tree,0.4307630956172943
auto part,wine cooler,0.42950406670570374
auto part,modem,0.4287797510623932
auto part,cruise ship,0.42815732955932617
auto part,music box,0.4275444746017456
auto part,letter opener,0.4268980622291565
auto part,canister,0.4250998795032501
auto part,candy bar,0.4248272180557251
auto part,electric chair,0.4235535264015198
auto part,slot machine,0.4233386218547821
auto part,tablet,0.42287057638168335
auto part,watch,0.4207642376422882
auto part,wire cutters,0.4202730655670166
auto part,ski boots,0.41734784841537476
auto part,shower cap,0.4167158603668213
auto part,police car,0.4158787131309509
auto part,projector,0.4157945513725281
auto part,funnel,0.41175776720046997
auto part,metal detector,0.4092654585838318
auto part,pocket watch,0.4085756540298462
auto part,marijuana,0.40800291299819946
auto part,fast food,0.4074876606464386
auto part,rubber band,0.40688377618789673
auto part,computer screen,0.40595272183418274
auto part,briefcase,0.4053114652633667
auto part,hearing aid,0.4035791754722595
auto part,boxer shorts,0.40321964025497437
auto part,car door,0.3977125883102417
auto part,board game,0.39540547132492065
auto part,plaster cast,0.39314720034599304
auto part,album,0.3926590085029602
auto part,uniform,0.39115893840789795
auto part,cabinet,0.38943058252334595
