anchor,anchor-sense,hyponym
home decor,interior_decoration.n.01,lemon
home decor,interior_decoration.n.01,latch
home decor,interior_decoration.n.01,costume
home decor,interior_decoration.n.01,outfit
home decor,interior_decoration.n.01,rabbit
home decor,interior_decoration.n.01,dashboard
home decor,interior_decoration.n.01,coil
home decor,interior_decoration.n.01,dustpan
home decor,interior_decoration.n.01,banana
home decor,interior_decoration.n.01,highlighter
home decor,interior_decoration.n.01,bull
home decor,interior_decoration.n.01,dress
home decor,interior_decoration.n.01,nut
home decor,interior_decoration.n.01,puppy
home decor,interior_decoration.n.01,bolt
home decor,interior_decoration.n.01,green beans
home decor,interior_decoration.n.01,lasagna
home decor,interior_decoration.n.01,trunk
home decor,interior_decoration.n.01,bow
home decor,interior_decoration.n.01,string cheese
home decor,interior_decoration.n.01,trident
home decor,interior_decoration.n.01,robe
home decor,interior_decoration.n.01,scallop
home decor,interior_decoration.n.01,lamb
home decor,interior_decoration.n.01,honey
home decor,interior_decoration.n.01,strawberry
home decor,interior_decoration.n.01,rooster
home decor,interior_decoration.n.01,rifle
home decor,interior_decoration.n.01,apple
home decor,interior_decoration.n.01,jelly bean
home decor,interior_decoration.n.01,sheep
home decor,interior_decoration.n.01,stretcher
home decor,interior_decoration.n.01,duckling
home decor,interior_decoration.n.01,keg
home decor,interior_decoration.n.01,tube top
home decor,interior_decoration.n.01,calf
home decor,interior_decoration.n.01,envelope
home decor,interior_decoration.n.01,backscratcher
home decor,interior_decoration.n.01,alligator
home decor,interior_decoration.n.01,zebra
home decor,interior_decoration.n.01,chain
home decor,interior_decoration.n.01,elephant
home decor,interior_decoration.n.01,whisk
home decor,interior_decoration.n.01,rope
home decor,interior_decoration.n.01,cantaloupe
home decor,interior_decoration.n.01,broom
insect,insect.n.01,margarita
insect,insect.n.01,squirrel
insect,insect.n.01,chair
insect,insect.n.01,worm
insect,insect.n.01,shrimp
insect,insect.n.01,maggot
insect,insect.n.01,maple syrup
insect,insect.n.01,rope
insect,insect.n.01,catfish
insect,insect.n.01,jacket
insect,insect.n.01,creme brulee
insect,insect.n.01,bat
insect,insect.n.01,scoop
insect,insect.n.01,squid
insect,insect.n.01,mole
insect,insect.n.01,toad
insect,insect.n.01,stiletto
insect,insect.n.01,mirror
fruit,edible_fruit.n.01,trident
fruit,edible_fruit.n.01,elephant
fruit,edible_fruit.n.01,duckling
fruit,edible_fruit.n.01,jacket
fruit,edible_fruit.n.01,margarita
fruit,edible_fruit.n.01,rabbit
fruit,edible_fruit.n.01,asparagus
fruit,edible_fruit.n.01,hook
