hypernym,anchor,hyponym
decoration,home decor,birdbath
animal,insect,fly
produce,fruit,banana
organism,plant,leek
organism,animal,skunk
utilities,toiletry,razor
substance,food,quesadilla
transportation,vehicle,school bus
vertebrate,mammal,porcupine
substance,food,pear
utilities,toiletry,toothpaste
clothing,outerwear,scarf
instrument,tool,stamp
produce,fruit,melon
clothing,women's clothing,pantsuit
instrument,tool,blowtorch
clothing,outerwear,apron
device,electronic device,radio
substance,food,garlic
instrument,tool,sweeper
produce,fruit,mulberry
equipment,school supply,paperclip
sweet,candy,candy
instrument,weapon,dart
device,electronic device,camcorder
decoration,furniture,footrest
transportation,vehicle,humvee
decoration,home decor,bonsai
organism,plant,fern
artifact,toy,boomerang
instrument,tool,trident
organism,plant,plant
artifact,toy,scooter
substance,food,cream cheese
equipment,school supply,highlighter
storage,container,tank
instrument,tool,sawhorse
substance,food,soy sauce
storage,container,cabinet
decoration,home decor,crystal ball
organism,animal,hedgehog
sweet,candy,licorice
transportation,vehicle,space shuttle
artifact,toy,stilt
organism,animal,stingray
organism,animal,mole
storage,container,wine bottle
storage,container,dresser
storage,container,aquarium
food,seafood,fish
tool,kitchen tool,grater
device,musical instrument,flute
decoration,home decor,cuckoo clock
organism,plant,tumbleweed
covering,clothing,bulletproof vest
food,breakfast,pastry
instrument,tool,air pump
clothing,headwear,bonnet
substance,food,mushroom
instrument,medical equipment,brace
artifact,toy,crayon
clothing,accessory,bow
instrument,tool,chain
instrument,weapon,chainsaw
organism,plant,bamboo
clothing,headwear,headscarf
produce,fruit,mango
food product,condiment,butter
transportation,vehicle,police car
instrument,medical equipment,vial
organism,plant,orchid
produce,vegetable,jalapeno
organism,animal,rhinoceros
animal,livestock,duck
decoration,jewelry,jewelry
substance,food,croissant
food,breakfast,waffle
home appliance,kitchen equipment,coffeemaker
covering,footwear,rollerblade
covering,clothing,shirt
substance,food,bell pepper
decoration,jewelry,pocket watch
vertebrate,mammal,cow
produce,vegetable,chive
instrument,weapon,knife
substance,food,cornbread
storage,container,duffel bag
instrument,tool,tool
instrument,medical equipment,plaster cast
tool,kitchen tool,bottle opener
instrument,tool,vise
clothing,outerwear,cloak
connector,fastener,velcro
vertebrate,mammal,beaver
decoration,furniture,shelf
instrument,tool,curling iron
covering,clothing,headband
vertebrate,mammal,cat
equipment,office supply,pen
food,breakfast,yogurt
tool,kitchen tool,whisk
substance,food,shrimp
instrument,tool,spark plug
organism,animal,koala
organism,animal,maggot
storage,container,dumpster
organism,plant,aloe
organism,plant,clover
instrument,tool,backscratcher
substance,food,eggplant
food,drink,beer
instrument,tool,padlock
organism,plant,basil
storage,container,tupperware
food,breakfast,scrambled egg
instrument,tool,poker
vehicle,water vehicle,sailboat
food,drink,lemonade
storage,container,briefcase
tool,kitchen tool,strainer
transportation,vehicle,taxi
substance,food,spareribs
clothing,accessory,hat
organism,animal,groundhog
component,auto part,handbrake
