conclusion_,premise_,conclusion,premise,is_hyper,sim,prompt,label,position,score
pliers,garden tool,pliers,garden tools,no,high,"Answer the question. Given that garden tools are daxable, is it true that pliers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8076820969581604
chime,tool,chimes,tools,no,high,"Answer the question. Given that tools are daxable, is it true that chimes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6923055648803711
pencil sharpener,tool,pencil sharpeners,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that pencil sharpeners are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 10), (20, 24))",0.8050754070281982
chick,animal,chicks,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that chicks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8848097920417786
ratchet,mammal,ratchets,mammals,no,low,"Answer the question. Given that mammals are daxable, is it true that ratchets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.10096177458763123
armor,protective clothing,armor,protective clothing,yes,high,"Answer the question. Given that protective clothing is daxable, is it true that armor is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 14), (24, 24))",0.6871639490127563
joystick,electronic device,joysticks,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that joysticks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7833611369132996
buggy,seafood,buggies,seafood,no,low,"Answer the question. Given that seafood is daxable, is it true that buggies are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.08505858480930328
trolley,container,trolleys,containers,no,high,"Answer the question. Given that containers are daxable, is it true that trolleys are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.8458722233772278
backpack,school supply,backpacks,school supplies,yes,high,"Answer the question. Given that school supplies are daxable, is it true that backpacks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.296389102935791
manatee,animal,manatees,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that manatees are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8555028438568115
papaya,vegetable,papayas,vegetables,no,high,"Answer the question. Given that vegetables are daxable, is it true that papayas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8779425024986267
bush,animal,bushes,animals,no,high,"Answer the question. Given that animals are daxable, is it true that bushes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.4307654798030853
locker,sea animal,lockers,sea animals,no,low,"Answer the question. Given that sea animals are daxable, is it true that lockers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.10585515946149826
mallet,tool,mallets,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that mallets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8735703825950623
nail clippers,fastener,nail clippers,fasteners,no,high,"Answer the question. Given that fasteners are daxable, is it true that nail clippers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 12), (22, 24))",0.7041363716125488
hot-water bottle,container,hot-water bottles,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that hot-water bottles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.34509190917015076
garbage truck,vehicle,garbage trucks,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that garbage trucks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8452441096305847
zipper,livestock,zippers,livestocks,no,low,"Answer the question. Given that livestocks are daxable, is it true that zippers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 13), (23, 24))",0.0940074548125267
marker,school supply,markers,school supplies,yes,high,"Answer the question. Given that school supplies are daxable, is it true that markers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7617524266242981
tamale,food,tamales,food,yes,high,"Answer the question. Given that food is daxable, is it true that tamales are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7862882614135742
jelly bean,food,jelly beans,food,yes,high,"Answer the question. Given that food is daxable, is it true that jelly beans are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7076150178909302
berry,vegetable,berries,vegetables,no,high,"Answer the question. Given that vegetables are daxable, is it true that berries are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8467801809310913
cocktail,food,cocktails,food,no,high,"Answer the question. Given that food is daxable, is it true that cocktails are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.6209893226623535
car seat,auto part,car seats,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that car seats are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7346084713935852
ladle,food,ladles,food,no,high,"Answer the question. Given that food is daxable, is it true that ladles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.4335292875766754
lemonade,drink,lemonades,drinks,yes,high,"Answer the question. Given that drinks are daxable, is it true that lemonades are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.9385351538658142
catfish,food,catfish,food,yes,low,"Answer the question. Given that food is daxable, is it true that catfish are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.3370016813278198
skunk,container,skunks,containers,no,low,"Answer the question. Given that containers are daxable, is it true that skunks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.10940759629011154
eagle,animal,eagles,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that eagles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8682777285575867
broccoli,food,broccoli,food,yes,high,"Answer the question. Given that food is daxable, is it true that broccoli is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7878267765045166
mulberry,fruit,mulberries,fruits,yes,high,"Answer the question. Given that fruits are daxable, is it true that mulberries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8937771320343018
bazooka,weapon,bazookas,weapons,yes,high,"Answer the question. Given that weapons are daxable, is it true that bazookas are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.710559606552124
kazoo,food,kazoos,food,no,low,"Answer the question. Given that food is daxable, is it true that kazoos are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.15204975008964539
snowshoe,footwear,snowshoes,footwear,yes,high,"Answer the question. Given that footwear is daxable, is it true that snowshoes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.9239876866340637
ham,food,hams,food,yes,high,"Answer the question. Given that food is daxable, is it true that hams are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8068116903305054
slot machine,electronic device,slot machines,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that slot machines are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.5660089254379272
corset,headwear,corsets,headwear,no,high,"Answer the question. Given that headwear is daxable, is it true that corsets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8116169571876526
gauze,clothing,gauzes,clothing,no,high,"Answer the question. Given that clothing is daxable, is it true that gauzes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.618008553981781
raisin,food,raisins,food,yes,high,"Answer the question. Given that food is daxable, is it true that raisins are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7512922883033752
lighter,food,lighter,food,no,low,"Answer the question. Given that food is daxable, is it true that a lighter is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (24, 24))",0.14200341701507568
lightbulb,livestock,lightbulbs,livestocks,no,low,"Answer the question. Given that livestocks are daxable, is it true that lightbulbs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 12), (22, 24))",0.09492437541484833
rabbit,animal,rabbits,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that rabbits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8948073983192444
fountain pen,vegetable,fountain pens,vegetables,no,low,"Answer the question. Given that vegetables are daxable, is it true that fountain pens are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.097789466381073
rattle,toy,rattles,toys,yes,high,"Answer the question. Given that toys are daxable, is it true that rattles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.9087003469467163
lawnmower,garden tool,lawnmowers,garden tools,yes,low,"Answer the question. Given that garden tools are daxable, is it true that lawnmowers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.7609829902648926
first-aid kit,medical equipment,first-aid kits,medical equipment,yes,high,"Answer the question. Given that medical equipment is daxable, is it true that first-aid kits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((9, 10), (20, 24))",0.760669469833374
poinsettia,food,poinsettias,food,no,high,"Answer the question. Given that food is daxable, is it true that poinsettias are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 10), (20, 24))",0.46039125323295593
dishwasher,electronic device,dishwashers,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that dishwashers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.8047212362289429
coverall,outerwear,coveralls,outerwear,yes,high,"Answer the question. Given that outerwear is daxable, is it true that coveralls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8097973465919495
avocado,clothing,avocados,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that avocados are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.158866748213768
bolo tie,clothing,bolo ties,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that bolo ties are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8675216436386108
bulldozer,candy,bulldozers,candy,no,low,"Answer the question. Given that candy is daxable, is it true that bulldozers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.08804550766944885
ski boots,clothing,ski boots,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that ski boots are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.6279849410057068
zucchini,vegetable,zucchini,vegetables,yes,high,"Answer the question. Given that vegetables are daxable, is it true that zucchini is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8489047288894653
seaplane,vehicle,seaplanes,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that seaplanes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.8901971578598022
meerkat,animal,meerkats,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that meerkats are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8830602765083313
shawl,clothing,shawls,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that shawls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8534508943557739
matchbox,container,matchboxes,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that matchboxes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.524436354637146
windshield wiper,auto part,windshield wipers,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that windshield wipers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((9, 10), (20, 24))",0.7280457615852356
pocket,food,pockets,food,no,low,"Answer the question. Given that food is daxable, is it true that pockets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.13424940407276154
ship,vehicle,ships,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that ships are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.8468130230903625
suspenders,accessory,suspenders,accessories,yes,low,"Answer the question. Given that accessories are daxable, is it true that suspenders are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7430279850959778
celery,vegetable,celeries,vegetables,yes,high,"Answer the question. Given that vegetables are daxable, is it true that celeries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8554706573486328
otter,mammal,otters,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that otters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.910946249961853
hatchet,tool,hatchets,tools,no,high,"Answer the question. Given that tools are daxable, is it true that hatchets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8158445358276367
catapult,tool,catapults,tools,no,high,"Answer the question. Given that tools are daxable, is it true that catapults are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.7159717679023743
nut,candy,nuts,candy,no,high,"Answer the question. Given that candy is daxable, is it true that nuts are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.8524168729782104
padlock,fastener,padlocks,fasteners,yes,high,"Answer the question. Given that fasteners are daxable, is it true that padlocks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 12), (22, 24))",0.7038441896438599
helmet,protective clothing,helmets,protective clothing,yes,high,"Answer the question. Given that protective clothing is daxable, is it true that helmets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7438206076622009
paperclip,office supply,paperclips,office supplies,yes,high,"Answer the question. Given that office supplies are daxable, is it true that paperclips are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7534940838813782
cotton candy,candy,cotton candy,candy,yes,low,"Answer the question. Given that candy is daxable, is it true that cotton candy is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8155606985092163
snowmobile,vehicle,snowmobiles,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that snowmobiles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8708664178848267
notebook,office supply,notebooks,office supplies,yes,high,"Answer the question. Given that office supplies are daxable, is it true that notebooks are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7916614413261414
van,container,vans,containers,no,high,"Answer the question. Given that containers are daxable, is it true that vans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8184893727302551
gyroscope,food,gyroscopes,food,no,low,"Answer the question. Given that food is daxable, is it true that gyroscopes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.13250677287578583
