yes,no,yes-r,no-r
-1.7762559652328491,-1.4930185079574585,-2.1201438903808594,-1.6326254606246948
-2.263716697692871,-1.5907012224197388,-2.189639091491699,-1.757090449333191
-1.8859775066375732,-1.5866153240203857,-1.9766039848327637,-2.2491812705993652
-1.7374464273452759,-2.4880528450012207,-2.1238627433776855,-2.408179759979248
-2.2288870811462402,-2.0263075828552246,-2.006762981414795,-1.646623134613037
-1.5997049808502197,-1.7833998203277588,-1.6002750396728516,-1.7073421478271484
-1.6770720481872559,-2.234849452972412,-2.080293655395508,-2.288339614868164
-2.3396687507629395,-1.7543396949768066,-2.1413488388061523,-1.6820306777954102
-2.048384189605713,-1.448336124420166,-2.118354320526123,-1.7094112634658813
-1.4039883613586426,-1.8218121528625488,-1.549683928489685,-1.9376634359359741
-2.0403103828430176,-2.561901569366455,-1.8187087774276733,-2.6739888191223145
-1.6954699754714966,-2.2043848037719727,-2.2694811820983887,-2.0776400566101074
-2.245755672454834,-1.8993924856185913,-1.723853588104248,-2.0478549003601074
-2.5044212341308594,-1.8955365419387817,-2.0245590209960938,-1.2879600524902344
-1.6588979959487915,-1.554522156715393,-1.895349383354187,-2.1850852966308594
-1.7467503547668457,-1.4280400276184082,-1.6901415586471558,-1.6295260190963745
-1.617341160774231,-1.4553786516189575,-1.6454579830169678,-2.0130670070648193
-1.2112568616867065,-2.1303205490112305,-1.4396640062332153,-2.2533769607543945
-2.1316702365875244,-1.58577561378479,-2.1241345405578613,-1.450329303741455
-1.2969707250595093,-1.6062015295028687,-1.5429601669311523,-1.2717466354370117
-1.409225583076477,-2.0043773651123047,-1.4856481552124023,-1.9403352737426758
-1.2906677722930908,-1.9069225788116455,-1.5804634094238281,-1.8238182067871094
-1.669388771057129,-1.781142234802246,-2.2115721702575684,-1.6522327661514282
-1.8219472169876099,-1.7861768007278442,-2.2856173515319824,-1.6338249444961548
-1.4960911273956299,-2.090564012527466,-1.8110156059265137,-1.6391654014587402
-1.5874465703964233,-1.532894492149353,-1.6999483108520508,-1.734297752380371
-1.3443702459335327,-1.9613784551620483,-1.9581882953643799,-2.1273815631866455
-1.3429713249206543,-1.7395358085632324,-2.2021594047546387,-2.008735179901123
-1.8691563606262207,-1.474306583404541,-2.6327285766601562,-1.6954118013381958
-1.8405017852783203,-2.266765594482422,-1.700394630432129,-2.299788475036621
-1.2838106155395508,-1.8162469863891602,-1.4879952669143677,-1.9873582124710083
-1.128772497177124,-2.1557843685150146,-1.6329656839370728,-2.293673038482666
-1.7113361358642578,-2.2076663970947266,-2.100607395172119,-2.5907769203186035
-1.968706488609314,-1.4554332494735718,-2.1741113662719727,-1.5278024673461914
-1.4892303943634033,-2.107783555984497,-1.7248024940490723,-1.9390301704406738
-1.3160673379898071,-1.7520166635513306,-1.6640931367874146,-1.8597432374954224
-1.5315182209014893,-2.3843414783477783,-1.7462708950042725,-2.1212785243988037
-2.132124900817871,-1.5076302289962769,-2.0768113136291504,-1.7112678289413452
-1.6060435771942139,-1.7191550731658936,-1.8286360502243042,-1.8037222623825073
-1.2562825679779053,-1.6958177089691162,-1.41073477268219,-1.6296602487564087
-1.6833910942077637,-1.491382122039795,-1.9764909744262695,-1.5081567764282227
-2.1900391578674316,-1.5841774940490723,-2.244807243347168,-1.2505558729171753
-1.7861047983169556,-2.404390811920166,-1.7867404222488403,-2.1052961349487305
-2.1884474754333496,-1.51106595993042,-2.2713334560394287,-1.5082967281341553
-1.4598658084869385,-2.1390440464019775,-2.281811237335205,-2.475861072540283
-2.039461851119995,-2.106539487838745,-2.2440524101257324,-2.0493674278259277
-1.7551612854003906,-1.922393798828125,-2.0659847259521484,-1.7038172483444214
-1.6179373264312744,-1.5174124240875244,-1.6834633350372314,-1.9613258838653564
-1.671976923942566,-2.0866785049438477,-2.0135128498077393,-1.9832870960235596
-1.517136812210083,-1.709223985671997,-1.6617858409881592,-1.5572879314422607
-1.9342106580734253,-1.3163212537765503,-1.8121228218078613,-1.3529267311096191
-1.800269365310669,-1.7340271472930908,-1.8988561630249023,-2.0218019485473633
-2.1974709033966064,-1.7261383533477783,-2.709040403366089,-1.4070384502410889
-1.6895325183868408,-1.7945034503936768,-2.039393663406372,-1.5688011646270752
-1.2198920249938965,-2.1110053062438965,-1.8312605619430542,-2.1207923889160156
-1.8025248050689697,-2.3780786991119385,-1.8522541522979736,-2.28960919380188
-1.8487272262573242,-2.704258918762207,-1.7608985900878906,-2.4725341796875
-1.3452566862106323,-2.0792808532714844,-1.570373773574829,-1.9780352115631104
-1.4575434923171997,-1.4387999773025513,-1.69931161403656,-1.5049890279769897
-1.4674286842346191,-2.105154514312744,-1.8730406761169434,-1.6296401023864746
-1.9053065776824951,-1.5784385204315186,-1.5870189666748047,-1.4943504333496094
-1.7703609466552734,-2.043851852416992,-1.9495086669921875,-2.2815589904785156
-1.5116446018218994,-1.6699659824371338,-1.9760774374008179,-2.149503231048584
-1.1176910400390625,-2.220266342163086,-2.042140007019043,-1.8791247606277466
-1.791668176651001,-2.670158624649048,-2.111522912979126,-2.4993860721588135
-1.7165664434432983,-1.7325958013534546,-1.9349943399429321,-2.274435520172119
-2.0389068126678467,-1.7681872844696045,-2.159458637237549,-2.2494568824768066
-2.239804983139038,-1.7554147243499756,-2.260375499725342,-1.6844515800476074
-1.5471599102020264,-1.6105029582977295,-1.9389119148254395,-1.6919636726379395
-1.6610437631607056,-2.016605854034424,-1.9293298721313477,-1.650935173034668
-1.1420354843139648,-2.164311408996582,-2.1502649784088135,-2.2109224796295166
-1.4070206880569458,-2.1279067993164062,-1.9909043312072754,-2.218214511871338
-1.4389680624008179,-2.320859432220459,-1.6142148971557617,-2.3456010818481445
-1.4234628677368164,-1.8031015396118164,-1.8789029121398926,-1.526207447052002
-1.9129310846328735,-1.3196007013320923,-1.8689732551574707,-1.88224458694458
-1.822160243988037,-1.4844508171081543,-1.8267135620117188,-1.5108013153076172
-1.9848213195800781,-2.3437652587890625,-1.9429092407226562,-2.1394691467285156
-1.635624647140503,-1.7044856548309326,-1.7666716575622559,-2.0508170127868652
-1.2510076761245728,-1.8123747110366821,-1.6139112710952759,-1.8260408639907837
-1.7418365478515625,-1.6644153594970703,-1.852718472480774,-1.4514676332473755
-2.0131070613861084,-1.609586477279663,-2.2990634441375732,-2.0454318523406982
-1.583575963973999,-2.365569829940796,-1.9216029644012451,-2.026474714279175
-1.870786428451538,-1.2191388607025146,-1.811626672744751,-1.5679495334625244
-1.3872933387756348,-1.8803048133850098,-1.8307771682739258,-1.3952703475952148
-2.4717164039611816,-1.7683625221252441,-2.5325169563293457,-2.0664925575256348
-1.4263317584991455,-2.5323307514190674,-1.6667702198028564,-2.290065050125122
-2.0042223930358887,-2.5636496543884277,-1.795141339302063,-1.9875565767288208
-1.7646431922912598,-2.2509102821350098,-2.0493855476379395,-2.1124768257141113
-1.220167875289917,-1.6811511516571045,-1.7334644794464111,-1.7912209033966064
-1.4248104095458984,-1.7998046875,-2.0424067974090576,-1.9745051860809326
-1.5992238521575928,-2.025106191635132,-2.1986827850341797,-1.5997848510742188
-1.5552767515182495,-2.054929733276367,-1.8771668672561646,-2.0057239532470703
-2.2408814430236816,-1.746565341949463,-2.291851282119751,-2.2713282108306885
-1.5879244804382324,-1.711442470550537,-1.5675842761993408,-1.7520954608917236
-1.389214277267456,-1.9916656017303467,-1.9864569902420044,-2.099736213684082
-2.129870891571045,-2.142577648162842,-1.8688597679138184,-1.9475741386413574
-1.935342788696289,-1.6335124969482422,-2.0992348194122314,-1.6670658588409424
-2.1919331550598145,-2.1373047828674316,-1.6724255084991455,-1.2568581104278564
-2.235072612762451,-1.9597126245498657,-2.0164079666137695,-1.6799191236495972
-1.754334807395935,-1.362794280052185,-1.7981008291244507,-1.6114743947982788
-1.3897228240966797,-1.8391571044921875,-1.8643556833267212,-2.0873684883117676
-1.9332987070083618,-1.7889810800552368,-2.0057053565979004,-1.86422598361969
-1.982142448425293,-1.4065923690795898,-2.3866865634918213,-1.7657644748687744
-2.214852809906006,-1.3037697076797485,-2.175079107284546,-1.6844899654388428
-2.225653648376465,-2.0644521713256836,-1.8673924207687378,-2.0978498458862305
-1.3549883365631104,-2.103698968887329,-1.9710888862609863,-1.816051959991455
-1.5948185920715332,-2.1693215370178223,-1.6668004989624023,-1.8463735580444336
-1.6847578287124634,-2.2728829383850098,-1.9210944175720215,-2.3358092308044434
-1.386610746383667,-1.8922183513641357,-1.820928931236267,-1.911363959312439
-2.0898239612579346,-1.8413269519805908,-1.92818021774292,-2.206735134124756
-2.087965488433838,-1.65378999710083,-2.1591649055480957,-1.644941806793213
-1.210368037223816,-1.989815592765808,-1.7732141017913818,-1.5321977138519287
-1.7628402709960938,-1.9031848907470703,-1.828752875328064,-1.7522224187850952
-2.4453372955322266,-2.3924179077148438,-1.967029333114624,-2.208057165145874
-1.6167018413543701,-2.7307775020599365,-1.7697664499282837,-2.0890755653381348
-1.7615152597427368,-1.4975496530532837,-1.9728319644927979,-1.514934778213501
-2.2633676528930664,-1.8342350721359253,-2.378016710281372,-1.8780949115753174
-1.5792200565338135,-1.876251459121704,-1.8288191556930542,-1.928409457206726
-1.0634856224060059,-2.306199550628662,-1.3300942182540894,-2.030035972595215
-1.8885544538497925,-1.3641289472579956,-1.788583755493164,-1.994680404663086
-1.4044770002365112,-1.9771870374679565,-1.627558946609497,-2.01226544380188
-1.195783257484436,-1.7070785760879517,-1.5057785511016846,-1.942033052444458
-1.4324707984924316,-2.1050686836242676,-1.8136637210845947,-2.518240213394165
-1.9119563102722168,-1.5029959678649902,-2.214261054992676,-1.783955454826355
-2.465968132019043,-1.7486408948898315,-1.8344155550003052,-1.167629361152649
-1.2132831811904907,-2.529323101043701,-1.798250675201416,-2.325361728668213
-1.7173774242401123,-1.7115561962127686,-2.211596727371216,-2.2973835468292236
-1.331175446510315,-2.3641743659973145,-1.7967581748962402,-2.048121929168701
-1.5193321704864502,-1.549079179763794,-1.647782325744629,-1.4659719467163086
-2.071359157562256,-1.1406874656677246,-1.9848659038543701,-1.247002363204956
-1.6191636323928833,-2.3026199340820312,-2.466444253921509,-2.764772653579712
-1.7491023540496826,-1.6155555248260498,-1.7582461833953857,-2.0902907848358154
-1.7075235843658447,-2.7620279788970947,-2.222393274307251,-2.607801675796509
-1.5411462783813477,-1.6976118087768555,-1.61260986328125,-1.6540908813476562
-1.6840529441833496,-1.6284918785095215,-1.650336503982544,-1.7685730457305908
-1.6978667974472046,-1.5809425115585327,-1.8484413623809814,-1.6730682849884033
-1.9828912019729614,-1.9165936708450317,-2.08339524269104,-1.7255213260650635
-2.254171848297119,-1.5364211797714233,-1.789799451828003,-1.7734801769256592
-1.2312536239624023,-2.50809383392334,-1.4550071954727173,-2.2866263389587402
-1.613991141319275,-1.9422820806503296,-1.8739691972732544,-2.2387094497680664
-1.494025707244873,-1.7277045249938965,-1.917851209640503,-2.030693769454956
