0	premise_first	0.53
0	premise_last	0.5
0	conclusion_first	0.21
0	conclusion_last	0.34
0	last	0.17
5	premise_first	0.57
5	premise_last	0.52
5	conclusion_first	0.43
5	conclusion_last	0.4
5	last	0.18
10	premise_first	0.43
10	premise_last	0.39
10	conclusion_first	0.44
10	conclusion_last	0.5
10	last	0.25
15	premise_first	0.36
15	premise_last	0.38
15	conclusion_first	0.41
15	conclusion_last	0.34
15	last	0.36
20	premise_first	0.37
20	premise_last	0.4
20	conclusion_first	0.29
20	conclusion_last	0.32
20	last	0.39
25	premise_first	0.18
25	premise_last	0.18
25	conclusion_first	0.18
25	conclusion_last	0.18
25	last	0.45
